rank,cihui,pinyin,mismatch_parsed,invalid_parsed,has_subdefs,raw_html
90641,枭将,xiāojiàng,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>枭将</x-hw><x-pr> xiāojiàng</x-pr>现在一般写作“骁将”<x-f>。</x-f></dt>
"
90821,扒犁,páli,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>扒犁</x-hw><x-pr> páli</x-pr>现在一般写作“爬犁”<x-f>。</x-f></dt>
"
90885,绵联,miánlián,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>绵联</x-hw><x-pr> miánlián</x-pr><br>现在规范词形写作“<a href=""entry://绵连"" type=""normalized"">绵连</a>”<x-f>。</x-f>
"
91283,飘飖,piāoyáo,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>飘飖</x-hw><x-pr> piāoyáo</x-pr>现在一般写作“飘摇”<x-f>。</x-f></dt>
"
91376,白槎儿,báichár,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>白槎<x-er>儿</x-er></x-hw><x-pr> báichár</x-pr>现在一般写作“白茬<x-er>儿</x-er>”<x-f>。</x-f>
"
91413,申敕,shēnchì,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>申敕</x-hw><x-pr> shēnchì</x-pr>
<dt>见“<a href=""entry://申饬"" type=""see"">申饬</a>”<x-f>。</x-f>现在一般写作“申饬”<x-f>。</x-f></dt>
"
91467,鸠集,jiūjí,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>鸠集</x-hw><x-pr> jiūjí</x-pr><br>现在规范词形写作“<a href=""entry://纠集"" type=""normalized"">纠集</a>”<x-f>。</x-f>
"
91882,轶诗,yìshī,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>轶诗</x-hw><x-pr> yìshī</x-pr>现在一般写作“佚诗”<x-f>。</x-f></dt>
"
92041,可钉可铆,kědīng-kěmǎo,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>可钉可铆</x-hw><x-pr> kědīng-kěmǎo</x-pr>现在一般写作“可丁可卯”<x-f>。</x-f></dt>
"
92197,夫倡妇随,fūchàng-fùsuí,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>夫倡妇随</x-hw><x-pr> fūchàng-fùsuí</x-pr>现在一般写作“夫唱妇随”<x-f>。</x-f></dt>
"
92497,淜湃,péngpài,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>淜湃</x-hw><x-pr> péngpài</x-pr>现在一般写作“澎湃”<x-f>。</x-f></dt>
"
