rank,cihui,pinyin,mismatch_parsed,invalid_parsed,has_subdefs,raw_html
75064,幽闲,yōuxián,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>幽闲</x-hw><x-pr> yōuxián</x-pr>
<dt><x-sn>①</x-sn>见“<a href=""entry://幽娴"" type=""see"">幽娴</a>”<x-f>。</x-f>现在一般写作“幽娴”<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn>见“<a href=""entry://悠闲"" type=""see"">悠闲</a>”<x-f>。</x-f>现在一般写作“悠闲”<x-f>。</x-f></dt>
"
75177,背理,bèilǐ,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>背理</x-hw><x-pr> bèilǐ</x-pr>现在一般写作“悖理”<x-f>。</x-f></dt>
"
75372,侈糜,chǐmí,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>侈糜</x-hw><x-pr> chǐmí</x-pr><br>现在规范词形写作“<a href=""entry://侈靡"" type=""normalized"">侈靡</a>”<x-f>。</x-f>
"
76220,委过,wěiguò,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>委过</x-hw><x-pr> wěiguò</x-pr><br>现在规范词形写作“<a href=""entry://诿过"" type=""normalized"">诿过</a>”<x-f>。</x-f>
"
76722,首坐,shǒuzuò,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>首坐</x-hw><x-pr> shǒuzuò</x-pr>
<dt>见“<a href=""entry://首座"" type=""see"">首座</a>”<x-f>。</x-f>现在规范词形写作“<a href=""entry://首座"" type=""normalized"">首座</a>”<x-f>。</x-f>
"
76769,帏幕,wéimù,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>帏幕</x-hw><x-pr> wéimù</x-pr>现在一般写作“帷幕”<x-f>。</x-f></dt>
"
76799,简截,jiǎnjié,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>简截</x-hw><x-pr> jiǎnjié</x-pr><br>见“<a href=""entry://简捷"" type=""see"">简捷</a>”<x-f>。</x-f>现在一般写作“简捷”<x-f>。</x-f></dt>
"
76984,沙鱼,shāyú,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>沙鱼</x-hw><x-pr> shāyú</x-pr><br>现在规范词形写作“<a href=""entry://鲨鱼"" type=""normalized"">鲨鱼</a>”<x-f>。</x-f>
"
77134,藐小,miǎoxiǎo,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>藐小</x-hw><x-pr> miǎoxiǎo</x-pr>现在一般写作“渺小”<x-f>。</x-f></dt>
"
77821,踟躇,chíchú,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>踟躇</x-hw><x-pr> chíchú</x-pr>现在一般写作“踟蹰”<x-f>。</x-f></dt>
"
