rank,origin_sn,new_sn
35001,1,1
35001,2,2
35005,1,1
35005,2,2
35007,1,1
35007,2,2
1. **sn=1,pos=名,definition=风趣幽默或有嘲讽意味的话**
2. **sn=2,pos=名,definition=特指歇后语**
35009,1,1
35009,2,2
35010,1,1
35010,2,2
35014,1,1
35014,2,2
35015,1,2
35015,2,1
35015,3,3
35018,1,1
35018,2,2
35025,1,1
35025,2,2
35056,1,1
35056,2,2
35066,1,2
35066,2,1
35075,1,2
35075,2,1
35080,1,1
35080,2,2
35085,1,1
35085,2,2
35096,1,1
35096,2,2
35127,2,1
35127,1,2
35135,1,1
35135,2,2
35146,1,2
35146,2,1
35155,1,2
35155,2,1
35157,1,2
35157,2,1
35161,1,1
35161,2,2
35168,1,1
35168,2,2
35176,1,2
35176,2,1
35179,1,2
35179,2,1
35179,3,3
35188,1,2
35188,2,1
35190,1,1
35190,2,2
35217,1,1
35217,2,2
35218,1,3
35218,2,2
35218,3,1
35224,1,2
35224,2,1
35225,1,1
35225,2,2
35235,1,2
35235,2,1
35249,1,1
35249,2,2
35251,1,2
35251,2,1
35273,1,1
35273,2,2
35287,1,2
35287,2,1
35288,1,2
35288,2,1
35298,1,1
35298,2,2
35300,1,1
35300,2,2
35306,1,1
35306,2,2
35306,3,3
35318,1,2
35318,2,1
35330,1,3
35330,2,1
35330,3,2
35346,1,1
35346,2,2
35348,1,1
35348,2,2
35350,1,2
35350,2,1
35359,1,1
35359,2,2
35364,1,2
35364,2,1
35377,1,2
35377,2,1
35378,2,1
35378,1,2
35391,1,1
35391,2,2
35407,1,1
35407,2,2
35410,1,2
35410,2,1
35416,1,2
35416,2,1
35423,1,1
35423,2,2
35427,1,2
35427,2,1
35446,1,2
35446,2,1
35455,1,2
35455,2,1
35457,1,2
35457,2,1
35464,1,1
35464,2,2
35472,1,1
35472,2,2
35472,3,3
> 注：本例中原始顺序（sn=1,2,3）恰好符合常用度排序，因此新序号与原序号一致。
35472,1,1
35472,2,2
35472,3,3
35517,2,1
35517,1,2
35525,2,1
35525,1,2
35540,1,1
35540,2,2
35540,3,3
35541,1,1
35541,2,2
35547,2,1
35547,1,2
35557,1,1
35557,2,2
35560,1,1
35560,2,2
35563,1,1
35563,2,2
35564,1,2
35564,2,1
35568,1,1
35568,2,2
35572,1,1
35572,2,2
35580,1,1
35580,2,2
35605,1,2
35605,2,1
35606,1,1
35606,2,2
35606,3,3
35606,1,1
35606,2,2
35606,3,3
35609,1,1
35609,2,2
35613,1,1
35613,2,2
35620,1,1
35620,2,2
35621,1,2
35621,2,1
35622,1,1
35622,2,2
35628,1,1
35628,2,2
35639,1,1
35639,2,2
35651,1,3
35651,2,1
35651,3,2
35653,1,1
35653,2,2
35657,1,2
35657,2,1
35664,1,1
35664,2,2
35669,2,1
35669,1,2
35671,1,2
35671,2,1
35685,1,1
35685,2,2
35690,1,1
35690,2,2
35690,3,3
35690,1,1
35690,2,2
35690,3,3
35691,1,1
35691,2,2
35701,1,1
35701,2,2
35726,1,1
35726,2,2
35726,1,1
35726,2,2
35728,1,1
35728,2,2
35755,1,1
35755,2,3
35755,3,2
35765,1,2
35765,2,1
35768,1,1
35768,2,2
35768,3,3
