rank,origin_sn,new_sn
3502,2,1
3502,3,2
3502,1,3
3503,2,1
3503,3,2
3511,1,1
3511,2,3
3511,3,2
3511,1,1
3511,2,3
3511,3,2
3514,2,1
3514,3,2
3531,1,3
3531,2,1
3531,3,5
3531,4,2
3531,5,4
3532,1,1
3532,2,2
3582,2,1
3582,1,2
3598,1,1
3598,2,2
3615,1,2
3615,2,1
3624,1,1
3624,2,2
3624,3,3
3624,4,4
3627,1,1
3627,2,2
3639,3,1
3639,2,2
3639,1,3
3642,1,2
3642,2,1
3649,1,1
3649,2,2
3653,1,1
3653,2,2
3670,1,3
3670,2,2
3670,3,1
3687,1,1
3687,2,2
3697,1,1
3697,2,2
3710,1,1
3710,2,2
3720,1,1
3720,2,2
3728,1,2
3728,2,1
3728,3,3
3729,1,1
3729,2,2
3732,1,1
3732,2,2
3742,1,1
3742,2,2
3742,3,3
3742,1,1
3742,2,2
3742,3,3
3761,1,2
3761,2,1
3761,3,3
3808,1,1
3808,2,2
3808,3,3
3808,1,1
3808,2,2
3808,3,3
3829,1,2
3829,2,1
3830,1,2
3830,2,3
3830,3,1
3834,1,1
3834,2,2
3845,1,1
3845,2,2
3858,1,1
3858,2,2
3869,1,1
3869,2,2
3869,3,3
3911,1,2
3911,2,1
3921,1,2
3921,2,1
3934,1,1
3934,3,2
3944,1,2
3944,2,1
3961,2,1
3961,3,2
3988,1,2
3988,2,1
3999,6,1
3999,4,2
3999,5,3
3999,1,4
3999,2,5
4007,1,1
4007,3,2
4007,2,3
4011,4,1
4011,1,2
4011,2,3
4011,3,4
4015,1,2
4015,2,3
4015,3,1
4044,1,3
4044,2,2
4044,3,1
4046,2,1
4046,3,2
4046,1,3
4074,1,2
4074,2,1
4076,1,1
4076,2,2
4079,1,1
4079,2,2
4102,1,2
4102,2,1
4146,1,1
4146,2,2
4146,3,3
4151,1,1
4151,2,2
4191,1,1
4191,2,2
4209,1,1
4209,2,2
4214,2,1
4214,1,2
4228,1,1
4228,2,2
4228,3,3
4249,1,1
4249,2,2
4249,1,1
4249,2,2
4257,1,1
4257,2,2
4281,1,3
4281,2,2
4281,3,1
4305,1,2
4305,2,1
4311,硌,"gè,1,动,""身体的某部位跟凸起的或硬的东西接触而感到不适或受到损伤"",""饭里有沙子，把牙硌了｜走石子儿路硌脚"
4311,硌,"luò,2,名,""山上的巨石"","
4311,1,1
4311,2,2
4312,3,1
4312,1,2
4312,2,3
4313,1,1
4313,2,2
4318,1,1
4318,2,2
4397,1,1
4397,2,2
4403,1,1
4403,2,2
4411,1,1
4411,2,2
4416,3,1
4416,2,2
4416,1,3
4419,1,1
4419,2,2
4423,1,1
4423,2,2
4438,3,1
4438,1,2
4438,2,3
4445,1,2
4445,2,1
4496,2,1
4496,3,2
4496,1,3
4533,1,3
4533,2,2
4533,3,1
4547,1,2
4547,2,1
4551,1,1
4551,2,2
4553,1,1
4553,2,2
4563,1,1
4563,2,2
4572,1,1
4572,2,2
4577,2,1
4577,3,2
4600,1,1
4600,2,2
4600,1,1
4600,2,2
4625,2,1
4625,1,2
4646,1,1
4646,2,2
4646,3,3
4646,1,1
4646,2,2
4646,3,3
4657,1,1
4657,2,2
4657,3,3
4686,1,1
4686,2,2
4686,3,3
4713,1,1
4713,2,2
4713,3,3
4716,1,1
4716,2,2
4741,1,1
4741,2,3
4741,3,2
4747,1,1
4747,2,2
4747,1,1
4747,2,2
4769,1,1
4769,2,2
4801,1,1
4801,2,2
4804,1,1
4804,2,2
4804,3,3
4804,1,1
4804,2,2
4804,3,3
4832,1,1
4832,2,2
4833,1,1
4833,2,2
4837,1,2
4837,2,1
4862,4,1
4862,1,2
4862,2,3
4862,3,4
4862,7,5
4880,1,1
4880,2,2
4893,1,2
4893,2,1
5027,1,1
5027,2,2
5032,2,1
5032,3,2
5032,5,3
5032,4,4
5032,1,5
5053,1,1
5053,2,2
### 输出结果（按 id,origin_sn,new_sn）：
5085,1,1
5085,2,3
5085,3,2
5156,2,1
5156,3,2
5219,1,1
5219,2,2
5319,1,1
5319,2,2
5354,1,1
5354,2,2
5368,2,1
5368,1,2
5373,1,1
5373,3,2
5373,2,3
5373,1,1
5373,3,2
5373,2,3
5374,1,1
5374,2,2
5396,1,1
5396,2,2
5462,1,1
5462,2,2
5462,1,1
5462,2,2
5466,1,1
5466,2,2
5483,1,2
5483,2,1
