rank,origin_sn,new_sn
60010,1,1
60010,2,2
60012,1,1
60012,2,2
60025,1,3
60025,2,2
60025,3,1
60035,1,2
60035,2,1
60072,1,1
60072,2,2
60072,1,1
60072,2,2
60079,2,1
60079,1,2
60080,1,2
60080,2,1
60082,1,2
60082,2,1
60088,1,2
60088,2,1
60129,1,1
60129,2,2
60153,1,1
60153,2,2
60174,1,2
60174,2,1
60188,1,2
60188,2,1
60222,2,1
60222,1,2
60230,1,1
60230,2,2
60240,1,1
60240,2,2
60240,1,1
60240,2,2
60259,1,1
60259,2,2
60259,1,1
60259,2,2
60275,2,1
60275,1,2
60320,2,1
60320,1,2
60331,1,1
60331,2,2
60354,1,1
60354,2,2
60354,3,3
60371,1,1
60371,2,2
60374,1,2
60374,2,1
60388,1,1
60388,2,2
60391,1,1
60391,2,2
60393,1,1
60393,2,2
60411,1,2
60411,2,1
60414,1,1
60414,2,2
60414,3,3
60414,1,1
60414,2,2
60414,3,3
60455,1,1
60455,2,2
60480,1,1
60480,2,2
60517,1,2
60517,2,1
60517,1,2
60517,2,1
60578,1,3
60578,2,2
60578,3,1
60592,1,1
60592,2,2
60610,2,1
60610,1,2
60661,1,2
60661,2,1
60736,1,1
60736,2,2
60752,1,1
60752,2,2
60783,1,1
60783,2,2
60786,1,1
60786,2,2
60830,2,1
60830,1,2
60836,1,1
60836,2,2
60844,1,1
60844,2,2
60877,1,1
60877,2,2
60877,1,1
60877,2,2
60878,2,1
60878,1,2
60878,3,3
60886,1,1
60886,2,2
60902,1,1
60902,2,2
60909,1,2
60909,2,1
60918,1,1
60918,2,2
60954,1,1
60954,2,2
60970,1,2
60970,2,1
60981,1,1
60981,2,2
60981,1,1
60981,2,2
61013,2,1
61013,1,2
61035,1,2
61035,2,1
61067,1,2
61067,2,1
61086,1,2
61086,2,1
61087,1,1
61087,2,2
61154,1,1
61154,2,2
61176,1,2
61176,2,1
61190,1,2
61190,2,1
61286,2,1
61286,1,2
61309,2,1
61309,1,2
61426,1,1
61426,2,2
61437,1,1
61437,2,2
61440,1,2
61440,2,1
61445,1,2
61445,2,1
61447,2,1
61447,1,2
61472,1,1
61472,2,2
61481,1,1
61481,2,2
61491,1,1
61491,2,2
61495,1,2
61495,2,1
61500,1,1
61500,2,2
61517,1,1
61517,2,2
61517,1,1
61517,2,2
61520,1,2
61520,2,1
61601,1,1
61601,2,2
61601,3,3
61602,1,1
61602,2,2
61605,2,1
61605,1,2
61649,1,1
61649,2,2
61649,3,3
61649,1,1
61649,2,2
61649,3,3
61662,1,2
61662,2,1
61678,1,1
61678,2,2
61678,1,1
61678,2,2
61685,1,2
61685,2,1
61692,1,2
61692,2,1
61694,1,2
61694,2,1
61702,1,1
61702,2,2
61740,1,2
61740,2,1
61777,1,1
61777,2,2
61777,1,1
61777,2,2
61806,1,2
61806,2,1
61817,1,1
61817,2,2
61833,1,2
61833,2,1
61847,1,1
61847,2,2
61875,1,1
61875,2,2
61875,1,1
61875,2,2
61896,2,1
61896,1,2
61899,1,2
61899,2,1
61905,2,1
61905,1,2
61905,3,3
61906,1,1
61906,2,2
61924,1,2
61924,2,1
61939,1,2
61939,2,1
61967,1,1
61967,2,2
61971,2,1
61971,1,2
62000,1,1
62000,2,2
62007,1,1
62007,2,2
62029,1,1
62029,2,2
62036,1,1
62036,2,2
62048,2,1
62048,1,2
62066,1,2
62066,2,1
62100,1,1
62100,2,2
62105,1,2
62105,2,1
62115,1,1
62115,2,2
62126,1,1
62126,2,2
62128,1,2
62128,2,1
62172,1,1
62172,2,2
62201,1,1
62201,2,2
62235,1,1
62235,2,2
62246,1,1
62246,2,2
62246,1,1
62246,2,2
62247,1,2
62247,2,1
62248,1,1
62248,2,2
62256,1,2
62256,2,1
62270,1,2
62270,2,1
62299,1,1
62299,2,2
62307,1,1
62307,2,2
62307,1,1
62307,2,2
62309,1,1
62309,2,2
62326,1,1
62326,2,2
62380,1,1
62380,2,2
62395,1,2
62395,2,1
- id=62406,zici=补编,"pinyin=bǔbiān, sn=1, pos=名 → 名词义"
- id=62406,zici=补编,"pinyin=bǔbiān, sn=2, pos=动 → 动词义"
62406,1,1
62406,2,2
62406,1,1
62406,2,2
62446,1,1
62446,2,2
62450,1,2
62450,2,1
62455,1,1
62455,2,2
62466,1,1
62466,2,2
62472,1,1
62472,2,2
62494,1,1
62494,2,2
62502,1,1
62502,2,2
62515,1,2
62515,2,1
62525,1,1
62525,2,2
62537,1,1
62537,2,2
62561,1,1
62561,2,2
62577,1,2
62577,2,1
62588,1,1
62588,2,2
62602,1,1
62602,2,2
62606,1,1
62606,2,2
62630,1,1
62630,2,2
62656,1,3
62656,2,1
62656,3,2
62668,1,1
62668,2,2
62687,1,1
62687,2,2
62715,1,1
62715,2,2
62753,1,1
62753,2,2
62769,1,1
62769,2,2
62843,1,1
62843,2,2
62844,1,2
62844,2,1
62922,1,1
62922,2,2
62922,1,1
62922,2,2
62924,1,1
62924,2,2
62928,1,1
62928,2,2
62928,3,3
62931,1,2
62931,2,1
62931,3,3
62937,1,2
62937,2,1
62939,1,1
62939,2,2
62939,3,3
62939,1,1
62939,2,2
62939,3,3
62948,1,1
62948,2,2
62958,1,2
62958,2,1
62965,1,1
62965,2,2
62979,1,2
62979,2,1
62995,1,1
62995,2,2
63045,1,1
63045,2,2
63045,1,1
63045,2,2
63049,1,1
63049,2,2
63049,1,1
63049,2,2
63055,1,2
63055,2,1
63055,3,3
63066,1,1
63066,2,2
63068,1,2
63068,2,1
63079,1,2
63079,2,1
63107,1,2
63107,2,1
63131,1,1
63131,2,2
63144,1,1
63144,2,2
63144,3,3
63147,1,1
63147,2,2
63172,1,1
63172,2,2
63205,1,1
63205,2,2
63206,1,2
63206,2,1
63228,1,2
63228,2,1
63230,1,1
63230,2,2
63263,1,1
63263,2,2
63307,1,2
63307,2,1
63327,1,1
63327,2,2
63331,1,1
63331,2,2
63331,1,1
63331,2,2
63386,1,1
63386,2,2
63391,1,1
63391,2,2
63410,1,2
63410,2,1
63417,1,2
63417,2,1
63454,1,1
63454,2,2
63457,1,1
63457,2,2
63457,1,1
63457,2,2
63459,1,2
63459,2,1
63459,3,3
63460,2,1
63460,1,2
63493,2,1
63493,1,2
63520,1,2
63520,2,1
63535,1,1
63535,2,2
63540,2,1
63540,1,2
63543,2,1
63543,1,2
63581,1,1
63581,2,2
63589,1,1
63589,2,2
63599,1,1
63599,2,2
63655,1,4
63655,2,2
63655,3,3
63655,4,1
63662,2,1
63662,1,2
63700,1,1
63700,2,2
63700,1,1
63700,2,2
63706,1,1
63706,2,2
63742,1,2
63742,2,1
63754,1,1
63754,2,2
63771,2,1
63771,1,2
63776,1,1
63776,2,2
63798,1,1
63798,2,2
63804,2,1
63804,1,2
63807,1,1
63807,2,2
63807,3,3
63807,1,1
63807,2,2
63807,3,3
63814,1,1
63814,2,2
63845,1,2
63845,2,1
63876,1,1
63876,2,2
63904,1,2
63904,2,1
63923,1,1
63923,2,3
63923,3,2
63949,1,1
63949,2,2
63965,1,2
63965,2,1
63996,1,3
63996,2,1
63996,3,2
63996,4,4
64001,1,1
64001,2,2
64001,1,1
64001,2,2
64015,1,1
64015,2,2
64087,1,1
64087,2,2
64087,1,1
64087,2,2
64130,1,2
64130,2,1
64144,2,1
64144,1,2
64144,3,3
64152,1,1
64152,2,2
64153,1,1
64153,2,2
64154,1,2
64154,2,1
64160,2,1
64160,1,2
64164,1,1
64164,2,2
64200,1,2
64200,2,1
64236,1,1
64236,2,2
64246,1,1
64246,2,2
64253,1,1
64253,2,2
64253,3,3
64313,1,1
64313,2,2
64313,1,1
64313,2,2
64322,1,1
64322,2,2
64351,2,1
64351,1,2
64367,1,1
64367,2,2
