rank,origin_sn,new_sn
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,8,6
1,7,7
1,6,8
10,1,1
10,3,2
10,4,3
10,5,4
10,2,5
100,1,12
100,2,3
100,3,8
100,4,4
100,5,5
100,6,9
100,7,1
100,8,10
100,9,13
100,10,14
100,11,2
100,12,7
100,13,6
100,14,11
1000,1,2
1000,2,1
1000,3,3
1000,4,4
1000,5,5
1001,1,3
1001,2,2
1001,3,4
1001,4,1
1002,1,3
1002,2,2
1002,3,1
1003,6,1
1003,4,2
1003,2,3
1003,7,4
1003,10,5
1003,9,6
1003,1,7
1003,5,8
1003,3,9
1003,8,10
1003,6,1
1003,4,2
1003,2,3
1003,7,4
1003,10,5
1003,9,6
1003,1,7
1003,5,8
1003,3,9
1003,8,10
1004,1,2
1004,2,1
1004,3,3
1005,1,4
1005,2,3
1005,3,5
1005,4,1
1005,5,2
1006,3,1
1006,2,2
1006,1,3
1006,5,4
1006,4,5
1008,1,3
1008,2,5
1008,3,1
1008,4,6
1008,5,7
1008,6,4
1008,7,2
1. **mì,形,不公开的；隐蔽的** → 最常用（如“秘密”）
2. **mì,动,不让人知道；保密** → 次常用
3. **mì,形,稀奇的；罕见的** → 书面语，较罕见
4. **bì,名,国名，在南美洲** → 虽“秘鲁”常见，但属于专有名词固定搭配，独立释义使用少
1009,3,1
1009,5,2
1009,4,3
1009,1,4
101,1,1
101,2,3
101,3,4
101,4,2
101,5,8
101,6,6
101,7,5
101,8,9
101,10,7
101,1,1
101,2,3
101,3,4
101,4,2
101,5,8
101,6,6
101,7,5
101,8,9
101,10,7
1010,1,2
1010,2,1
1011,2,7
1011,3,8
1011,4,1
1011,5,3
1011,6,4
1011,7,5
1011,9,2
1011,10,6
1012,1,2
1012,2,1
1013,1,2
1013,2,5
1013,3,4
1013,4,1
1013,5,6
1013,6,3
1014,3,1
1014,1,2
1014,4,3
1014,2,4
1014,5,5
1014,6,6
1014,7,7
1015,1,5
1015,2,4
1015,3,3
1015,4,1
1015,5,2
1015,6,6
1016,1,1
1016,2,2
1018,1,1
1018,6,2
1018,4,3
1018,3,4
1018,2,5
1018,7,6
1018,5,7
1019,1,1
1019,2,7
1019,3,5
1019,4,4
1019,5,3
1019,6,6
1019,7,2
102,1,7
102,2,6
102,3,4
102,4,1
102,5,2
102,6,3
102,7,5
102,1,7
102,2,6
102,3,4
102,4,1
102,5,2
102,6,3
102,7,5
1020,3,1
1020,2,2
1020,4,3
1020,1,4
1020,6,5
1020,5,6
1020,7,7
1020,3,1
1020,2,2
1020,4,3
1020,1,4
1020,6,5
1020,5,6
1020,7,7
1021,2,1
1021,3,2
1021,1,3
1022,1,1
1022,3,2
1022,2,3
1023,1,1
1023,2,2
1024,1,1
1024,2,2
1024,3,3
1027,1,1
1027,4,2
1027,9,3
1027,5,4
1027,2,5
1027,6,6
1027,7,7
1027,10,8
1027,8,9
> 注意：原 `sn=3` 缺失，数据中从 sn=1,2,4 开始，故跳过 3，不影响排序。
1027,1,1
1027,4,2
1027,9,3
1027,5,4
1027,2,5
1027,6,6
1027,7,7
1027,10,8
1027,8,9
1028,4,1
1028,1,2
1028,5,3
1028,2,4
1028,6,5
1028,3,6
1029,3,1
1029,1,2
1029,2,3
103,1,7
103,2,4
103,3,2
103,4,3
103,5,6
103,6,1
103,7,5
1032,1,3
1032,2,2
1032,3,1
1032,4,4
1033,1,1
1033,2,2
1033,6,3
1033,7,4
1033,5,5
1033,3,6
1033,4,7
1033,1,1
1033,2,2
1033,6,3
1033,7,4
1033,5,5
1033,3,6
1033,4,7
1034,1,2
1034,2,1
1034,3,3
1035,3,1
1035,4,2
1035,2,3
1035,6,4
1036,1,6
1036,2,5
1036,3,1
1036,4,4
1036,5,2
1036,6,3
1037,1,1
1037,2,2
1037,3,3
1037,4,4
1038,1,4
1038,2,1
1038,2,2
1038,2,3
1039,1,3
1039,2,1
1039,3,2
1039,4,4
1039,5,5
1039,1,3
1039,2,1
1039,3,2
1039,4,4
1039,5,5
104,1,2
104,2,5
104,3,1
104,4,4
104,5,3
1040,1,2
1040,2,3
1040,3,1
1041,1,2
1041,2,1
1041,3,3
1041,4,4
1041,5,5
1042,1,1
1042,2,2
1042,3,3
1042,4,4
1042,1,1
1042,2,2
1042,3,3
1042,4,4
1043,1,3
1043,2,1
1043,3,2
1044,1,2
1044,2,1
1045,1,2
1045,2,3
1045,3,4
1045,4,5
1045,5,6
1045,6,1
1047,1,1
1047,2,2
1047,5,3
1047,4,4
1047,3,5
1048,1,2
1048,2,1
1049,1,2
1049,2,3
1049,3,1
105,1,3
105,2,1
105,3,4
105,4,2
1050,1,2
1050,2,1
1050,3,3
1051,1,1
1051,2,2
1051,3,3
1052,1,1
1052,2,2
1052,3,3
1052,4,4
1053,1,1
1053,2,6
1053,3,3
1053,4,4
1053,5,8
1053,6,2
1053,7,7
1053,8,5
1054,1,1
1054,2,3
1054,3,2
1055,1,1
1055,2,4
1055,3,2
1055,4,3
1055,1,1
1055,2,4
1055,3,2
1055,4,3
1056,2,1
1056,3,2
1056,5,3
1056,4,4
1056,1,5
1057,3,2
1057,4,3
1057,5,1
1057,6,4
1057,7,5
1057,3,2
1057,4,3
1057,5,1
1057,6,4
1057,7,5
1058,1,1
1058,2,5
1058,3,3
1058,4,2
1058,5,4
1058,6,6
1058,7,7
1059,1,1
1059,2,2
106,2,1
106,3,2
106,1,3
106,7,4
106,6,5
106,4,6
106,5,7
106,8,8
1060,1,2
1060,2,1
1061,1,8
1061,2,1
1061,3,2
1061,4,3
1061,5,4
1061,6,5
1061,7,6
1061,8,7
1062,1,2
1062,2,1
1062,3,3
1063,1,1
1063,2,2
1063,3,3
1065,1,1
1065,2,2
1066,5,1
1066,2,2
1066,3,3
1066,6,4
1066,4,5
1066,7,6
1066,1,7
1066,5,1
1066,2,2
1066,3,3
1066,6,4
1066,4,5
1066,7,6
1066,1,7
1067,4,1
1067,1,2
1067,2,3
1067,3,4
1067,5,5
1069,1,3
1069,2,2
1069,3,4
1069,4,1
107,1,5
107,2,1
107,3,3
107,4,4
107,5,2
107,6,10
107,7,9
107,8,11
107,9,6
107,10,7
107,11,8
1070,1,1
1070,3,2
1070,2,3
1071,5,1
1071,2,2
1071,3,3
1071,1,4
1071,6,5
1071,5,1
1071,2,2
1071,3,3
1071,1,4
1071,6,5
1072,1,2
1072,2,1
1072,3,4
1072,4,5
1072,5,3
1073,1,2
1073,2,3
1073,3,4
1073,4,1
1074,1,1
1074,2,2
1075,1,1
1075,2,2
1076,1,1
1076,2,4
1076,3,2
1076,4,3
1077,1,2
1077,2,1
1077,3,4
1077,4,3
1077,5,5
1077,6,6
1077,7,8
1077,8,7
1077,10,9
1078,1,2
1078,2,1
1078,3,3
1078,4,4
1079,1,2
1079,2,1
108,1,1
108,2,2
108,3,3
108,4,4
108,5,5
108,6,6
108,8,1
108,9,2
108,10,3
108,11,4
108,12,5
108,13,6
1080,3,1
1080,1,2
1080,2,3
1081,1,3
1081,2,2
1081,3,1
1082,1,1
1082,3,2
1082,2,3
1083,1,1
1083,2,3
1083,3,6
1083,4,2
1083,5,7
1083,6,4
