rank,origin_sn,new_sn
1,1,2
1,2,1
100,1,1
100,2,2
1004,1,1
1004,2,2
1005,1,1
1005,2,2
1005,3,3
1005,4,4
1006,1,1
1006,2,2
1008,1,3
1008,2,1
1008,3,2
1009,1,1
1009,2,2
1010,1,2
1010,2,1
1014,1,1
1014,2,2
1016,1,2
1016,2,1
1019,1,2
1019,2,1
102,1,1
102,2,2
1020,1,1
1020,2,2
1022,1,1
1022,2,2
1025,1,2
1025,2,1
1029,1,2
1029,2,1
1029,3,3
1029,4,4
1037,1,1
1037,2,3
1037,3,2
1039,1,2
1039,2,1
104,1,1
104,2,2
1041,1,2
1041,2,1
1042,1,1
1042,2,2
1045,1,2
1045,2,1
- id=1047,zici=值得,pinyin=zhídé
1047,1,2
1047,2,1
1051,1,1
1051,2,2
1055,1,1
1055,2,3
1055,3,2
1056,1,1
1056,2,2
1060,1,1
1060,2,2
1060,1,1
1060,2,2
1061,1,1
1061,2,2
1064,1,1
1064,2,2
1065,1,1
1065,2,2
1067,1,1
1067,2,2
1069,1,1
1069,2,2
1076,1,1
1076,2,3
1076,3,2
1077,1,1
1077,2,2
108,1,1
108,2,2
108,3,3
1081,1,2
1081,2,3
1081,3,1
1083,1,1
1083,3,2
1083,2,3
1088,1,1
1088,2,2
1089,1,3
1089,2,2
1089,3,1
109,1,1
109,2,2
- id=1092,zici=构成,pinyin=gòuchéng
1092,1,1
1092,2,2
1095,1,2
1095,2,1
1096,1,1
1096,2,2
1098,1,1
1098,2,3
1098,3,2
1099,1,3
1099,2,4
1099,3,1
1099,4,6
1099,5,2
1099,6,5
110,4,1
110,2,2
110,1,3
110,3,4
110,5,5
1100,1,1
1100,2,2
1109,1,1
1109,2,2
1112,1,1
1112,2,2
1112,3,3
1114,1,1
1114,2,2
1116,1,1
1116,2,3
1116,3,2
1117,3,1
1117,2,2
1117,1,3
1121,1,1
1121,2,2
1122,1,2
1122,2,1
1124,1,2
1124,2,1
1125,1,3
1125,2,2
1125,3,1
1129,1,1
1129,2,2
113,4,1
113,1,2
113,2,3
113,3,4
113,5,5
1130,2,1
1130,1,2
1130,3,3
1130,4,4
1131,1,2
1131,2,1
