rank,origin_sn,new_sn
55015,2,1
55015,1,2
55050,1,1
55050,2,3
55050,3,2
55053,1,1
55053,2,2
55054,1,2
55054,2,1
55080,1,1
55080,2,2
55093,1,1
55093,2,2
55109,1,2
55109,2,1
55122,1,2
55122,2,1
55176,1,1
55176,2,2
55176,3,3
55200,2,1
55200,1,2
55221,1,1
55221,2,2
55221,3,3
55221,3,1
55221,1,2
55221,2,3
55230,1,1
55230,2,2
55242,1,2
55242,2,1
55254,2,1
55254,1,2
55258,1,1
55258,2,2
55272,1,1
55272,2,2
55279,1,3
55279,2,2
55279,3,1
55300,1,2
55300,2,1
55319,1,1
55319,2,2
55345,1,1
55345,2,2
55378,2,1
55378,1,2
55393,1,2
55393,2,1
55438,1,1
55438,2,2
55452,1,2
55452,2,1
55480,1,1
55480,2,2
55488,2,1
55488,1,2
55488,3,3
55490,1,1
55490,2,3
55490,3,2
55494,1,1
55494,2,2
55496,1,1
55496,2,3
55496,3,2
55501,1,1
55501,2,2
55513,2,1
55513,1,2
55534,1,1
55534,2,2
55561,1,1
55561,2,2
55567,1,2
55567,2,1
55592,1,1
55592,2,2
55603,1,1
55603,2,2
55628,1,1
55628,2,2
55634,1,1
55634,2,2
55634,1,1
55634,2,2
55671,1,1
55671,2,2
55672,1,1
55672,2,2
55691,1,1
55691,2,2
55716,1,2
55716,2,1
55717,1,1
55717,2,2
55743,1,2
55743,2,1
55771,1,2
55771,2,1
55776,2,1
55776,1,2
55795,1,1
55795,2,2
55797,1,2
55797,2,1
55812,2,1
55812,1,2
55818,1,2
55818,2,1
55850,1,1
55850,2,2
55857,1,2
55857,2,1
55875,1,1
55875,2,2
55881,1,2
55881,2,1
55883,1,1
55883,2,2
55893,1,2
55893,2,1
55895,2,1
55895,1,2
55943,1,1
55943,2,2
55977,1,1
55977,2,2
56009,1,1
56009,2,2
56009,1,1
56009,2,2
56010,1,1
56010,2,2
56015,1,1
56015,2,2
56039,1,1
56039,2,2
56043,1,1
56043,2,2
56043,1,1
56043,2,2
56051,1,2
56051,2,1
56051,3,3
56051,4,4
56056,1,1
56056,2,2
56063,1,1
56063,2,2
56063,1,1
56063,2,2
56076,1,2
56076,2,1
56124,1,2
56124,2,1
56133,1,1
56133,2,2
56141,1,2
56141,2,1
56156,1,1
56156,2,2
56166,1,2
56166,2,1
56195,1,1
56195,2,2
56202,1,1
56202,2,2
56213,1,1
56213,2,2
56223,1,1
56223,2,2
56238,1,1
56238,2,2
56259,1,1
56259,2,2
56259,1,1
56259,2,2
56299,1,2
56299,2,1
56303,1,1
56303,2,2
56305,2,1
56305,1,2
56306,2,1
56306,1,2
56323,1,2
56323,2,1
56324,1,1
56324,2,2
56324,1,1
56324,2,2
56362,1,2
56362,2,1
56368,1,1
56368,2,2
56368,3,3
56377,1,1
56377,2,2
56381,1,3
56381,2,2
56381,3,1
56397,2,1
56397,1,2
56412,1,1
56412,2,2
56419,1,1
56419,2,2
56437,1,2
56437,2,1
56437,3,3
56441,1,1
56441,2,2
56446,1,1
56446,2,2
56467,1,1
56467,2,2
56469,1,1
56469,2,2
56508,1,1
56508,2,2
56539,1,1
56539,2,2
56543,1,2
56543,2,1
56546,1,1
56546,2,2
56548,1,1
56548,2,2
56577,1,1
56577,2,2
56594,2,1
56594,1,2
56595,1,1
56595,2,2
56597,1,1
56597,2,2
56618,1,1
56618,2,2
56629,1,2
56629,2,1
56660,2,1
56660,3,2
56660,1,3
56665,1,1
56665,2,2
56670,1,1
56670,2,2
56670,3,3
56673,1,1
56673,2,2
56679,1,1
56679,2,2
56736,1,1
56736,2,2
56738,1,1
56738,2,2
56747,1,1
56747,2,2
56776,1,2
56776,2,1
56787,2,1
56787,1,2
56797,1,1
56797,2,2
56819,1,2
56819,2,1
56821,1,1
56821,2,2
56841,1,2
56841,2,1
56877,1,2
56877,2,1
56884,1,2
56884,2,1
56886,1,1
56886,2,2
56900,1,2
56900,2,1
56913,1,1
56913,2,2
56918,1,1
56918,2,2
56922,1,1
56922,2,2
56922,3,3
56959,1,1
56959,2,2
56959,1,1
56959,2,2
56961,1,2
56961,2,1
56965,1,2
56965,2,1
56985,1,1
56985,2,2
57008,2,1
57008,1,2
57024,1,1
57024,2,2
57033,1,1
57033,2,2
57088,1,1
57088,2,2
57088,1,1
57088,2,2
57090,1,1
57090,2,2
57096,1,1
57096,2,2
57106,2,1
57106,1,2
57106,3,3
57120,1,2
57120,2,1
57141,2,1
57141,1,2
57165,2,1
57165,1,2
57169,1,2
57169,2,1
57169,2,1
57169,1,2
57174,1,2
57174,2,1
57179,1,1
57179,2,2
57206,1,2
57206,2,1
57207,1,1
57207,2,2
57216,1,1
57216,2,2
57224,1,1
57224,2,2
57273,1,1
57273,2,2
57304,1,1
57304,2,2
57307,1,1
57307,2,2
57316,1,3
57316,2,2
57316,3,1
57328,1,1
57328,2,2
57341,1,1
57341,2,2
57347,1,1
57347,2,2
57349,2,1
57349,1,2
57371,1,1
57371,2,2
57399,1,1
57399,2,2
57406,1,1
57406,2,2
57436,1,2
57436,2,1
57440,1,2
57440,2,1
57451,1,1
57451,2,2
57461,1,1
57461,2,2
57469,1,1
57469,2,2
57475,2,1
57475,1,2
57488,1,1
57488,2,2
57499,1,1
57499,2,2
