rank,origin_sn,new_sn
75016,1,1
75016,2,2
75042,1,1
75042,2,2
75046,1,1
75046,2,2
75046,1,1
75046,2,2
75179,1,2
75179,2,1
75190,1,1
75190,2,2
75212,1,2
75212,2,1
75243,1,2
75243,2,1
75250,1,1
75250,2,2
75251,1,1
75251,2,2
75324,1,1
75324,2,2
75375,1,1
75375,2,2
75442,1,1
75442,2,2
75445,1,2
75445,2,1
75447,1,1
75447,2,2
75462,1,1
75462,2,2
75495,1,1
75495,2,2
75496,1,3
75496,2,2
75496,3,1
75547,1,1
75547,2,2
75595,1,1
75595,2,2
75604,1,1
75604,2,2
75633,1,1
75633,2,2
75649,1,2
75649,2,1
75664,2,1
75664,1,2
75701,1,2
75701,2,1
75766,1,1
75766,2,2
75766,1,1
75766,2,2
75807,1,2
75807,2,1
75822,1,1
75822,2,2
75881,1,1
75881,2,2
76010,1,1
76010,2,2
76010,1,1
76010,2,2
76060,1,2
76060,2,1
76127,1,1
76127,2,2
76160,1,2
76160,2,1
76162,1,1
76162,2,2
76232,1,1
76232,2,2
76269,1,1
76269,2,2
76290,1,1
76290,2,2
76308,1,2
76308,2,1
76372,1,1
76372,2,2
76415,1,1
76415,2,2
76430,1,1
76430,2,2
76434,1,1
76434,2,2
76596,2,1
76596,1,2
76638,1,1
76638,2,2
76638,1,1
76638,2,2
76656,1,1
76656,2,2
76669,1,1
76669,2,2
76701,1,2
76701,2,3
76701,3,1
76776,1,1
76776,2,2
76788,1,1
76788,2,2
76792,1,2
76792,2,1
76815,1,1
76815,2,2
76863,1,1
76863,2,2
76865,2,1
76865,1,2
76881,1,1
76881,2,2
76881,3,3
76987,1,1
76987,2,2
77005,1,2
77005,2,1
- “见到鲜血昏晕”（xuèyùn,动,"sn=4）比“产后昏晕”（xuèyùn, 动, sn=2）更广为人知。"
- “中医指这种病症”（xuèyùn,名,sn=3）是术语化表达，排最后。
77006,1,1
77006,2,3
77006,3,4
77006,4,2
77126,1,2
77126,2,1
77186,1,2
77186,2,1
77221,1,2
77221,2,1
77232,1,1
77232,2,2
77242,1,1
77242,2,2
77339,1,1
77339,2,2
77339,3,3
77344,1,1
77344,2,2
77406,1,1
77406,2,2
77437,1,1
77437,2,2
77437,1,1
77437,2,2
77451,1,2
77451,2,1
77455,1,1
77455,2,2
77516,1,1
77516,2,2
77521,1,2
77521,2,1
77571,1,1
77571,2,2
77739,1,1
77739,2,2
77739,1,1
77739,2,2
77781,1,1
77781,2,2
77956,2,1
77956,1,2
77970,1,2
77970,2,3
77970,3,1
78087,1,2
78087,2,1
78105,1,1
78105,2,2
78157,1,1
78157,2,2
78159,1,2
78159,2,1
78165,1,2
78165,2,1
78205,1,1
78205,2,2
78275,1,2
78275,2,1
78290,2,1
78290,1,2
78372,1,1
78372,2,2
78386,1,1
78386,2,2
78404,1,1
78404,2,2
78470,1,1
78470,2,2
78475,1,1
78475,2,3
78475,3,4
78475,4,2
78493,2,1
78493,1,2
78529,1,1
78529,2,2
78643,1,2
78643,2,1
78670,1,1
78670,2,2
78729,1,2
78729,2,1
78774,1,1
78774,2,2
78801,1,1
78801,2,2
78810,1,1
78810,2,2
78810,1,1
78810,2,2
78835,1,2
78835,2,1
78996,1,1
78996,2,2
79003,1,1
79003,2,2
79010,1,1
79010,2,2
79011,1,1
79011,2,2
79036,1,1
79036,2,2
79046,1,1
79046,2,2
79123,1,1
79123,2,2
79164,1,1
79164,2,2
79165,1,1
79165,2,2
79238,1,1
79238,2,2
79259,1,1
79259,2,2
79273,1,1
79273,2,2
79274,1,1
79274,2,2
79371,1,1
79371,2,2
79382,1,1
79382,2,2
79449,1,1
79449,2,2
79449,1,1
79449,2,2
79465,1,2
79465,2,1
79505,1,1
79505,2,2
79522,1,2
79522,2,1
79559,1,1
79559,2,2
79740,1,1
79740,2,2
79754,1,2
79754,2,1
79835,1,1
79835,2,2
79835,1,1
79835,2,2
79883,1,1
79883,2,2
79883,1,1
79883,2,2
79971,1,1
79971,2,2
79995,1,1
79995,2,2
