rank,origin_sn,new_sn
15003,1,1
15003,2,2
15020,1,2
15020,2,1
15020,3,3
15026,1,1
15026,2,2
15030,1,3
15030,2,2
15030,3,1
15031,1,2
15031,2,1
15032,1,1
15032,2,2
15035,1,3
15035,2,2
15035,3,1
15036,1,1
15036,2,2
15040,1,2
15040,2,1
15046,1,1
15046,2,2
15048,1,1
15048,2,2
15055,1,1
15055,2,2
15067,2,1
15067,1,2
15068,1,1
15068,2,2
15068,1,1
15068,2,2
15074,1,1
15074,2,2
15077,1,2
15077,2,1
15078,1,1
15078,2,2
15079,1,1
15079,2,2
15079,1,1
15079,2,2
15085,1,1
15085,2,2
15095,1,1
15095,2,2
15096,1,2
15096,2,1
15099,1,3
15099,2,1
15099,3,2
15101,1,1
15101,2,2
15105,2,1
15105,1,2
15110,1,1
15110,2,2
15114,1,2
15114,2,1
15119,1,1
15119,2,2
15124,1,1
15124,2,2
15124,1,1
15124,2,2
15130,2,1
15130,1,2
15134,1,1
15134,2,2
15137,1,2
15137,2,1
15139,1,1
15139,2,2
15141,1,1
15141,2,3
15141,3,2
15141,1,1
15141,2,3
15141,3,2
15143,1,1
15143,2,2
15146,1,2
15146,2,1
15152,1,1
15152,2,2
15158,1,1
15158,3,2
15158,2,3
15162,1,1
15162,2,2
15172,1,1
15172,2,2
15183,1,1
15183,2,2
15186,1,2
15186,2,1
15188,1,2
15188,2,1
15194,1,1
15194,2,2
15196,1,1
15196,2,2
15206,1,1
15206,2,2
15213,1,1
15213,2,2
15224,1,2
15224,2,1
15229,1,1
15229,2,2
15229,3,3
15229,4,4
15229,5,5
15238,1,2
15238,2,1
15238,3,3
15271,1,1
15271,2,2
15282,1,1
15282,2,2
15284,1,1
15284,2,2
15287,1,1
15287,2,2
15303,2,1
15303,1,2
15303,3,3
15309,1,1
15309,2,2
15309,3,3
15312,1,1
15312,2,2
15316,1,1
15316,2,2
15316,1,1
15316,2,2
15322,1,1
15322,2,2
15327,1,2
15327,2,1
15328,1,1
15328,2,2
15329,1,2
15329,2,1
15331,1,1
15331,2,2
15332,1,1
15332,2,2
15332,3,3
15338,1,2
15338,2,1
15339,1,1
15339,2,2
15341,1,2
15341,2,1
15342,2,1
15342,1,2
15346,1,2
15346,2,1
15359,1,1
15359,3,2
15359,2,3
15360,1,1
15360,2,2
15377,1,1
15377,2,2
15377,1,1
15377,2,2
15381,1,3
15381,2,4
15381,3,2
15381,4,1
15382,1,1
15382,2,2
15388,1,1
15388,2,2
15393,1,1
15393,2,2
15401,1,1
15401,2,2
15402,1,2
15402,2,1
15406,1,1
15406,2,2
15414,2,1
15414,1,2
15422,1,1
15422,2,2
15423,1,3
15423,2,2
15423,3,1
15425,1,1
15425,2,2
15431,2,1
15431,1,2
15439,1,1
15439,2,2
15449,1,1
15449,2,2
15449,1,1
15449,2,2
15455,1,1
15455,2,2
15470,1,1
15470,2,2
15473,1,1
15473,2,2
15480,1,1
15480,3,2
15480,2,3
15480,1,1
15480,3,2
15480,2,3
15482,1,1
15482,2,2
15482,1,1
15482,2,2
15485,1,1
15485,2,3
15485,3,2
15492,1,1
15492,2,2
15494,1,1
15494,2,2
15496,1,2
15496,2,1
15498,1,2
15498,2,3
15498,3,1
15502,1,1
15502,2,2
15511,1,2
15511,2,1
15512,1,1
15512,2,2
15519,1,1
15519,2,2
15533,1,1
15533,2,2
15534,1,2
15534,2,1
15534,3,3
15534,2,1
15534,1,2
15534,3,3
15538,2,1
15538,1,2
15546,1,2
15546,2,1
15548,1,3
15548,2,1
15548,3,2
15566,1,1
15566,2,2
15568,1,1
15568,2,2
15578,1,2
15578,2,1
15579,跳远,"tiàoyuǎn,1,动,""运动员按照规则，跑步至跳板单脚起跳，腾空向前跃入沙坑，以跳的远近定成绩"","
15579,跳远,"tiàoyuǎn,2,名,""指这种田赛运动项目，一般指急行跳远"","
15579,1,2
15579,2,1
15580,1,1
15580,2,2
15584,1,2
15584,2,1
15585,1,1
15585,2,2
15591,1,2
15591,2,1
15609,1,2
15609,2,1
15630,1,1
15630,2,2
15630,1,1
15630,2,2
15637,1,1
15637,2,2
15647,1,1
15647,2,2
15653,1,2
15653,2,1
15654,1,1
15654,4,2
15654,3,3
15654,2,4
15654,1,1
15654,4,2
15654,3,3
15654,2,4
15661,1,1
15661,2,2
15667,1,2
15667,2,1
15667,3,3
- id=15676,zici=当心,pinyin=dāngxīn
15676,1,1
15676,2,2
15690,1,1
15690,2,2
15695,1,1
15695,2,2
15697,1,1
15697,2,2
15703,1,1
15703,2,2
15706,1,1
15706,2,2
- sn=1,pos=名,定义：“秤锤和秤杆”——这是“权衡”的本义，较为书面或古语，现代常用度较低。
