hanzi_id,pinyin_id,hanzi,pinyin,hsk_level,frequency_rank,pinyin_sn
38,56441,学校,xué xiào,1,38,1
39,461,下,xià,1,39,1
40,55371,东西,dōng xi,1,40,1
40,55372,东西,dōng xī,1,40,2
41,56011,认识,rèn shi,1,41,1
42,481,年,nián,1,42,1
43,513,家,jiā,1,43,1
43,511,家,jia,1,43,2
43,512,家,jie,1,43,3
44,55911,朋友,péng you,1,44,1
45,532,里,lǐ,1,45,1
45,531,里,li,1,45,2
46,56481,医院,yī yuàn,1,46,1
47,541,多,duō,1,47,1
48,56611,昨天,zuó tiān,1,48,1
49,56321,下午,xià wǔ,1,49,1
50,200033,分钟,fēn zhōng,1,50,1
51,55421,多少,duō shao,1,51,1
51,55422,多少,duō shǎo,1,51,2
52,55821,明天,míng tiān,1,52,1
53,55361,电影,diàn yǐng,1,53,1
54,55691,老师,lǎo shī,1,54,1
55,654,那,nà,1,55,1
55,651,那,nā,1,55,2
55,652,那,nèi,1,55,3
55,653,那,nè,1,55,4
56,661,小,xiǎo,1,56,1
57,56061,上午,shàng wǔ,1,57,1
58,55341,电脑,diàn nǎo,1,58,1
59,56331,先生,xiān sheng,1,59,1
60,691,去,qù,1,60,1
61,55351,电视,diàn shì,1,61,1
62,711,都,dōu,1,62,1
62,712,都,dū,1,62,2
63,55751,妈妈,mā ma,1,63,1
64,55431,儿子,ér zi,1,64,1
65,56401,谢谢,xiè xie,1,65,1
66,56251,同学,tóng xué,1,66,1
67,56161,睡觉,shuì jiào,1,67,1
68,56471,医生,yī shēng,1,68,1
