rank,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
1,的,de,,,助,用在作定语的词或短语后面 表示对中心语的领属关系，对事物的性质、属性、范围等加以限定,我 的 书
1,的,de,,,助,用在作定语的词或短语后面 表示对中心语的领属关系，对事物的性质、属性、范围等加以限定,镀金 的 首饰
1,的,de,,,助,用在作定语的词或短语后面 表示对中心语的领属关系，对事物的性质、属性、范围等加以限定,幸福 的 童年
1,的,de,,,助,用在作定语的词或短语后面 表示对中心语加以描写,蓝蓝 的 天
1,的,de,,,助,用在作定语的词或短语后面 表示对中心语加以描写,愁眉苦脸 的 样子
1,的,de,,,助,用在名词、动词或形容词后面，构成名词性的“的”字结构,北京 的 、上海 的 都来了
1,的,de,,,助,用在名词、动词或形容词后面，构成名词性的“的”字结构,有大 的 、小 的 、中不溜 儿 的
1,的,de,,,助,用在名词、动词或形容词后面，构成名词性的“的”字结构,说 的 比唱 的 还好听 。
1,的,de,,,助,用在句末，表示肯定的语气或已然的语气,你这样做是行不通 的
1,的,de,,,助,用在句末，表示肯定的语气或已然的语气,老王什么时候走 的 ?
1,的,de,,,助,用在某些句子的动词和宾语之间，强调动作的施事者、受事者或时间、地点、方式等,主任签 的 字
1,的,de,,,助,用在某些句子的动词和宾语之间，强调动作的施事者、受事者或时间、地点、方式等,回来坐 的 飞机
1,的,de,,,助,用在某些句子的动词和宾语之间，强调动作的施事者、受事者或时间、地点、方式等,他昨天夜里犯 的 病
1,的,de,,,助,用在某些句子的动词和宾语之间，强调动作的施事者、受事者或时间、地点、方式等,我在上海念 的 中学 。
1,的,dī,,,名,的士,打 的
1,的,dì,,,名,箭靶的中心,众矢之 的
1,的,dì,,,名,箭靶的中心,有 的 放矢
1,的,dì,,,名,箭靶的中心,目 的
1,的,dí,,,形,确实；实在,的 证（确凿的证据）
1,的,dí,,,形,确实；实在,的 确
2,了,le,,,助,用在动词或形容词后，表示动作或性质、状态等变化已经完成（既可以表示过去或现在完成，也可以表示将来完成）,去图书馆借 了 一本书
2,了,le,,,助,用在动词或形容词后，表示动作或性质、状态等变化已经完成（既可以表示过去或现在完成，也可以表示将来完成）,人又老 了 许多
2,了,le,,,助,用在句尾或句中停顿的地方，表示出现某种新情况或发生某种变化（这种新情况可以是已经发生，也可以是即将发生，还可以是一种假设）,小王来信 了
2,了,le,,,助,用在句尾或句中停顿的地方，表示出现某种新情况或发生某种变化（这种新情况可以是已经发生，也可以是即将发生，还可以是一种假设）,都四月份 了 ，天还这么冷
2,了,le,,,助,用在句尾或句中停顿的地方，表示出现某种新情况或发生某种变化（这种新情况可以是已经发生，也可以是即将发生，还可以是一种假设）,天快亮 了
2,了,le,,,助,用在句尾或句中停顿的地方，表示出现某种新情况或发生某种变化（这种新情况可以是已经发生，也可以是即将发生，还可以是一种假设）,要是不走就见到他 了 。
2,了,le,,,助,⇒ 用在句尾或句中停顿的地方，表示劝阻或命令的语气,好 了 ，不要说话 了
2,了,le,,,助,⇒ 用在句尾或句中停顿的地方，表示劝阻或命令的语气,别干 了
2,了,le,,,助,⇒ 用在句尾或句中停顿的地方，表示感叹的语气,太不应该 了 !
2,了,le,,,助,⇒ 用在句尾或句中停顿的地方，表示感叹的语气,太棒 了 ，一枪打中10环 。
2,了,liǎo,,,动,完结；结束,又 了 了（le）一桩心事
2,了,liǎo,,,动,完结；结束,没完没 了
2,了,liǎo,,,动,完结；结束,敷衍 了 事
2,了,liǎo,,,动,完结；结束,一 了 百 了
2,了,liǎo,,,副,〈文〉全然（多用于否定）,了 无痕迹
2,了,liǎo,,,动,跟“得”或“不”组合用在动词后面，表示可能或不可能,干得 了
2,了,liǎo,,,动,跟“得”或“不”组合用在动词后面，表示可能或不可能,去得 了
2,了,liǎo,,,动,跟“得”或“不”组合用在动词后面，表示可能或不可能,这病好不 了
2,了,liǎo,,,名,○ 姓,
2,了,liǎo,,,动,很清楚地知道,了 如指掌
2,了,liǎo,,,动,很清楚地知道,一目 了 然
2,了,liǎo,,,动,很清楚地知道,明 了
3,是,shì,,,动,联系两种事物 表示等同、归类或领属,《红楼梦》的作者 是 曹雪芹
3,是,shì,,,动,联系两种事物 表示等同、归类或领属,李白 是 唐朝人
3,是,shì,,,动,联系两种事物 表示等同、归类或领属,这本书 是 我的
3,是,shì,,,动,联系两种事物 表示解释或描述,人家 是 丰年，我们 是 歉年
3,是,shì,,,动,联系两种事物 表示解释或描述,刘老师 是 近视眼
3,是,shì,,,动,联系两种事物 跟“的”构成“是……的”格式，表示强调,他的手艺 是 很高超的
3,是,shì,,,动,联系两种事物 跟“的”构成“是……的”格式，表示强调,我 是 不会干这种事的 。
3,是,shì,,,动,联系两种事物 表示存在,沿街 是 一排商店
3,是,shì,,,动,联系两种事物 表示存在,屋子里全 是 人
3,是,shì,,,动,⇒ 联系相同的两个词语 连用两次这样的格式，表示不含糊、够标准或两种事物不能混淆,这姑娘打扮得多漂亮，头 是 头，脚 是 脚
3,是,shì,,,动,⇒ 联系相同的两个词语 连用两次这样的格式，表示不含糊、够标准或两种事物不能混淆,丁 是 丁，卯 是 卯
3,是,shì,,,动,⇒ 联系相同的两个词语 连用两次这样的格式，表示不含糊、够标准或两种事物不能混淆,说 是 说，做 是 做
3,是,shì,,,动,⇒ 联系相同的两个词语 单用这种格式，表示强调事物的客观性,不懂就 是 不懂，不要装懂
3,是,shì,,,动,⇒ 联系相同的两个词语 单用这种格式，表示强调事物的客观性,事实总 是 事实
3,是,shì,,,动,⇒ 联系相同的两个词语 单用这种格式，表示让步，含有“虽然”的意思,朋友 是 朋友，原则还得坚持
3,是,shì,,,动,⇒ 联系相同的两个词语 单用这种格式，表示让步，含有“虽然”的意思,东西好 是 好，就是太贵 。
3,是,shì,,,动,⇒ 联系相同的两个词语 联系两个相同的数量结构，用在动词后，含有“算作”的意思，表示不考虑其他,走一步 是 一步
3,是,shì,,,动,⇒ 联系相同的两个词语 联系两个相同的数量结构，用在动词后，含有“算作”的意思，表示不考虑其他,给多少 是 多少
3,是,shì,,,动,⇒ 用于名词前，含有“适合”的意思,你来得正 是 时候
3,是,shì,,,动,⇒ 用于名词前，含有“适合”的意思,这柜子放得不 是 地方 。
3,是,shì,,,动,⇒ 用于名词前，含有“凡是”的意思,是 学生就应该好好学习
3,是,shì,,,动,⇒ 用于名词前，含有“凡是”的意思,是 活 儿 他都肯干
3,是,shì,,,动,⇒ 用于形容词或动词性的谓语前，“是”重读，表示坚决肯定，含有“的确” “实在”的意思,这间房子 是 太小
3,是,shì,,,动,⇒ 用于形容词或动词性的谓语前，“是”重读，表示坚决肯定，含有“的确” “实在”的意思,他见解 是 高明
3,是,shì,,,动,⇒ 用于形容词或动词性的谓语前，“是”重读，表示坚决肯定，含有“的确” “实在”的意思,我 是 有事，不是偷懒 。
3,是,shì,,,动,⇒ 用于句首，加重语气,是 父母把我们养育大的
3,是,shì,,,动,⇒ 用于句首，加重语气,是 下雨了，我不骗你 。
3,是,shì,,,动,⇒ 用于选择问句、是非问句或反问句,你 是 喝啤酒，还 是 喝白酒?
