definition_id,pinyin_id,definition_sn,pos,definition_cn,definition_en
67001,47313,1,动词,摆出摊儿卖货。,set up a street stall
67002,47314,1,,无论得宠还是受辱都不动心。形容把得失置之度外,unmoved by favor or disgrace
67003,47315,1,名词,空闲时间,leisure time
67004,47316,1,,热天已去，冷天到来。指四季更替，岁月流逝,as summer goes and winter comes
67005,47317,1,动词,蜜蜂采集花蜜,gather nectar (of bees)
67006,47317,2,动词,从蜜蜂蜂巢里采集蜂蜜,collect honey (from beehives)
67007,47318,1,动词,没有料想到,unexpected
67008,47318,2,名词,没有料想到的事情,unforeseen event
67009,47319,1,,指设置有一至六各个年级的小学。简称完小,complete primary school
67010,47320,1,,比喻看问题时的成见或偏见,colored glasses
67011,47321,1,,道教指神仙居住的地方；泛指非常清幽的名山胜地,cave paradise
67012,47322,1,名词,一份浓硝酸和三份浓盐酸的混合液。腐蚀性极强，可以溶解黄金等金属。冶金工业中用作溶剂,aqua regia
67013,47323,1,名词,风垂直作用于物体表面的压强。是建筑工程上需要掌握的数据,wind pressure
67014,47324,1,名词,社会上流行的习惯和风尚,prevailing custom
67015,47325,1,副词,【好歹】无论如何；不管怎么样,anyway
67016,47325,2,副词,【好歹】将就；凑和,make do
67017,47325,3,名词,【好歹】好的和坏的,good and bad
67018,47326,1,动词,假装；装作,pretend
67019,47327,1,动词,招人租用（房屋、设备等）,for rent
67020,47328,1,名词,木制梳子,wooden comb
67021,47329,1,形容词,萎靡颓废；特指乐声萎靡颓废,decadent (of music)
67022,47329,2,形容词,迟缓；柔弱,slow and weak
67023,47330,1,名词,指利用地区间差价，从事异地贩运以谋利的个体商贩。旧时因其未加入商业行帮，故称,itinerant trader
67024,47331,1,动词,丢脸；出丑,lose face
67025,47332,1,名词,物质进行化学反应时放出的能量。如煤燃烧时放出的光和热,chemical energy
67026,47333,1,动词,减少、压缩,reduce and compress
67027,47334,1,名词,言行轻率、莽撞的人,reckless person
67028,47335,1,名词,三角形的短内裤,briefs
67029,47336,1,名词,套在膝关节处，起保护作用的用品,knee pad
67030,47337,1,,原指每逢月初、月中吃一次肉食（牙祭：旧时店主、雇主向所雇用的人定期提供肉食）；现泛指偶尔吃一顿丰盛的饭菜,have a rare sumptuous meal
67031,47338,1,名词,统一考试中，为便于管理而划分的区域,examination district
67032,47339,1,名词,我国少数民族之一。主要分布在云南,Nu ethnic group
67033,47340,1,名词,加工、制造物品剩下的零碎材料,scrap material
67034,47341,1,名词,奶妈,wet nurse
67035,47342,1,名词,毛细血管,capillary
67036,47343,1,名词,某些地区指码头,wharf
67037,47344,1,动词,通常指摄影时的一种用光方法，即摄影时让光线从被摄物体的背后向摄影镜头射来。这种方法可以较清晰地勾勒物体轮廓或更突出地表现透明体,backlighting
67038,47345,1,名词,宇航员穿的特制服装，由密闭服和密闭头盔等组成，可保持与地面相同的气压和氧气供应，保障宇航员的生命安全和工作能力,spacesuit
67039,47346,1,动词,对抗上级,defy superiors
67040,47347,1,名词,一种深蓝色染料。用蓼蓝叶加工制成，现在也可用化学方法合成。通称蓝靛,indigo
67041,47348,1,名词,机器零件、工件表面光洁的程度,smoothness
67042,47349,1,名词,中医指12岁以下健康男孩儿的尿，可以做药材,boy's urine (used in TCM)
67043,47350,1,名词,用线条表示电子线路的平面示意图,circuit diagram
67044,47351,1,,比喻经济上发生困难,be short of money
67045,47352,1,,指遭到严重灾荒，粮食歉收,suffer from famine
67046,47353,1,名词,绣花用的细针,embroidery needle
67047,47354,1,名词,从事救生工作的人员；特指在游泳场所抢救溺水者的专职人员,lifeguard
67048,47355,1,名词,巩膜,sclera
67049,47356,1,形容词,心里着急,anxious
67050,47357,1,名词,病毒引起的急性传染病，患者多为儿童。症状为发烧，全身皮肤出现小红丘疹，二三日转为水疱，结痂而愈。病愈后终身免疫,chickenpox
67051,47358,1,名词,比喻危害他人或社会的人,evil person
67052,47358,2,名词,指妖魔鬼怪及一切怪异反常的事物,supernatural phenomena
67053,47359,1,名词,在耳垂上扎的小孔，可以佩戴耳饰,ear piercing
67054,47359,2,名词,外耳和内耳的通道,ear canal
67055,47360,1,名词,金属部件焊接的部位或焊接留下的痕迹,weld seam
