definition_id,pinyin_id,definition_sn,pos,definition_cn,definition_en
12778,3855,1,叹词,表示应诺,expressing agreement or assent
12779,3856,1,叹词,表示疑问,expressing doubt or questioning
12780,3857,1,叹词,表示不以为然或出乎意料,expressing disapproval or surprise
12781,3858,1,动词,用力把东西从食道或气管里咳出来,to cough up something from the esophagus or trachea
12782,3859,1,,音译用字，用于“吡（bǐ）咯”等,"a character used in transliteration, as in ""pyrrole"""
12783,3860,1,叹词,表示知道,expressing understanding or acknowledgment
12784,3861,1,拟声词,模拟响亮而短促的声音,"onomatopoeia for a loud, short sound"
12785,3862,1,形容词,调皮,mischievous
12786,3862,2,形容词,脾气古怪；乖僻,eccentric; peculiar in temperament
12787,3863,1,名词,生物体的细胞分泌的具有催化能力的蛋白质，可以促进体内的氧化作用、消化作用、发酵等，如蛋白酶、淀粉酶、凝血酶等。酶制剂广泛应用于食品、皮革、纺织、石油等工业以及医药卫生等方面,enzyme
12788,3864,1,,歌词中的衬字。,a filler word in song lyrics
12789,3865,1,,嘿（hēi）,hey (an interjection)
12790,3866,1,拟声词,模拟气或水喷出来的声音,onomatopoeia for the sound of air or water spurting out
12791,3867,1,拟声词,模拟羊叫的声音,onomatopoeia for the bleating of a sheep
12792,3868,1,名词,金属元素，符号U。银白色，有放射性，化学性质活泼。是最基本的核燃料，可用来产生原子能，制造原子弹、建造原子反应堆和核电站,uranium
12793,3869,1,动词,从嘴里慢慢地吐气,to exhale slowly from the mouth
12794,3869,2,拟,声模拟撮口吐气的声音，多用于表示制止,"onomatopoeia for the sound of blowing through pursed lips, often used to signal stopping"
12795,3870,1,叹词,表示制止说话或驱赶家禽,an interjection used to hush someone or shoo poultry
12796,3869,3,动词,蒸汽或热力接触物体引起变化,to cause change in an object through steam or heat contact
12797,3869,4,动词,〈文〉叹气,to sigh (in literary context)
12798,3871,1,拟声词,模拟某些发声器发出的声音,onomatopoeia for sounds made by certain devices
12799,3871,2,动词,〈口〉（嘴巴）向前撅着,to pout (the mouth) forward (colloquial)
12800,3872,1,名词,我国古代北方的一个民族；泛指古代北方各民族,an ancient northern ethnic group in China;refers to ancient northern peoples in general
12801,3873,1,拟声词,模拟重物落下或击鼓、敲门等的声音,"onomatopoeia for the sound of heavy objects falling, drumbeats, or knocking"
12802,3874,1,名词,金属元素，符号：Ba。银白色，有延展性，易氧化。可用作去氧剂，也用于制造合金、焰火等,barium
12803,3875,1,名词,金属元素，符号：Ti。银灰色，质硬而轻，延展性强，熔点较高，耐腐蚀。可用来制造特种合金钢,titanium
12804,3876,1,名词,金属元素，符号：Ni。银白色，质坚韧，有磁性和良好的延展性，在空气中不氧化。用于电镀及制造不锈钢和其他各种精密合金；也用于制造蓄电池和硬币等,nickel
12805,3877,1,名词,〈文〉篱笆,hedge; fence (in literary context)
12806,3878,1,名词,草木的枝茎,branch or stem of plants
12807,3878,2,名词,斧头的柄,handle of an axe
12808,3879,1,副词,〈文〉表示禁止或劝阻，相当于“不要”、“不可”,"do not; must not (in literary context, used for prohibition or dissuasion)"
12809,3880,1,名词,旧时男子除正妻以外另娶的女子,concubine (in historical context)
12810,3880,2,名词,古时女子的谦称,a humble self-reference by women in ancient times
12811,3881,1,名词,金属元素，符号：Ra。银白色，放射性强，具有强大穿透力，并不断大量放热。用于治疗癌症；镭盐和铍粉的混合制剂可以作为中子源，用于地质勘测。,radium
12812,3882,1,动词,目光很快地掠过,to glance quickly
12813,3883,1,名词,甘肃的别称,alternative name for Gansu Province
12814,3883,2,名词,陇山，山名，在甘肃和陕西交界的地方,"Longshan, a mountain name at the border of Gansu and Shaanxi"
12815,3884,1,动词,烹调方法，把食物放在锅里，加少量的水，扣紧锅盖，用文火慢煮，使物熟汤干,to braise (a cooking method)
12816,3885,1,动词,考察；鉴别,to examine; to distinguish
12817,3886,1,名词,旧时作货币用的浇铸成形的金块、银块,"ingot (historically used as currency, made of gold or silver)"
12818,3886,2,名词,锭状的东西（多指金属或药物）,ingot-shaped object (often metal or medicinal)
12819,3886,3,量词,用于锭状物,a measure word for ingot-shaped items
12820,3886,4,名词,纺纱机上绕纱的机件,spindle (on a spinning machine)
12821,3887,1,拟声词,模拟物体碰撞、断裂等的声音,onomatopoeia for the sound of objects colliding or breaking
12822,3888,1,,音译用字，用于“咔叽”、“咔唑”等,"a character used in transliteration, as in ""khaki"" or ""carbazole"""
12823,3889,1,名词,〈口〉女孩子；也用作对女孩子的昵称,girl (colloquial); also a term of endearment for a girl
12824,3890,1,代词,〈文〉指处所或事物，表示疑问，相当于“哪里”、“什么”、“为什么”,"where; what; why (in literary context, interrogative pronoun)"
12825,3891,1,形容词,某些地区指漂亮,pretty (in some dialects)
12826,3892,1,形容词,妆饰艳丽,beautifully adorned; gorgeous
12827,3892,2,动词,妆饰；修饰,to adorn; to decorate
12828,3893,1,动词,用脚掌向外猛然用力,to kick outward with the sole of the foot
12829,3893,2,动词,踩；踏,to step on; to tread
12830,3894,1,名词,去毛后经过熟制的兽皮,tanned leather (after hair removal and processing)
12831,3894,2,名词,皮带；皮绳,leather belt; leather rope
12832,3895,1,形容词,高耸凸出,towering; prominent
12833,3895,2,形容词,光秃,bald; bare
12834,3896,1,动词,〈口〉闲扯；聊天,to chat idly; to gossip (colloquial)
12835,3896,2,动词,用言语戏弄；调笑,to tease with words; to banter
12836,3896,3,形容词,〈文〉理直气壮，从容不迫,confident and composed (in literary context)
12837,3897,1,动词,把东西放在液体、粉状物或糊状物里沾一下就拿出来,"to dip briefly into a liquid, powder, or paste"
12838,3898,1,动词,用刀、斧等向下砍,to chop downward with a knife or axe
12839,3899,1,动词,食物堵塞咽喉；噎,to choke on food; to have food stuck in the throat
12840,3899,2,动词,因感情激动而声气阻塞,to choke up with emotion
12841,3900,1,动词,烹调方法，把食物（多指肉类）用小火煮得烂熟,"to stew (a cooking method, usually for meat)"
12842,3900,2,动词,把盛在容器里的东西连容器一起放在热水里，使变热,to warm something by placing its container in hot water
12843,3901,1,拟声词,模拟猫叫的声音,onomatopoeia for the sound of a cat meowing
12844,3902,1,动词,慢步走；随便走走,to stroll; to walk slowly
12845,3902,2,动词,牵着牲畜或提着鸟笼慢步走,to walk a pet or carry a birdcage slowly
12846,3903,1,形容词,好；善,good; virtuous
12847,3903,2,动词,褒扬；称赞,to praise; to commend
12848,3904,1,动词,蔓延燃烧,to burn and spread
12849,3905,1,动词,靠近火而被烧焦,to be scorched by fire
12850,3904,2,动词,烫,to scald
12851,3906,1,量词,用于叠在一起的纸张等较薄的东西,a measure word for stacks of thin items like paper
12852,3907,1,形容词,重复；繁多,repetitive; numerous
12853,3908,1,动词,紧握,to grip tightly
12854,3909,1,动词,指责；惩罚,to blame; to punish
12855,3909,2,动词,杀死,to kill
12856,3910,1,名词,非金属元素，符号F。浅黄绿色气体，味臭，有毒，腐蚀性极强，是非金属中最活泼的元素。是制造特种塑料、橡胶和冷冻剂的原料,fluorine
12857,3911,1,动词,不经心地放；搁下,to put down carelessly; to set aside
12858,3911,2,动词,扔掉；抛弃,to throw away; to abandon
12859,3911,3,动词,摔倒；弄倒,to knock down; to cause to fall
12860,3912,1,名词,非金属元素，符号：Se。导电能力随光照强度的增减而变化。可用于太阳能电池、整流器、摄像设备、光电管等,selenium
12861,3913,1,动词,应付；敷衍,to cope with; to handle perfunctorily
12862,3913,2,动词,抵挡,to resist; to withstand
12863,3913,3,动词,用泥或涂料涂抹（炉膛或金属坯胎）,to coat (as with mud or paint on a stove or metal base)
12864,3914,1,名词,类似棒子的敲打用具。一般一头较粗或为球形,"mallet; a beating tool, often with one thick or spherical end"
12865,3915,1,拟声词,模拟笑声或撕裂声等,onomatopoeia for laughter or tearing sounds
12866,3916,1,名词,犊子,calf
12867,3917,1,副词,〈文〉一起；共同,together; jointly (in literary context)
12868,3918,1,名词,中医指局部皮肤肿胀坚硬的毒疮,"a type of toxic sore with hard, swollen skin in traditional Chinese medicine"
12869,3919,1,动词,翘起,to stick up; to protrude
12870,3919,2,动词,折断,to break off
12871,3919,3,动词,使人感到为难,to embarrass someone; to make things difficult
12872,3920,1,名词,船、飞机等两侧的边沿部分；也指其两侧,side of a ship or aircraft; also refers to its lateral parts
12873,3921,1,形容词,〈文〉深,deep (in literary context)
12874,3922,1,名词,古代指军粮；后多指军警、政府机关工作人员的薪俸,"military provisions in ancient times; later refers to salaries for military, police, or government staff"
12875,3923,1,动词,〈文〉两手抱拳，置于胸前，一种行礼方式,to bow with hands clasped in front of the chest (a form of greeting in literary context)
12876,3924,1,动词,用铡刀切,to cut with a hay cutter
12877,3924,2,名词,铡刀,hay cutter
12878,3925,1,动词,闪过,flash past
12879,3925,2,动词,拽（zhuài）；拉,pull; tug
12880,3925,3,动词,抽取,draw out
12881,3926,1,名词,没有柄的小杯子,handleless small cup
12882,3927,1,副词,急切地；赶紧,urgently; hastily
12883,3928,1,副词,表示动作行为的多次重复，相当于“屡次”,repeatedly; frequently
12884,3929,1,名词,金属元素，符号：Mg。银白色，燃烧时发出极亮的白光。镁粉可制造焰火、照明弹等，铝镁合金可以制作航空器材,magnesium
12885,3930,1,名词,一种狭长的、垂直悬挂的旗子,long narrow vertical flag
12886,3930,2,名词,旧指引魂幡，出殡时孝子手持的狭长像幡的东西,funerary banner
12887,3931,1,名词,车前部驾牲畜的木杆。先秦时代是一根曲木，在车的中间；汉代以后多是两根直木，在车前两侧,shafts of a cart
12888,3931,2,名词,古代指辕门；后也借指官署,headquarters; government office
12889,3932,1,动词,烹调方法，在烧、炒之前把菜、肉等放到热油中炒到半熟,stir-fry briefly in hot oil
12890,3933,1,动词,买卖货物时延期付款或收款,buy or sell on credit
12891,3934,1,动词,〈文〉闭,close; seal
12892,3934,2,动词,特指为书信封口（常用在信封上寄信人姓名后）,seal (a letter)
12893,3934,3,名词,书信,letter
12894,3935,1,动词,〈文〉用双手捧,hold with both hands
12895,3936,1,形容词,形容能把一种东西粘（zhān）连在另一种东西上的性质,sticky; adhesive
12896,3937,1,动词,把食物放在煲中用小火慢煮或熬,simmer in a pot
12897,3937,2,名词,壁较为陡直呈圆筒状的锅,pot with steep sides
12898,3938,1,动词,积累；储蓄,accumulate; save
12899,3939,1,动词,拼凑；聚集,assemble; gather
12900,3940,1,动词,谋取,seek; obtain
12901,3941,1,,用于地名。如：牟平，在山东；中牟，在河南,used in place names
12902,3942,1,名词,鸟，像鹰而较大，嘴呈钩状，视觉敏锐，善飞翔，性凶猛，捕食鸟兽。种类很多，常见的有秃鹫、兀鹫,vulture
12903,3942,2,名词,〈文〉雕1,eagle
12904,3943,1,名词,套在脚腕上的刑具,fetters
12905,3944,1,形容词,〈文〉盛大,grand; majestic
12906,3945,1,叹词,表示惊讶、惊恐,expressing surprise or alarm
12907,3945,2,叹词,表示突然发现或想起,expressing sudden realization or recall
12908,3946,1,量词,用于字画和照片等，相当于“幅”,classifier for paintings/photos
12909,3946,2,名词,画幅,picture frame
12910,3947,1,动词,吃；吞咽,eat; swallow
12911,3948,1,动词,从井里打水；泛指从下往上打水,draw water
