example_id,definition_id,example_sn,example_cn
13264,13250,1,中国是一个伟大的国家｜中国的文化源远流长
13265,13251,1,古代中国指京师地区｜中国曾是帝王居住之地
13266,13252,1,小企业发展成了跨国公司。
13267,13253,1,发展党员
13268,13254,1,发展经济｜经济学｜农业经济
13269,13255,1,家庭经济状况良好｜他经济上并不宽裕。
13270,13256,1,为这个项目投入那么多资金，很不经济｜大众饭菜经济实惠。
13271,13257,1,经济发展迅速｜关注经济形势
13272,13258,1,经济基础决定上层建筑｜经济是社会的基础
13273,13259,1,他立志经济天下｜古人讲究经济之道
13274,13260,1,我们一起去公园｜我们热爱学习
13275,13261,1,这就是我们要提出的问题。
13276,13262,1,同志们，我们一定要注意安全。
13277,13263,1,我们那口子挺会心疼人的。
13278,13264,1,国家繁荣昌盛｜爱护国家财产
13279,13265,1,走遍国家每个角落｜国家领土完整
13280,13266,1,记者采访了市长｜记者报道新闻
13281,13267,1,我没有这本书｜他没有时间
13282,13268,1,屋里没有人｜桌上没有东西
13283,13269,1,找工作
13284,13270,1,咨询工作｜教学工作
13285,13271,1,工作到深夜
13286,13272,1,计算机开始工作
13287,13273,1,你们要支持他们｜他们俩是亲兄弟
13288,13274,1,代表广大人民的利益｜人民是国家的主人。
13289,13275,1,物资供应已不成问题｜资金匮乏是个大问题。
13290,13276,1,这种想法有问题｜心脏有问题
13291,13277,1,回答老师三个问题。
13292,13278,1,问题在于没有找到规律。
13293,13279,1,开车十几年从来没有出过问题。
13294,13280,1,进行说服教育｜事情进行得很顺利。
13295,13281,1,进行曲
13296,13282,1,社会活动｜社会调查
13297,13283,1,社会需要和谐｜关注社会问题
13298,13284,1,国际往来
13299,13285,1,国际准则｜国际公法
13300,13286,1,让我自己来吧｜石头是自己滚下来的｜把困难留给自己
13301,13287,1,自己人｜自己家里
13302,13288,1,政府发布新政策｜地方政府办事
13303,13289,1,企业要创新发展｜这家企业很大
13304,13290,1,世界各国｜全世界
13305,13291,1,儿童世界｜内心世界｜海底世界
13306,13292,1,世界观
13307,13293,1,满世界乱跑
13308,13294,1,大千世界
13309,13295,1,北京是首都｜我去北京旅游
13310,13296,1,农贸市场
13311,13297,1,农业市场｜文化市场｜欧洲市场
13312,13298,1,伪科学在这里没有市场。
13313,13299,1,你叫什么名字?｜她是你的什么人?｜你有什么事?
13314,13300,1,随便吃点儿什么｜外面好像有什么声音｜我没有什么不放心的。
13315,13301,1,金刚石比什么金属都硬｜什么困难也吓不倒我们。
13316,13302,1,有什么就吃什么｜你要什么样的鞋，我就给你买什么样的。
13317,13303,1,什么花呀，草呀，种了一院子。
13318,13304,1,什么!都8点了?
13319,13305,1,看什么电视，还不快做功课｜嚷什么!大家都睡了｜这是什么玩意儿!
13320,13306,1,公司业绩很好｜他在公司工作
13321,13307,1,这个学生真用功｜我住这个房间
13322,13308,1,我要这个，不要那个。
13323,13309,1,大家这个一言，那个一语，提了许多意见。
13324,13310,1,听说他要来，大伙儿这个高兴啊!
13325,13311,1,你不可以乱来｜谁都可以提意见
13326,13312,1,这种车可以坐7个人。
13327,13313,1,玉米秸秆可以做饲料。
13328,13314,1,这个电视剧倒可以看看。
13329,13315,1,他普通话说得还可以。
13330,13316,1,饭量大得真够可以。
13331,13317,1,随你怎么劝，我就是不愿意｜这孩子就是聪明｜伸手就是一巴掌
13332,13318,1,您放心就是了
13333,13319,1,我们家就是两口人｜就是这种便宜，别的都贵。
13334,13320,1,就是，我跟你的看法相同。
13335,13321,1,就是砸锅卖铁，也要供孩子上学。
13336,13322,1,全国都在庆祝｜走遍全国各地
13337,13323,1,建设理论体系｜建设桥梁
13338,13324,1,建设大西北
13339,13325,1,搞好各项建设
13340,13326,1,火车已经开了｜情况已经清楚了｜已经80岁了｜已经小寒了，还这么暖和。
13341,13327,1,全班第一｜第一名
13342,13328,1,健康第一
13343,13329,1,目前形势很好｜目前的任务
13344,13330,1,华北地区｜受灾地区｜中东地区
13345,13331,1,这个地区很富裕｜偏远地区发展慢
13346,13332,1,地区专员来视察｜该地区辖五个县
13347,13333,1,发包和承包两方面｜教育、科技、文化等方面。
13348,13334,1,组织队伍｜组织运动会
13349,13335,1,党组织｜服从组织分配
13350,13336,1,组织涣散｜组织严密
13351,13337,1,肌肉组织很发达｜神经组织受损
13352,13338,1,斜纹组织｜平纹组织
13353,13339,1,重要会议｜重要的是信誉
13354,13340,1,我认为他还有潜力。
13355,13341,1,都是我的不是｜快去赔个不是
13356,13342,1,做人要做这样的人｜不能这样干
13357,13343,1,这样才稳妥｜事情怎么弄成这样了?
13358,13344,1,这些人我一个也不认识｜把这些东西都收起来。
13359,13345,1,这些就是我想说的。
13360,13346,1,过去没发现，现在暴露出很多问题。
13361,13347,1,干一些轻活儿｜给他一些温暖
13362,13348,1,有一些花开了
13363,13349,1,发表过一些文章
13364,13350,1,人走了一些｜态度好了一些
13365,13351,1,管理学校｜经营管理
13366,13352,1,管理报刊资料
13367,13353,1,管理俘虏
13368,13354,1,表示同意｜表示愤慨
13369,13355,1,书名前带“*”号的表示是必读参考书。
13370,13356,1,研究水稻新品种
