definition_id,pinyin_id,definition_sn,pos,definition_cn,definition_en
45872,29083,1,名词,有机化合物，白色结晶，有甜味。甘蔗和甜菜里含有丰富的蔗糖,Sucrose
45873,29083,2,名词,特指用甘蔗汁熬成的糖,Cane sugar
45874,29084,1,动词,医学上指供血不足,Ischemia
45875,29085,1,名词,直角三角形以其任意一条直角边为轴，旋转一周所形成的立体,Cone
45876,29086,1,名词,【弧】圆周或曲线（如抛物线）上的任意一段,Arc
45877,29087,1,名词,铜制盘状打击乐器。中心有脐，锣边有二孔，系绳提着击打,Gong
45878,29088,1,动词,随意瞎说,Talk nonsense
45879,29089,1,名词,布设在水中的一种爆炸武器，用来封锁港口、航道或炸毁舰艇,Naval mine
45880,29090,1,动词,事先知道,Foresee
45881,29091,1,名词,一年或二年生草本植物，茎方形中空，花白色或淡紫色，有紫斑，结大而肥厚的蚕形荚果。种子也叫蚕豆，椭圆扁平，可以食用,Broad bean
45882,29092,1,名词,腹部中间脐带脱落后形成的瘢痕,Navel
45883,29093,1,名词,死者生前留下的志愿,Unfulfilled wish
45884,29094,1,动词,消除口渴的感觉；比喻满足要求、解决问题,Quench thirst
45885,29095,1,动词,交换位置；更换角度,Transpose
45886,29096,1,名词,【预兆】事前显示出的某种迹象,Omen
45887,29097,1,名词,按固定航线定时航行的轮船,Liner
45888,29098,1,名词,木管低音乐器，音色丰满有力,Bassoon
45889,29099,1,名词,物体上的线条状纹路,Grain
45890,29100,1,名词,中医指精血或津液亏损的病症。症状是午后潮热、盗汗、颧红、消瘦等,Yin deficiency
45891,29101,1,动词,散发热量,Dissipate heat
45892,29102,1,动词,抒发描写,Express
45893,29103,1,名词,清末指与外国有关的事务；也指学习和仿效外国有关的事务,Foreign affairs
45894,29104,1,名词,居民家庭,Household
45895,29104,2,动词,家住（某处）,Reside
45896,29105,1,动词,夸奖；称赞,Praise
45897,29106,1,名词,司法警察，即在法院和检察院中执行任务的警察。其任务有警卫法庭、维持法庭秩序、押解犯人或犯罪嫌疑人出庭受审、执行法院判决等,Bailiff
45898,29107,1,动词,指火速发出电报,Send urgent telegram
45899,29108,1,形容词,鲜艳明亮；鲜艳漂亮,Bright
45900,29109,1,名词,二十四节气之一，在公历每年12月22日前后。这一天北半球白天最短，夜晚最长。南半球则相反,Winter Solstice
45901,29110,1,名词,领导层的情况和意图,Higher-level situation
45902,29111,1,名词,情爱的缘分,Romantic destiny
45903,29112,1,名词,为高等学校培养合格新生而设置的机构,Preparatory course
45904,29113,1,名词,杰出的人死后的灵魂，用作对死者的敬称,Spirit of the deceased
45905,29114,1,形容词,形容心里一时冲动，突然产生某种念头,Sudden impulse
45906,29115,1,,各种文化层次的人都能欣赏,Appeals to both refined and popular tastes
45907,29116,1,,迷信认为人的生死祸福都是命中预先决定的；借指必然的遭际或前途,Predestined
45908,29117,1,动词,制作淫秽的书刊、录像带、光盘等,Produce pornography
45909,29118,1,动词,挑选聘任,Select and appoint
45910,29119,1,名词,【寨】四周有栅栏或围墙的村子；村子,Village
45911,29119,2,名词,防守用的栅栏、围墙,Stockade
45912,29120,1,动词,拉开电闸，停止供电,Power cut
45913,29121,1,名词,公历没有闰日（即2月只有28天）或农历没有闰月（即1年只有12个月）的年份,Common year
45914,29121,2,名词,农业收成一般的年份（跟“丰年”、“歉年”相区别）,Average year
45915,29122,1,形容词,形容声音突然停止,Abruptly (sound)
45916,29122,2,动词,事情突然停止,Cease abruptly
45917,29122,3,形容词,形容鸟的叫声,Shrill (bird call)
45918,29123,1,形容词,形容行为诡秘，不光明正大,Sneaky
45919,29124,1,名词,种植树木花草的带状区,Green belt
45920,29125,1,名词,依照志愿兵役制或募兵制自愿参军的军人。我国指服役期满后自愿继续服役的士兵,Volunteer soldier
45921,29126,1,名词,大黄鱼和小黄鱼的统称,Yellow croaker
45922,29127,1,名词,桥梁下面用以支承桥身的墩子，用石头或钢筋混凝土等筑成,Bridge pier
45923,29128,1,形容词,娇嫩艳丽,Delicate and beautiful
45924,29129,1,名词,矫健的步伐,Brisk steps
45925,29130,1,名词,霞,Rosy clouds
45926,29131,1,动词,通过广播、电视等手段演出并播放,Broadcast performance
45927,29132,1,名词,极陡峭的山崖,Precipice
45928,29133,1,名词,指可供信号占用的频率范围。如电视广播中图像信号的带宽是6兆赫,Bandwidth
45929,29134,1,名词,昆虫，成虫身体长椭圆形，有翅，灰黑或黄褐色。雄的吸食植物的汁液或花蜜，雌的吸食牛、马等家畜的血液,Horsefly
45930,29135,1,动词,在旱地上种植,Dry farming
45931,29135,2,名词,旱地农作物的简称,Dryland crops
45932,29136,1,,从原料投产到成品出产，按步骤连续地通过各种设备所进行的加工过程,Technological process
45933,29137,1,名词,喀斯特,Karst
45934,29138,1,名词,某些地区对孩子的称呼,Child
45935,29138,2,名词,旧时我国西南凉山等地的少数民族对奴隶的称呼,Slave
45936,29139,1,动词,制造印刷用的底版,Plate making
45937,29140,1,动词,在原定指标之外，增加招收人数,Expand enrollment
45938,29141,1,名词,湖的景色,Lake scenery
45939,29141,2,名词,湖水闪烁的光芒,Lake reflection
45940,29142,1,动词,要求购买；寻求购买,Seek to purchase
45941,29143,1,名词,人们乐于称道的好事或谈话资料,Edifying story
45942,29144,1,,竖起竹竿，在阳光下立刻便能见到竿影。比喻见效快,Get instant results
45943,29145,1,动词,向前倒下,Fall forward
45944,29146,1,,（形势、剧情、文笔等）突然转变并顺势迅速发展下去,Take a sudden turn
45945,29147,1,,指屹立在黄河激流中央的砥柱山（在河南三门峡东）。比喻在危难中能起支柱作用的人或力量,Mainstay
45946,29148,1,副词,表示疑问语气，相当于“是否曾经”,Have...ever
45947,29149,1,名词,外来的祸患；多指外来的侵略,External trouble
45948,29150,1,,不加管束，任凭自然发展（多含贬义）,Laissez-faire
45949,29151,1,形容词,效应神奇,Efficacious
45950,29151,2,形容词,形容预言能够变成现实,Accurate (prediction)
45951,29152,1,名词,经协商确定的共同遵守的规章、条例,Regulation
45952,29153,1,动词,写文章,Write articles
45953,29154,1,动词,睡觉,Retire for the night
45954,29155,1,名词,地处大城市周围的中小城市,Satellite city
45955,29156,1,名词,平坦宽阔的地方,Flatland
45956,29157,1,形容词,符合口味,Palatable
45957,29158,1,名词,在此之前,Prior to this
45958,29159,1,动词,哪里知道。用反问的语气表示不知或没有料想到,How would one know
45959,29160,1,名词,最正确的道理；正常法则,Fundamental truth
45960,29161,1,名词,比喻把人从苦难中拯救出来的个人或团体,Savior
45961,29162,1,动词,吞吃；咽下,Swallow
45962,29163,1,动词,把拍摄完毕的镜头按创作构思的要求进行选择、剪裁、整理、组接、编排成结构完整的影片或电视片,Edit (film)
45963,29163,2,名词,经过剪辑而成的作品,Edited version
45964,29164,1,名词,疗效神奇的药,Miracle drug
45965,29165,1,形容词,缺乏良好的品德。形容品德坏（多用于对人的指责）,Mean
45966,29166,1,副词,逐渐；渐渐,Gradually
45967,29167,1,,农历腊月的最后一天，即春节的前一天,Chinese New Year's Eve
45968,29168,1,,指18世纪法国大革命前法国资产阶级进步思想家反对封建制度和宗教神学的思想革命运动。代表人物有伏尔泰、孟德斯鸠、卢梭、狄德罗等。在政治上主张开明专制或民主政体，为法国资产阶级革命作了舆论准备,Enlightenment (historical)
45969,29168,2,,泛指通过宣传教育，使社会接受新事物而得到进步的运动,Enlightenment movement
45970,29169,1,形容词,多年以前的；年代久的,Aged
45971,29170,1,动词,追忆；思念（多用于对死者）,Commemorate
45972,29171,1,名词,太阳系八大行星之一，按离太阳由近而远的顺序排列是第六颗。位于木星、天王星之间。我国古代也叫“填星”、“镇星”,Saturn
45973,29172,1,动词,随同某一集体（劳动、学习等）,To accompany a group
45974,29172,2,名词,旧指跟随在官员身边供使唤的人,Attendant
45975,29173,1,形容词,瘦而长,Long and thin
45976,29174,1,动词,追捕在逃人员,To pursue fugitives
45977,29175,1,形容词,没有细菌的,Sterile
45978,29176,1,动词,（草木）枯萎零落,(Of plants) to wither and fall
45979,29176,2,动词,凋敝,Decline
45980,29177,1,名词,条状物较细小的一头；较少的部分,Small end; smaller portion
45981,29178,1,动词,声称,To claim
45982,29179,1,,私下里说悄悄话,To whisper privately
45983,29180,1,名词,工作介质的简称。在各种机器或设备中借以完成能量转化的媒介物质。如汽轮机中的蒸汽、制冷机中的氨,Working medium
45984,29181,1,名词,多年生草本植物，叶丛生，开紫色小花。块根略呈纺锤形，可以做药材,Dwarf lilyturf (Ophiopogon japonicus)
45985,29182,1,名词,材料或物体受力时，形变而不断裂的性质,Plasticity
45986,29183,1,,指一国在国际商务活动中给予某国的比其他国家更好的待遇,Preferential treatment
45987,29184,1,名词,指挥交通的信号灯，多设置在市区的交叉路口。红灯表示停止，黄灯表示准备，绿灯表示放行,Traffic light
45988,29185,1,形容词,形容到处都是,Ubiquitous
45989,29185,2,形容词,形容到处跑；到处传播,To run around everywhere; to spread widely
45990,29186,1,,用言论和行为迎合众人，以博取人们的称赞和支持,To curry favor with the public
45991,29187,1,,物美价廉,Inexpensive and of high quality
45992,29188,1,形容词,清静悠闲,Leisurely
45993,29189,1,动词,从垂直于物体轴心线的方向截断,To cut transversely
45994,29190,1,名词,驴,Donkey
45995,29191,1,名词,桥面可以吊起或放下的桥。多建在通航的河道上或护城河上以及军事据点前面,Drawbridge
45996,29191,2,名词,悬索桥,Suspension bridge
45997,29192,1,动词,燃放爆竹,To set off firecrackers
45998,29192,2,动词,比喻发表抨击性的言论,To make critical remarks
45999,29192,3,动词,密闭充气的物体爆裂,To burst
46000,29192,4,动词,点燃火药炸开土石等,To blast
46001,29192,5,动词,发射炮弹,To fire a cannon
46002,29193,1,动词,撒（种子等）,To sow
46003,29194,1,动词,耗费工夫,To be time-consuming
46004,29195,1,名词,人工开掘的排灌水道,Ditches
46005,29196,1,名词,平时穿的服装（跟“礼服”相区别）,Casual clothes
46006,29197,1,动词,取消；除掉,To remove
46007,29198,1,动词,用投票表决的方式对某事作出决定,To decide by vote
46008,29199,1,动词,按照限定数量和价格出售,To ration and sell
46009,29200,1,动词,按照一定的利率和时间计算利息,To calculate interest
46010,29201,1,动词,得不到援助,Unaided
46011,29202,1,动词,借此说彼，暗指某人某事,To allude to
46012,29203,1,名词,某些机械里的弹性钢条，卷紧后产生动力，使齿轮转动。机械钟表和某些玩具里都装有发条,Mainspring
46013,29204,1,名词,威望和名声,Prestige
46014,29205,1,名词,筒状的东西,Tube-shaped object
46015,29205,2,名词,未经缝制的毛皮大衣或上衣的原料,Unsewn fur coat material
46016,29206,1,名词,人与人之间的伦理；特指尊卑、长幼之间的伦理,Human relations; ethics
