definition_id,pinyin_id,definition_sn,pos,definition_cn,definition_en
25921,13054,1,名词,哺乳动物，颈长，身体高大，毛褐色，四肢细长，蹄扁平，背上有一或两个驼峰，耐饥渴高温。性温驯，能负重在沙漠中长途行走，号称“沙漠之舟”,camel
25922,13055,1,名词,诗歌中的句子；借指诗歌作品,verse line
25923,13056,1,动词,同一平面内的两条直线永不相交，称这两条直线互相平行；两个平面之间或一条直线与一个平面之间永不相交，也称为互相平行,be parallel
25924,13056,2,形容词,同时发生的,concurrent
25925,13056,3,形容词,等级相同、互不隶属的,parallel
25926,13056,4,动词,（公文）发向平级,send to peer institutions
25927,13057,1,名词,中生代（地质年代名称，指距今2.5亿年至6500万年间）的一种爬行动物。种类很多，体型各异，大的长达数十米，体重可达四五十吨；中生代末期灭绝,dinosaur
25928,13058,1,,我国现行法律指公民依法参加国家政治生活的权利，是公民基本权利的重要组成部分。如选举权和被选举权，言论、出版、集会、结社、游行、示威自由的权利，担任国家机关职务的权利，担任国有公司、企事业单位和人民团体领导职务的权利,political rights
25929,13059,1,形容词,指形式变了而实质没变的（多指不好的事）,disguised
25930,13060,1,名词,久远的年代,remote ages
25931,13060,2,动词,婉词，多用于挽联、花圈等的上款，意为永别,be eternally departed
25932,13061,1,,一定不能缺少,indispensable
25933,13062,1,形容词,多元的；多方面并存的,multipolar
25934,13063,1,名词,银行系统在分行下设立的独立营业部门,sub-branch
25935,13064,1,动词,发动武装起义,stage an uprising
25936,13065,1,名词,放牧牲畜的草场,pasture
25937,13065,2,名词,以牧养牲畜为主的企业单位,livestock farm
25938,13066,1,名词,【眼球】视觉器官的主体部分。人的眼球呈球状，藏在眼眶内，前面凸出，外部由角膜、巩膜、脉络膜、视网膜等薄膜构成，内部有水状液、晶状体和玻璃体，前面中央有一个圆形的瞳孔。俗称眼珠子,eyeball
25939,13067,1,名词,〈口〉指妻子,wife
25940,13067,2,名词,旧时对中青年已婚女子的尊称（多见于早期白话）,madam
25941,13068,1,动词,选定；选择,choose
25942,13069,1,动词,损坏（风气、声誉等）,damage
25943,13069,2,形容词,（道德、品行等）极坏；十分恶劣,corrupt
25944,13070,1,名词,从事音乐工作，并获得较高成就的人,musician
25945,13071,1,名词,专门收容难民，供他们暂时生活的处所,refugee camp
25946,13072,1,,被压迫的阶级或民族为获得解放而进行的战争；特指我国第三次国内革命战争,war of liberation
25947,13073,1,动词,体制改革的简称,restructure the system
25948,13074,1,名词,比喻不兴旺的状态；最低点,low ebb
25949,13074,2,名词,低洼的谷地,low-lying valley
25950,13075,1,名词,有围墙便于防守的小城,castle
25951,13076,1,名词,制造或建造所需的费用,cost of production
25952,13077,1,名词,牛海绵状脑病的俗称。一种潜伏期很长的慢性传染病，多见于成年牛。症状为四肢僵硬、体重下降、惊恐等。可传染给人。20世纪80年代中期首先在英国发现,mad cow disease
25953,13078,1,形容词,紧急重要,critical
25954,13079,1,名词,自己所从事的工作,one's own profession
25955,13079,2,名词,长期从事的已经熟悉的行业,one's original trade
25956,13080,1,动词,聘请使用,employ
25957,13081,1,动词,内心存有,harbor
25958,13082,1,动词,说不准,hard to say
25959,13082,2,动词,有所顾虑，有话而不便说出,hesitate to speak out
25960,13083,1,形容词,由单独一方参加的,unilateral
25961,13083,2,名词,图案四周勾的单线边框,single-line border
25962,13084,1,形容词,（声音）听起来让人舒服、愉快,pleasant-sounding
25963,13084,2,形容词,（话语）听起来让人舒服、满意,pleasant to hear
25964,13084,3,形容词,光彩，体面,honorable
25965,13085,1,动词,（物体）缩小或缩短,shrink
25966,13085,2,动词,紧缩；由分散变为集中,concentrate
25967,13086,1,动词,把药物吃进去,take orally
25968,13086,2,动词,嘴上说信服,profess to be convinced
25969,13087,1,动词,用手轻轻地接触并慢慢地来回移动,stroke
25970,13088,1,名词,城市、乡镇、街道、村落等各个地方的专有名称,place name
25971,13089,1,名词,对住持僧或年长僧人的尊称,elder monk
25972,13089,2,名词,基督教某些教派中协助牧师管理教务的人,church elder
25973,13089,3,名词,旧指年岁大的人,elderly person
25974,13090,1,名词,紧张和急迫的感觉或意识,sense of urgency
25975,13091,1,名词,高度集中的类型,intensive type
25976,13092,1,名词,应邀前来的客人,guest
25977,13093,1,形容词,深奥玄妙；很难捉摸,subtle
25978,13094,1,名词,指蓝、黄、红、白、黑五色；泛指多种颜色,five colors
25979,13095,1,动词,大力宣扬；努力提倡,advocate
25980,13095,2,动词,吹嘘,boast
25981,13096,1,动词,由一个行业转到另一个行业；特指中国人民解放军军官离开部队转到地方工作,change profession
25982,13097,1,动词,能确认所见到的某个人或某种事物,recognize
25983,13098,1,动词,（江河）从源头流出,rise
25984,13098,2,动词,比喻事物起源,originate
25985,13099,1,,第一例,first case
25986,13100,1,动词,逻辑学中指由一个或几个已知的判断（前提），推出另一个未知判断（结论）。可大致划分为演绎推理、归纳推理、类比推理等三大类,reason
25987,13101,1,名词,安装在车轮外围的橡胶制品。一般分充气内胎和耐磨外胎两层。轮胎充气后能够承受重力并减弱行驶时产生的震动,tire
25988,13102,1,名词,距离；远近的程度,distance
25989,13102,2,名词,远处和近处,far and near
25990,13103,1,动词,向某个方向引导,guide toward
25991,13104,1,名词,历史事实,historical fact
25992,13105,1,动词,防守保卫,guard
25993,13106,1,副词,表示动作行为广泛普遍地（进行）,extensively
25994,13107,1,动词,非法占有或占用公家或他人的财物等,embezzle
25995,13107,2,动词,侵略并占有他国领土,invade and occupy
25996,13108,1,动词,把货交付对方,deliver goods
25997,13109,1,,社会一定历史发展阶段上的生产关系的总和。主要包括生产资料所有制、生产过程中人与人的关系和分配关系三个方面。经济基础决定上层建筑,economic base
25998,13110,1,动词,接受审讯,stand trial
25999,13111,1,动词,合乎,conform to
26000,13112,1,连词,连接因果复句，表示唯一的原因,only because
26001,13113,1,名词,工场,workshop
26002,13114,1,名词,网的总绳。比喻著作、计划、讲稿等的内容要点,outline
26003,13114,2,名词,纲领性的政策法规,programmatic policy
26004,13115,1,名词,十个最好的、最优秀的,top ten
26005,13116,1,名词,烟气和雾气,smoke and mist
26006,13117,1,名词,指战场上射击的炮弹和炮弹爆炸的火焰,artillery fire
26007,13118,1,副词,表示在某事进行的同时,in real time
26008,13119,1,名词,以“社”命名的组织下属的分支机构,branch office
26009,13120,1,动词,悠闲随意地走,stroll
26010,13121,1,动词,展现；表现,perform
26011,13121,2,动词,推演引申；铺陈发挥,expound
26012,13121,3,名词,演绎推理,deduction
26013,13122,1,动词,存放储备,store
26014,13122,2,名词,存放储备的钱或物等,storage
26015,13123,1,名词,以火炮、火箭炮等为基本装备，主要执行地面火力突击任务的陆军兵种；也指这一兵种的士兵,artillery
26016,13124,1,名词,蒙古语音译，意思是难生草木的土地。指一种被粗沙、砾石覆盖在硬土层上的荒漠地形。主要分布在我国内蒙古北部、蒙古国南部等地区,Gobi
26017,13125,1,名词,以舞蹈为主要表现手段的戏剧,dance drama
26018,13126,1,名词,杰出的作品,masterpiece
26019,13127,1,名词,婴儿卧具，形似篮子，能左右摇动,cradle
26020,13127,2,名词,比喻人才成长的处所或重要事物的发源地,cradle
26021,13128,1,名词,犯罪嫌疑人的旧称；作案的人,criminal suspect; perpetrator
26022,13129,1,动词,将金属熔化后浇注到砂制铸型中，使形成预定形状的工件或器物,cast
26023,13130,1,名词,买卖中按原价减去的成数,discount
26024,13131,1,名词,【注解】解释词句的文字,annotation
26025,13131,2,动词,【注解】用浅近的文字解释艰深的词句,annotate
26026,13132,1,动词,借指时间极短,in the blink of an eye
26027,13132,2,动词,转动眼睛,turn one's eyes
26028,13133,1,动词,一声连着一声,say repeatedly
26029,13134,1,动词,对不住（别人的好意、期望或帮助等）,let down
26030,13135,1,副词,最终将会,will eventually
26031,13136,1,名词,亲手写的底稿,manuscript
26032,13137,1,动词,沉入水中,sink
26033,13138,1,副词,突然；忽然,suddenly
26034,13139,1,名词,航运企业的基层组织。如客轮船队、货轮船队等,fleet (as organizational unit)
26035,13139,2,名词,由拖轮或顶轮与驳船组成的运行整体,fleet (as vessel group)
26036,13140,1,动词,背离自己原先的一方，投到敌对的一方去,betray
26037,13141,1,名词,旧时仆人称主人的儿子；泛指有钱有势人家娇生惯养的青少年,young master (son of wealthy family)
26038,13141,2,名词,旧时尊称别人的儿子,your son (honorific)
26039,13142,1,动词,保护使完好,preserve
26040,13142,2,动词,维护保养机器使正常运转（多用于纺织行业）,maintain (machinery)
26041,13143,1,名词,开会或举行庆典等使用的大厅,assembly hall
26042,13144,1,动词,球类比赛时，一方按规则把球发出,serve (in ball games)
26043,13145,1,名词,指一切事物或景象,all phenomena
26044,13146,1,动词,折磨；使痛苦,torment
26045,13146,2,动词,翻来覆去,toss and turn
26046,13146,3,动词,反复地做,do repeatedly
26047,13147,1,名词,犯罪的人,criminal
26048,13148,1,动词,依照,comply with
26049,13149,1,动词,处在（某种地位）,occupy (a position)
26050,13150,1,形容词,形容程度极高,extremely
26051,13150,2,形容词,形容使人难以忍受（含埋怨意）,annoyingly
26052,13150,3,动词,致命,fatal
