example_id,definition_id,example_sn,example_cn
54149,54130,1,铁水从高炉中流出｜铁水温度很高
54150,54131,1,屋檐的瓦当上有花纹｜这个瓦当是圆形的
54151,54132,1,聚众举事
54152,54133,1,她每个月都会痛经｜痛经让她很难受
54153,54134,1,把迟到当由头
54154,54135,1,悲戚的呜咽声
54155,54136,1,莲藕可以炖汤｜莲藕很脆
54156,54137,1,他坐在条凳上｜条凳很长
54157,54138,1,居处闹市
54158,54139,1,楼盘雏型展示
54159,54140,1,他今天来公司销假｜销假后开始工作
54160,54141,1,政治僵尸
54161,54142,1,青蒿可以入药｜青蒿开花了
54162,54143,1,他写了个白字｜白字很难看
54163,54144,1,海上有个浮标｜浮标指示航道
54164,54145,1,到山区巡诊
54165,54146,1,你别乱来｜乱来会出事
54166,54147,1,他不走回头路｜回头路不好走
54167,54148,1,他挺直脊梁骨｜脊梁骨很重要
54168,54149,1,做人要有脊梁骨
54169,54150,1,这条路是全市公路网的脊梁骨｜他是咱们村的脊梁骨。
54170,54151,1,民族有自决权｜自决权很重要
54171,54152,1,加强组织性和纪律性。
54172,54153,1,他用矿泉壶喝水｜矿泉壶能过滤
54173,54154,1,《中国现代社会科学家传略》。
54174,54155,1,成功靠打拼
54175,54156,1,这家店门可罗雀｜门可罗雀很冷清
54176,54157,1,他买了掌上电脑｜掌上电脑很方便
54177,54158,1,这次在劫难逃｜在劫难逃啊
54178,54159,1,公司正在招兵买马｜招兵买马扩规模
54179,54160,1,他对建议充耳不闻｜充耳不闻不好
54180,54161,1,雨带正在移动｜雨带带来降雨
54181,54162,1,定期轮岗
54182,54163,1,心里不痛快，也不要拿孩子来解气。
54183,54164,1,疾步追赶
54184,54165,1,加试生物｜加试体育
54185,54166,1,泉水涌流
54186,54167,1,把地毯铺展开来
54187,54168,1,她用了发油｜发油让头发亮
54188,54169,1,剽悍的骑兵战士｜粗犷剽悍
54189,54170,1,树桩很粗｜他坐在树桩上
54190,54171,1,这个树桩做盆景｜树桩盆景很美
54191,54172,1,他擅长填词
54192,54173,1,和尚在化缘｜化缘是传统
54193,54174,1,消防队接警后立即赶赴火灾现场。
54194,54175,1,印章上是阳文｜阳文是凸起的
