definition_id,pinyin_id,definition_sn,pos,definition_cn,definition_en
1,1,1,助词,用在作定语的词或短语后面，表示对中心语的领属关系，对事物的性质、属性、范围等加以限定,possessive particle
2,1,2,助词,用在作定语的词或短语后面，表示对中心语加以描写,descriptive particle
3,1,3,助词,用在名词、动词或形容词后面，构成名词性的“的”字结构,noun-forming particle
4,1,4,助词,用在句末，表示肯定的语气或已然的语气,sentence-final particle indicating affirmation or completed action
5,1,5,助词,用在某些句子的动词和宾语之间，强调动作的施事者、受事者或时间、地点、方式等,"particle emphasizing agent, patient, time, place, or manner"
6,2,1,形容词,确实；实在,true; real
7,3,1,名词,箭靶的中心,bull's-eye; target center
8,4,1,名词,的士,taxi
9,5,1,助词,用在动词或形容词后，表示动作或性质、状态等变化已经完成（既可以表示过去或现在完成，也可以表示将来完成）,particle indicating completed action
10,5,2,助词,用在句尾或句中停顿的地方，表示出现某种新情况或发生某种变化（这种新情况可以是已经发生，也可以是即将发生，还可以是一种假设）,particle indicating new situation or change
11,6,1,动词,完结；结束,finish; end
12,6,2,动词,跟“得”或“不”组合用在动词后面，表示可能或不可能,"used with ""得"" or ""不"" after verbs to indicate possibility"
13,5,3,助词,用在句尾或句中停顿的地方，表示劝阻或命令的语气,particle indicating dissuasion or command
14,5,4,助词,用在句尾或句中停顿的地方，表示感叹的语气,particle indicating exclamation
15,6,3,动词,很清楚地知道,understand clearly
16,6,4,副词,〈文〉全然（多用于否定）,entirely (mostly in negative)
17,7,1,动词,联系两种事物，表示等同、归类或领属,"be (indicating equivalence, classification, or possession)"
18,7,2,动词,联系两种事物，表示解释或描述,be (indicating explanation or description)
19,7,3,动词,联系两种事物，表示存在,be (indicating existence)
20,7,4,动词,联系两种事物，跟“的”构成“是……的”格式，表示强调,"be (used in ""是...的"" construction for emphasis)"
21,7,5,动词,表示肯定或答应（常单用）,yes; right (often used alone)
22,7,6,动词,用于选择问句、是非问句或反问句,"used in alternative, yes-no, or rhetorical questions"
23,7,7,动词,用于形容词或动词性的谓语前，“是”重读，表示坚决肯定，含有“的确”、“实在”的意思,used before adjectives or verbal predicates for strong affirmation
24,7,8,动词,用于句首，加重语气,used at sentence beginning for emphasis
25,7,9,动词,联系相同的两个词语，连用两次这样的格式，表示不含糊、够标准或两种事物不能混淆,used between identical words to indicate clarity or distinction
26,7,10,动词,联系相同的两个词语，单用这种格式，表示强调事物的客观性,used between identical words to emphasize objectivity
27,7,11,动词,联系相同的两个词语，单用这种格式，表示让步，含有“虽然”的意思,used between identical words to indicate concession
28,7,12,动词,联系相同的两个词语，联系两个相同的数量结构，用在动词后，含有“算作”的意思，表示不考虑其他,"used between identical quantitative structures after verbs to mean ""count as"""
29,7,13,动词,用于名词前，含有“适合”的意思,"used before nouns to mean ""suitable"""
30,7,14,动词,用于名词前，含有“凡是”的意思,"used before nouns to mean ""every"""
31,7,15,代词,〈文〉表示近指，相当于“这”、“这个”、“这样”,this; such
32,7,16,代词,〈文〉复指前置宾语,repeats the fronted object
33,7,17,形容词,正确（跟“非”相对）,"correct (opposite of ""non"")"
