example_id,definition_id,example_sn,example_cn
67022,67001,1,天刚亮就出摊儿
67023,67002,1,他为人处世宠辱不惊｜面对得失他总能宠辱不惊
67024,67003,1,每天忙得一点儿闲空都没有｜有了闲空，咱们去看场电影。
67025,67004,1,寒来暑往又一年｜寒来暑往时光飞逝
67026,67005,1,蜜蜂在花丛中采蜜｜春天来了蜜蜂忙着采蜜
67027,67006,1,养蜂人正在蜂箱里采蜜｜他从蜂巢采蜜很熟练
67028,67007,1,不虞之誉｜不虞中途遇雨，耽误归期。
67029,67008,1,有备无患，以防不虞。
67030,67009,1,村里新建了一所完全小学｜这所完全小学有六个年级
67031,67010,1,戴着有色眼镜看人，不可能看得正确。
67032,67011,1,这里真是洞天福地｜山中有一处洞天福地
67033,67012,1,王水可以溶解黄金｜冶金厂使用王水作溶剂
67034,67013,1,建筑要考虑风压影响｜这座楼的风压设计很合理
67035,67014,1,了解当地习尚
67036,67015,1,你好赖吃一点吧｜好赖你得去一趟
67037,67016,1,这房子好赖能住人｜衣服旧了好赖还能穿
67038,67017,1,他分不清好赖｜做人要懂得好赖
67039,67018,1,佯作不知
67040,67019,1,门口贴着招租广告｜这间房子正在招租
67041,67020,1,她用木梳梳头｜这把木梳很光滑
67042,67021,1,靡靡情调｜靡靡之音
67043,67022,1,步履靡靡｜细雨靡靡
67044,67023,1,跑单帮
67045,67024,1,他当众丢丑了｜别在台上丢丑
67046,67025,1,燃烧释放化学能｜电池储存化学能
67047,67026,1,减缩编制
67048,67027,1,这个冒失鬼撞到人了｜他是个有名的冒失鬼
67049,67028,1,他穿着三角裤｜买了一条新三角裤
67050,67029,1,打球时戴上护膝｜他的护膝很厚实
67051,67030,1,今天我们去打牙祭｜周末全家打牙祭
67052,67031,1,北京考区
67053,67032,1,怒族同胞很热情｜云南有怒族聚居区
67054,67033,1,利用做皮夹克的边角料做皮手套。
67055,67034,1,奶娘照顾婴儿｜她曾当过奶娘
67056,67035,1,微血管很细小｜血液流过微血管
67057,67036,1,船到埠头
67058,67037,1,逆光拍摄效果很好｜他喜欢逆光拍照
67059,67038,1,宇航员穿上航天服｜航天服保障安全
67060,67039,1,斗胆抗上
67061,67040,1,靛蓝是一种染料｜用靛蓝染布
67062,67041,1,零件光洁度很高｜检查表面光洁度
67063,67042,1,童便可做药材｜中医会用童便
67064,67043,1,看着线路图接线｜他画了张线路图
67065,67044,1,这阵子闹饥荒，你能不能借点儿钱给我?
67066,67045,1,那年家乡闹饥荒｜干旱导致闹饥荒
67067,67046,1,绣花针很细小｜她用绣花针刺绣
67068,67047,1,救生员跳入水中｜游泳池有救生员
67069,67048,1,他的白眼珠很白｜医生检查白眼珠
67070,67049,1,流血不止，令人焦心。
67071,67050,1,孩子出水痘了｜水痘会传染
67072,67051,1,铲除害国害民的妖孽。
67073,67052,1,传说中有妖孽作祟｜铲除人间妖孽
67074,67053,1,她打了耳朵眼儿｜耳朵眼儿戴耳环
67075,67054,1,声音传入耳朵眼儿｜清理耳朵眼儿
67076,67055,1,焊缝很平整｜检查钢管焊缝
67077,67056,1,工人正在焊缝｜把铁板焊缝起来
67078,67057,1,春节表演狮子舞｜看了一场狮子舞
67079,67058,1,他先试读一个月｜试读期通过了
67080,67059,1,今天下了初雪｜初雪很美
67081,67060,1,端庄雅静
67082,67061,1,树木葱郁的小山庄，非常雅静。
67083,67062,1,赛前他们队就放话要夺取冠军。
67084,67063,1,碗放进消毒柜｜消毒柜很实用
67085,67064,1,他皮笑肉不笑｜那人皮笑肉不笑的
67086,67065,1,他俩原在戏台上演夫妻，后来弄假成真，成了真夫妻。
67087,67066,1,下了三天连阴雨｜连阴雨让人烦闷
67088,67067,1,这座古城凝缩着两千多年的历史。
67089,67068,1,教室有壁报｜壁报内容很丰富
67090,67069,1,上岁数的人禁不起折腾。
67091,67070,1,传说有吊死鬼｜树上发现吊死鬼
67092,67071,1,地基瓷实｜功夫瓷实
67093,67072,1,节制嗜欲
67094,67073,1,这是本旬刊｜旬刊每十天出版
67095,67074,1,全班同学明晨8点在北海后门聚齐。
