rank,sn,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
5501,1,汭,ruì,,,名,〈文〉 水流汇合或弯曲处,
5503,1,霈,pèi,,,形,〈文〉 形容雨、雪等盛多 雨 霈 | 云 霈 大雨 普降甘 霈,
5504,1,箐,qìng,,,名,竹木丛生的山谷（多用于地名）,梅子箐（在云南）｜杉木箐（在贵州）。
5505,1,樘,táng,,,名,门或窗户的框,门樘｜窗樘
5505,2,樘,táng,,,量,用于一副门扇和门框或一副窗扇和窗框,两樘门｜四樘窗
5507,1,俣,yǔ,俣俣,yǔyǔ,,身体魁伟,硕人俣俣
5508,1,匜,yí,,,名,古代一种形状像瓢的器具，盛水、酒用,
5509,1,峤,jiào,,,名,〈文〉 山道,
5509,2,峤,qiáo,,,形,〈文〉 山又高又尖,
5511,1,俶,chù,,,动,开始②,
5511,2,俶,chù,,,动,整理,俶装
5511,3,俶,tì,,,,现在一般写作“倜傥”,
5511,4,俶,tìtǎng,,,,现在一般写作“倜傥”,
5512,1,鹳,guàn,,,名,鸟，外形像鹤，也像鹭，嘴长而直，翼大尾短。善飞翔，生活在近水地区，捕食鱼、虾等。种类很多，常见的有白鹳、黑鹳两种,
5513,1,疠,lì,,,名,〈文〉 瘟疫,疠疫｜疠疾
5514,1,縻,mí,,,动,〈文〉 拴住；捆住,羁縻
5515,1,阕,què,,,动,〈文〉终了；完毕 ② → 量 歌曲或词一首叫一阕,高歌一阕｜奉上新词一阕
5515,2,阕,què,,,动,〈文〉终了；完毕 词的一段叫一阕,上阕｜下阕
5515,3,阕,què,,,名,姓,
5516,1,倓,tán,,,形,〈文〉 安静,
5517,1,姞,jí,,,名,姓,
5519,1,谶,chèn,,,名,古人认为将来能应验的预言、预兆,谶纬｜图谶
5520,1,亳,bó,,,名,亳州，地名，在安徽,
5521,1,贽,zhì,,,名,古人初次拜见尊长时拿的礼物,贽见（拿着礼物求见）｜贽礼
5522,1,挈,qiè,,,动,〈文〉 提起 提纲 挈 领 携带；率领 扶老 挈 幼 | 挈 眷 | 提 挈 ,
5525,1,赍,jī,,,动,〈文〉 拿着东西送给人 赍 助 心里怀着（某种想法） 赍 恨 | 赍 志,
5526,1,荩,jìn,荩草,jìncǎo,名,一年生草本植物，节上生根。汁液可以做黄色染料，茎和叶可以做药材，茎皮纤维是造纸原料,
5526,2,荩,jìn,,,形,〈文〉 忠诚,荩臣｜忠荩
5527,1,侪,chái,,,名,〈文〉 同辈或同类的人,吾侪（我们这些人）｜侪类（同类的人）。
5528,1,坩,gān,,,名,〈文〉 瓦锅；盛东西的陶器,
5529,1,欸,āi,,,,唉（āi） 现在一般写作“唉”,
5530,1,唛,mài,,,名,英语 mark 音译 某些地区指进出口货物的包装上所做的标记，内容包括批号、件号、抵运港口、目的地、收货人、生产国名及地名、合同号码、货名、数量等；也指商标,
5532,1,纻,zhù,,,名,〈文〉 用苎麻纤维织成的布,纻衣
5533,1,苠,mín,,,形,（庄稼）生长期较长，成熟期较晚,苠高粱
5534,1,掮,qián,,,动,某些地区指用肩扛,手提肩掮
5537,1,稗,bài,,,名,稗子,
5537,2,稗,bài,,,形,〈文〉微小的；琐碎的,稗史｜稗官
5540,1,琇,xiù,,,名,〈文〉 像玉的美石,
5542,1,畹,wǎn,,,量,古代土地面积单位，有的以30亩为1畹，有的以12亩为1畹，说法不一,
5543,1,髌,bìn,,,名,髌骨,
5543,2,髌,bìn,,,动,削去髌骨，古代一种酷刑,
5546,1,艴,fú,,,形,〈文〉 形容恼怒的样子,艴然而返
5547,1,诳,kuáng,,,动,欺骗；瞒哄,诳语｜诳言
5548,1,耠,huō,,,动,用耠子松土,耠地
5551,1,隰,xí,,,名,〈文〉 地势低洼而潮湿的地方,
5552,1,徭,yáo,,,名,〈文〉 徭役,轻徭薄赋
5554,1,溏,táng,,,形,像泥浆一样半流动的,溏心｜溏便（稀薄的大便）。
5555,1,跸,bì,,,动,〈文〉 帝王出行时开路清道，禁止百姓通行 跸 止 | 警 跸 指帝王的车驾 驻 跸 （帝王出行时沿途停留暂住）,
5557,1,栝,guā,,,名,〈文〉 桧（guì）树 箭末端扣弦的地方 箭 栝 | 机 栝,
5557,2,栝,guā,栝楼,guālóu,名,多年生草本植物，茎上有卷须，夏秋季开白花。果实卵圆形。果皮、种子和根都可以做药材,
5560,1,雒,luò,,,名,古水名。一在河南，流入黄河，现称洛河。一在四川，即今广汉市境内沱江诸源之一,
5560,2,雒,luò,,,名,姓,
5561,1,缫,sāo,,,动,从泡在开水里的蚕茧中抽出丝,缫丝织绸｜先缫后织
5562,1,铩,shā,,,名,古代一种长刃的矛,
