rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
90003,1,对口快板儿,duìkǒu kuàibǎnr,,,,由两个演员你一段我一段交替地表演的快板,
90006,1,吮痈舐痔,shǔnyōng-shìzhì,,,,用嘴替别人吸痈疽的脓，用舌头舔痔疮。比喻卑鄙龌龊地巴结权贵,
90007,1,聊以卒岁,liáoyǐ-zúsuì,,,,勉强地度过一年。形容生活艰辛困苦,
90021,1,花儿洞子,huārdòngzi,,,名,半截在地面以下，以利于保温保湿的花房,
90022,1,内顾之忧,nèigùzhīyōu,,,,指家里或内部令人牵挂烦心的事,
90023,1,攒三聚五,cuánsān-jùwǔ,,,,三五成群地聚在一处,
90025,1,投鞭断流,tóubiān-duànliú,,,,《晋书·苻坚载记下》记载：前秦苻坚领兵攻打东晋时傲慢地说：我这么多兵马，把马鞭都投到江里，就能截断水流。后用“投鞭断流”形容人马多，兵力强,
90026,1,投畀豺虎,tóubì-cháihǔ,,,,《诗经·小雅·巷伯》：“取彼谮人，投畀豺虎。”（畀：给予）意思是把那些进谗言的人都扔给豺狼老虎吃掉。后用“投畀豺虎”表示对坏人无比愤恨,
90030,1,面誉背毁,miànyù-bèihuǐ,,,,当面称赞，背后毁谤,
90037,1,傍人门户,bàngrénménhù,,,,在别人的门下做事。比喻依赖别人，不能自立,我国在发展中文信息产业方面绝对不能傍人门户。
90038,1,擘肌分理,bòjī-fēnlǐ,,,,切开肌肤，分析其中的纹理（理：肌肤的纹理）。比喻分析事理极为精细,
90039,1,断编残简,duànbiān-cánjiǎn,,,,断简残编,
90044,1,跳皮筋儿,tiàopíjīnr,,,,儿童游戏，两人分执皮筋两端，其他人利用皮筋的弹性来回踩跳皮筋 儿,
90045,1,锥处囊中,zhuīchǔnángzhōng,,,,《史记·平原君虞卿列传》：“夫贤士之处世也，譬若锥之处囊中，其末立见。”（末：尖端；见：同“现”）比喻有才能的人不会长久被埋没，总会显露头角 ,
90048,1,不差累黍,bùchā-lěishǔ,,,,形容丝毫不差（累、黍：古代两种微小的质量单位。借指极微小的数量）,
90053,1,紧衣缩食,jǐnyī-suōshí,,,,节衣缩食,
90061,1,可操左券,kěcāo-zuǒquàn,,,,古代的契约写在左右两个竹片上，称为券。立约双方各拿一券，债权人拿左券，作为讨还债务的凭据。比喻对成功有把握,
90063,1,旅进旅退,lǚjìn-lǚtuì,,,,一起前进或后退。形容无主见，随大溜,
90064,1,雨后送伞,yǔhòu-sòngsǎn,,,,比喻困难过后才给以帮助,
90069,1,磕磕撞撞,kēke-zhuàngzhuàng,,,形,形容走路摇摇晃晃、东倒西歪的样子,磕磕撞撞地走出酒店。
90071,1,三头对案,sāntóu-duì'àn,,,,指当事人双方与中间人或见证人在一起对证核实情况,
90074,1,牛年马月,niúnián-mǎyuè,,,,猴年马月,
90077,1,项背相望,xiàngbèi-xiāngwàng,,,,原指前后相顾；后用来形容行人很多，连续不断,
90079,1,覆盆之冤,fùpénzhīyuān,,,,形容无处申诉的冤屈，就像翻过来扣着的盆子，阳光照不到里面,
90097,1,剖腹藏珠,pōufù-cángzhū,,,,破开腹腔藏入珍珠。比喻重财轻命，轻重倒置,
90099,1,热炒热卖,rèchǎo-rèmài,,,,刚炒熟的食物趁热卖掉；比喻刚学到一点 儿 东西马上就去教别人 （也说现炒现卖 ）,
90101,1,狗苟蝇营,gǒugǒu-yíngyíng,,,,蝇营狗苟,
90102,1,弯弯拐拐,wānwān-guǎiguǎi,,,形,（道路、河流等）多处弯曲,弯弯拐拐的小溪
90102,2,弯弯拐拐,wānwān-guǎiguǎi,,,名,比喻稀奇古怪的心机、主意,他肚子里弯弯拐拐多着呢。
90103,1,一身两役,yīshēn-liǎngyì,,,,一个人同时做两件事情,
90105,1,擢发难数,zhuófà-nánshǔ,,,,《史记·范雎蔡泽列传》记载：范雎问须贾：“汝罪有几?”须贾回答：“擢贾之发以续（同‘赎’）贾之罪，尚未足。”后用“擢发难数”形容罪恶极多，难以数清 ,
90110,1,寸木岑楼,cùnmù-cénlóu,,,,《孟子·告子下》：“方寸之木，可使高于岑楼。”（岑楼：像山一样又高又尖的楼）意思是一寸高的树苗长在山顶可以比高楼还高。后用“寸木岑楼”比喻基础不同，不能相比；也用来形容相距悬殊，差别很大,
90115,1,暗偷明抢,àntōu-míngqiǎng,,,,暗地里偷，公开地抢；形容为非作歹，危害社会,
90118,1,不赞一词,bùzàn-yīcí,,,,原指文章写得完美，别人不能再添一词一语。现也指只听别人说，自己一言不发,
90124,1,半半拉拉,bànban-lālā,,,形,动作或事情没有全部做完或事物不完整的样子,房子才盖了个半半拉拉，钱就花完了｜刚听个半半拉拉，他就不讲了。
90127,1,手指头肚儿,shǒuzhǐtoudùr,,,名,手指前端有指纹的部分,
90132,1,拒谏饰非,jùjiàn-shìfēi,,,,拒绝规劝，掩饰过错,
90133,1,吸声材料,xīshēng cáiliào,,,,指玻璃棉、软质纤维板等具有相当大的吸收声音能力的材料。可减少声音的多次反射，提高音响的清晰度,
90140,1,相忍为国,xiāngrěn-wèiguó,,,,为了国家的利益而作出一定的让步,
90147,1,有目共赏,yǒumù-gòngshǎng,,,,凡是看见的人都赞赏,
90148,1,愣头儿青,lèngtóurqīng,,,名,指鲁莽冒失的人,
90151,1,惜玉怜香,xīyù-liánxiāng,,,,怜香惜玉,
90153,1,引玉之砖,yǐnyùzhīzhuān,,,,比喻为引出别人高深的见解而先发表的粗浅看法（多用作谦词）,
90158,1,为虎添翼,wèihǔ-tiānyì,,,,给老虎加上翅膀。比喻给恶人提供有利条件，助长恶人的势力,
90159,1,摧陷廓清,cuīxiàn-kuòqīng,,,,攻陷敌阵并扫荡干净。多比喻彻底清除陈腐的思想和言论,
