rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
7,1,没有,méiyǒu,,,动,“【没】无（跟“有”相对）,
7,2,没有,méiyǒu,,,副,“【没】对领有、具有的否定。口语中多说“没（méi）”,
35,2,组织,zǔzhī,,,动,【组】把分散的人或事物结合成为一个整体或系统,组织队伍｜组织运动会
100,2,中央,zhōngyāng,,,名,特指国家或党派等的最高领导机构（跟“地方”相区别）,中央政府
167,1,基本,jīběn,,,名,【根本】事物的根源、基础或最主要的部分,
254,3,报告,bàogào,,,名,【演讲】指演讲的内容,学术报告｜动员报告
258,2,和平,hépíng,,,形,【平和】（药物）作用和缓,
334,2,比较,bǐjiào,,,介,【比】引进比较的对象,今年棉花比较去年长势更好。
390,1,变化,biànhuà,,,动,【变】性质、状态或情况跟原来有了不同,变化无常｜思想变化
538,1,文明,wénmíng,,,名,【文化】人类创造的物质财富和精神财富的总和；特指精神财富，如教育、科学、文艺等,物质文明｜精神文明
544,3,检查,jiǎnchá,,,动,【检讨】查找并认识自己的缺点或错误,认真检查自己的错误。
621,1,眼睛,yǎnjing,,,名,【眼】人或动物的视觉器官的通称,
723,3,计算,jìsuàn,,,动,【算计】暗中谋划损害别人；暗中谋划损害别人,不要老计算人
775,2,一方,yīfāng,,,名,【一方面】相对的两个方面中的一个方面或相互关联的事物的一面,可以以一方为主，兼顾另一方，不可走极端。
791,1,西方,xīfāng,,,名,【西】四个基本方向之一，太阳落下的一边（跟“东”相对）,
904,2,意思,yìsi,,,名,【意义】作用；价值,抬杠没什么意思
1019,1,通讯,tōngxùn,,,动,【通信】特指用电波、光波等传送语言、文字、图像等信息的旧称,
1125,3,发动,fādòng,,,动,【动员】发动人（做某事或参加某项活动）,发动群众｜群众发动起来了
1200,2,比例,bǐlì,,,名,【比】数学上指比较两个数而得出的倍数关系，其中一个数是另一个数的几倍或几分之几,这个班男女学生数的比例为3∶2
1200,3,比例,bǐlì,,,名,【比重】指部分在整体中所占的分量,比例失调｜拌料时，可增加些水的比例
1274,1,制作,zhìzuò,,,动,【制造】把原料变为成品,手工制作｜制作教具
1291,4,一边,yībiān,,,形,〈口〉同样；【一般】相同；差不多,两根绳子一边儿长。
1346,1,引导,yǐndǎo,,,动,【带领】在前头领着,由村长引导参观了果园。
1384,1,地面,dìmiàn,,,名,地的表面,地面温度
1384,3,地面,dìmiàn,,,名,〈口〉【地界】行政区域的边界或管辖范围,从这里进入河北地面。
1437,2,将军,jiāngjūn,,,动,【将】下象棋时攻击对方的“将”或“帅”;用言语刺激或为难（对方）。,
1451,1,东方,dōngfāng,,,名,【东】四个基本方向之一，太阳升起的一边（跟“西”相对）,日出东方
1465,2,身边,shēnbiān,,,名,【身上】指随身可以放钱、物的地方,身边带着手机
1578,1,距离,jùlí,,,动,【距】两者在时间或空间上相隔,现在距离开车只有十分钟｜汽车在距离他不足三米的地方紧急刹住了
1617,1,一口,yīkǒu,,,名,【满口】整个口腔,一口大蒜味儿
1617,2,一口,yīkǒu,,,形,【满口】指嘴里说的全部话（都是某种口音或内容）,他能说一口流利的英语｜他一口的温州话
1640,1,女性,nǚxìng,,,区别,【女】人类两性之一，体内能产生雌性生殖细胞的（跟“男”相对）,女性公民
1641,3,听说,tīngshuō,,,动,〈口〉【听话】听从尊长的教导；顺从,
1681,1,黄金,huángjīn,,,名,【金】金属元素，符号 Au。深黄色，有光泽，延展性强，化学性质稳定。主要用于制造货币、装饰品等。通称金子或黄金。,
1691,1,北方,běifāng,,,名,【北】四个基本方向之一，早晨面对太阳时左首的一方（跟“南”相对）,
1691,3,北方,běifāng,,,名,【北】特指我国北方,
1746,1,自动,zìdòng,,,形,【主动】出于自愿，不受外力影响或推动而动（跟“被动”相对）,他自动给老人让座｜自动报名
1760,2,占领,zhànlǐng,,,动,【占有】占据并拥有,占领农村市场
1767,1,南方,nánfāng,,,名,【南】四个基本方向之一，早晨面对太阳时右首的一方（跟“北”相对）,
1767,3,南方,nánfāng,,,名,【南】特指我国南方,他是南方人｜南方特产
1830,3,目光,mùguāng,,,名,【眼光】观察鉴别事物的能力；见识,目光敏锐｜目光短浅
1838,1,既然,jìrán,,,连,【既】用于复句的前一分句，提出已成为现实或已肯定的前提，后一分句据以推出结论，常同“就”、“那么”等呼应,我既然管，就管到底｜既然时间还早，何不顺便逛逛书店?
1855,2,高等,gāoděng,,,区别,【高级】（阶段、级别等）达到较高程度的,高等植物
1950,2,情报,qíngbào,,,名,【信息】信息论指通过指令、数据、符号等发出的对接受者来说在此之前没有获知的消息的旧称,
2275,1,轨道,guǐdào,,,名,【轨】用条形的钢材铺成的供火车、电车等行驶的道路,
2339,1,皇帝,huángdì,,,名,【皇】皇帝，秦以后封建王朝的最高统治者,
2340,1,理性,lǐxìng,,,名,【理智】辨别是非，分析判断，并据以控制感情、行为的能力,遇事要冷静处置，不可丧失理性。
2382,1,一路,yīlù,,,名,【沿路】临近道路的地带；整个行程,一路欢声笑语｜走一路唱一路
2420,1,遗憾,yíhàn,,,名,【遗恨】临终还感到悔恨或不称心的事,他终生最大的遗憾就是来不及完成这部巨著。
2612,1,缺少,quēshǎo,,,动,【缺】应该有而没有或不够（多用于人或物）,缺少助手｜缺少路费
2613,1,情感,qínggǎn,,,名,【感情】受外界刺激而产生的爱、憎、喜、怒、哀、乐等心理反应,
2850,5,颜色,yánshai,,,名,【颜色】颜料或染料,买包颜色染染被面｜画画离不开颜色
2974,1,倒是,dàoshì,,,副,表示同一般情理或主观意料相反，相当于“反而”、“却”等。,
3150,4,场面,chǎngmiàn,,,名,【排场】铺张、奢华的场面,工厂亏损，厂长还死讲究场面!
3184,1,关闭,guānbì,,,动,【关】闭；使开着的东西合上（跟“开”相对）,晚九点，关闭校门。
3184,2,关闭,guānbì,,,动,【关】停止营业；歇业,关闭了两家长期亏损的工厂。
3218,1,心脏,xīnzàng,,,名,【心】人和脊椎动物体内推动血液循环的器官。人的心形状像桃，大小相当于本人的拳头，位于胸腔中间偏左，分左右心房和左右心室四部分，通过舒张和收缩来推动血液循环,
3222,1,凡是,fánshì,,,副,【凡】表示总括一定范围内的全部。,凡是应该做的，都要努力去做。
3764,1,男性,nánxìng,,,区别,【男】人类两性之一，体内能产生雄性生殖细胞的（跟“女”相对）,男性公民
3806,1,血液,xuèyè,,,名,【血】流动于心脏和血管内的不透明的红色液体，主要成分是血浆和血细胞,
3953,4,出手,chūshǒu,,,动,【动手】打人；打架,出手打人
3974,2,计数,jìshǔ,,,动,【计算】利用已知数求得未知数,不可计数
4069,2,手法,shǒufǎ,,,名,【手段】待人处世的不正当方法,
4112,1,边缘,biānyuán,,,名,【边】物体的外沿部分,
4180,1,反响,fǎnxiǎng,,,名,【反应】事情发生后在人们中间引起的意见或行动,抗洪英雄事迹报告在社会上反响热烈。
4212,2,引入,yǐnrù,,,动,【引进】从外部引进来,引入新品种｜引入竞争机制
4279,1,脑子,nǎozi,,,名,【脑】人和脊椎动物中枢神经系统的主要部分，位于颅腔内。人脑除了主管全身的知觉和运动外，还主管思维和记忆,
4279,2,脑子,nǎozi,,,名,【脑】人和脊椎动物中枢神经系统的主要部分，位于颅腔内。人脑除了主管全身的知觉和运动外，还主管思维和记忆,
4280,2,除非,chúfēi,,,,介【除了】引进不包括在下文所说范围之内的内容，表示排除在外，常跟“都”、“全”等配合使用,除非他，再没人熟悉山林里的情况了。
4292,1,境地,jìngdì,,,名,【境界】事物所达到的程度或表现出的状况,达到了忘我的境地。
4312,1,院子,yuànzi,,,名,【院】房屋及其周围用墙或栅栏等围起来的空间,
4327,1,味道,wèidào,,,名,【味】舌头品尝东西时产生的酸、甜、苦、辣、咸等感觉,品尝味道
4436,1,依托,yītuō,,,动,【依靠】仰仗；凭借,依托自然资源优势，大力发展旅游业。
4470,1,摩托车,mótuōchē,,,名,【摩托】由汽油内燃机驱动的两轮或三轮轻便车,
4636,2,波动,bōdòng,,,名,【波】物理学上指振动在介质中的传播过程，是能量传递的一种形式。包括机械波和电磁波,
4824,1,肩膀,jiānbǎng,,,名,【肩】人的上臂同躯干相连的部分；也指四足动物的前腿根部,
