rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
80278,1,便路,biànlù,,,名,【便道】近而方便的小路,走便路省时间
80491,1,揭老底,jiēlǎodǐ,,,,【揭底】揭露内情,
80548,1,风火墙,fēnghuǒqiáng,,,名,【防火墙】建筑物之间用来防止火灾蔓延的高墙,
81745,1,包伙,bāohuǒ,,,动,【包饭】按约定的标准，一方按月交费，一方供应饭食,
81745,2,包伙,bāohuǒ,,,名,【包饭】以约定的标准按月交费后供应的饭食,
81805,1,出徒,chūtú,,,动,【出师】（学徒）学习期满，技艺学成,
82646,1,单人舞,dānrénwǔ,,,名,【独舞】由一个人表演的舞蹈。分两类：一类是具有特定主题的完整结构的舞蹈；另一类是舞剧或多人舞蹈中的组成部分，是刻画主要人物的重要手段,
83160,1,锋快,fēngkuài,,,形,【锋利】形容工具、兵器头尖或刃薄，易于刺入或切割,
83561,1,皴裂,cūnliè,,,动,【皴】（皮肤）因风吹或受冻而粗糙起皱或裂口,
84557,1,磨扇,mòshàn,,,名,【磨盘】组成石磨的上下两扇圆形石盘,
84642,1,鼓弄,gǔnong,,,动,【鼓捣】摆弄；修理,
84671,1,巴儿狗,bārgǒu,,,名,【哈巴狗】一种供玩赏的狗。体小、毛长、腿短,
