rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
30001,1,蔗糖,zhè táng,,,名,有机化合物，白色结晶，有甜味。甘蔗和甜菜里含有丰富的蔗糖,蔗糖是常见的甜味剂｜甘蔗中含有丰富的蔗糖,Sucrose
30001,2,蔗糖,zhè táng,,,名,特指用甘蔗汁熬成的糖,这种蔗糖是用甘蔗汁熬制的｜传统蔗糖制作工艺很复杂,Cane sugar
30002,1,缺血,quē xiě,,,动,医学上指供血不足,脑部缺血,Ischemia
30004,1,圆锥,yuán zhuī,,,名,直角三角形以其任意一条直角边为轴，旋转一周所形成的立体,圆锥体,Cone
30006,1,弧线,hú xiàn,,,名,【弧】圆周或曲线（如抛物线）上的任意一段,球在空中划了一道弧线。,Arc
30007,1,铜锣,tóng luó,,,名,铜制盘状打击乐器。中心有脐，锣边有二孔，系绳提着击打,他用力敲响了铜锣｜庙会上的铜锣声音很响亮,Gong
30008,1,胡扯,hú chě,,,动,随意瞎说,你别在这里胡扯了｜他总爱胡扯些没影的事,Talk nonsense
30009,1,水雷,shuǐ léi,,,名,布设在水中的一种爆炸武器，用来封锁港口、航道或炸毁舰艇,港口布设了多枚水雷｜这艘船不小心触发了水雷,Naval mine
30010,1,预知,yù zhī,,,动,事先知道,通过精密计算，能预知一千年内日食、月食的准确时刻。,Foresee
30011,1,蚕豆,cán dòu,,,名,一年或二年生草本植物，茎方形中空，花白色或淡紫色，有紫斑，结大而肥厚的蚕形荚果。种子也叫蚕豆，椭圆扁平，可以食用,蚕豆炒肉很美味｜田里的蚕豆长势很好,Broad bean
30012,1,肚脐,dù qí,,,名,腹部中间脐带脱落后形成的瘢痕,婴儿的肚脐需要细心护理｜他不小心抓伤了肚脐,Navel
30014,1,遗志,yí zhì,,,名,死者生前留下的志愿,继承先烈遗志,Unfulfilled wish
30015,1,解渴,jiě kě,,,动,消除口渴的感觉；比喻满足要求、解决问题,喝茶比喝汽水解渴｜专家深入浅出的报告真解渴。,Quench thirst
