rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
60002,1,出摊儿,chū tān er,,,动,摆出摊儿卖货。,天刚亮就出摊儿,set up a street stall
60003,1,宠辱不惊,chǒng rǔ bù jīng,,,,无论得宠还是受辱都不动心。形容把得失置之度外,他为人处世宠辱不惊｜面对得失他总能宠辱不惊,unmoved by favor or disgrace
60005,1,闲空,xián kòng,,,名,空闲时间,每天忙得一点儿闲空都没有｜有了闲空，咱们去看场电影。,leisure time
60007,1,寒来暑往,hán lái shǔ wǎng,,,,热天已去，冷天到来。指四季更替，岁月流逝,寒来暑往又一年｜寒来暑往时光飞逝,as summer goes and winter comes
60010,1,采蜜,cǎi mì,,,动,蜜蜂采集花蜜,蜜蜂在花丛中采蜜｜春天来了蜜蜂忙着采蜜,gather nectar (of bees)
60010,2,采蜜,cǎi mì,,,动,从蜜蜂蜂巢里采集蜂蜜,养蜂人正在蜂箱里采蜜｜他从蜂巢采蜜很熟练,collect honey (from beehives)
60012,1,不虞,bù yú,,,动,没有料想到,不虞之誉｜不虞中途遇雨，耽误归期。,unexpected
60012,2,不虞,bù yú,,,名,没有料想到的事情,有备无患，以防不虞。,unforeseen event
60013,1,完全小学,wán quán xiǎo xué,,,,指设置有一至六各个年级的小学。简称完小,村里新建了一所完全小学｜这所完全小学有六个年级,complete primary school
60015,1,有色眼镜,yǒu sè yǎn jìng,,,,比喻看问题时的成见或偏见,戴着有色眼镜看人，不可能看得正确。,colored glasses
60019,1,洞天福地,dòng tiān fú dì,,,,道教指神仙居住的地方；泛指非常清幽的名山胜地,这里真是洞天福地｜山中有一处洞天福地,cave paradise
60020,1,王水,wáng shuǐ,,,名,一份浓硝酸和三份浓盐酸的混合液。腐蚀性极强，可以溶解黄金等金属。冶金工业中用作溶剂,王水可以溶解黄金｜冶金厂使用王水作溶剂,aqua regia
60021,1,风压,fēng yā,,,名,风垂直作用于物体表面的压强。是建筑工程上需要掌握的数据,建筑要考虑风压影响｜这座楼的风压设计很合理,wind pressure
60023,1,习尚,xí shàng,,,名,社会上流行的习惯和风尚,了解当地习尚,prevailing custom
60025,1,好赖,hǎo lài,,,副,【好歹】无论如何；不管怎么样,你好赖吃一点吧｜好赖你得去一趟,anyway
60025,2,好赖,hǎo lài,,,副,【好歹】将就；凑和,这房子好赖能住人｜衣服旧了好赖还能穿,make do
60025,3,好赖,hǎo lài,,,名,【好歹】好的和坏的,他分不清好赖｜做人要懂得好赖,good and bad
60026,1,佯作,yáng zuò,,,动,假装；装作,佯作不知,pretend
60030,1,招租,zhāo zū,,,动,招人租用（房屋、设备等）,门口贴着招租广告｜这间房子正在招租,for rent
60034,1,木梳,mù shū,,,名,木制梳子,她用木梳梳头｜这把木梳很光滑,wooden comb
60035,1,靡靡,mǐ mǐ,,,形,萎靡颓废；特指乐声萎靡颓废,靡靡情调｜靡靡之音,decadent (of music)
60035,2,靡靡,mǐ mǐ,,,形,迟缓；柔弱,步履靡靡｜细雨靡靡,slow and weak
60037,1,单帮,dān bāng,,,名,指利用地区间差价，从事异地贩运以谋利的个体商贩。旧时因其未加入商业行帮，故称,跑单帮,itinerant trader
60038,1,丢丑,diū chǒu,,,动,丢脸；出丑,他当众丢丑了｜别在台上丢丑,lose face
60041,1,化学能,huà xué néng,,,名,物质进行化学反应时放出的能量。如煤燃烧时放出的光和热,燃烧释放化学能｜电池储存化学能,chemical energy
60042,1,减缩,jiǎn suō,,,动,减少、压缩,减缩编制,reduce and compress
60043,1,冒失鬼,mào shi guǐ,,,名,言行轻率、莽撞的人,这个冒失鬼撞到人了｜他是个有名的冒失鬼,reckless person
60044,1,三角裤,sān jiǎo kù,,,名,三角形的短内裤,他穿着三角裤｜买了一条新三角裤,briefs
60045,1,护膝,hù xī,,,名,套在膝关节处，起保护作用的用品,打球时戴上护膝｜他的护膝很厚实,knee pad
60046,1,打牙祭,dǎ yá jì,,,,原指每逢月初、月中吃一次肉食（牙祭：旧时店主、雇主向所雇用的人定期提供肉食）；现泛指偶尔吃一顿丰盛的饭菜,今天我们去打牙祭｜周末全家打牙祭,have a rare sumptuous meal
60047,1,考区,kǎo qū,,,名,统一考试中，为便于管理而划分的区域,北京考区,examination district
60050,1,怒族,nù zú,,,名,我国少数民族之一。主要分布在云南,怒族同胞很热情｜云南有怒族聚居区,Nu ethnic group
60052,1,边角料,biān jiǎo liào,,,名,加工、制造物品剩下的零碎材料,利用做皮夹克的边角料做皮手套。,scrap material
60055,1,奶娘,nǎi niáng,,,名,奶妈,奶娘照顾婴儿｜她曾当过奶娘,wet nurse
60058,1,微血管,wēi xuè guǎn,,,名,毛细血管,微血管很细小｜血液流过微血管,capillary
60059,1,埠头,bù tóu,,,名,某些地区指码头,船到埠头,wharf
60061,1,逆光,nì guāng,,,动,通常指摄影时的一种用光方法，即摄影时让光线从被摄物体的背后向摄影镜头射来。这种方法可以较清晰地勾勒物体轮廓或更突出地表现透明体,逆光拍摄效果很好｜他喜欢逆光拍照,backlighting
