rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
75008,1,漆雕,qī diāo,,,名,雕漆,这件漆雕作品非常精美。｜他擅长制作漆雕工艺品。,Carved lacquer
75011,1,厄难,è nàn,,,名,苦难；灾难,遭受厄难,Hardship; disaster
75016,1,宝号,bǎo hào,,,名,敬词，称对方的商号,贵宝号生意兴隆。｜欢迎光临我们宝号。,Honorific term for the other party's business name
75016,2,宝号,bǎo hào,,,名,敬词，称对方的名字,请问宝号怎么称呼？｜久仰宝号大名。,Honorific term for the other party's name
75017,1,含怨,hán yuàn,,,动,心存怨恨；含恨,含怨离职,To harbor resentment
75018,1,役畜,yì chù,,,名,供耕作或运输用的牲畜。如牛、马、驴、骡等,役畜在农田里劳作。｜这些役畜很温顺。,Draft animal
75022,1,巧辩,qiǎo biàn,,,动,巧妙地论辩；诡辩,他能说会道，善于巧辩｜挖空心思为自己的罪行巧辩。,To argue skillfully; sophistry
75027,1,家鸽,jiā gē,,,名,家禽，由原鸽驯化而成。喙短，翅长大，善飞，体呈纺锤形，腿短。,家鸽在天空中飞翔。｜他养了几只家鸽。,Domestic pigeon
75031,1,窗扉,chuāng fēi,,,名,窗扇,窗扉被风吹开了。｜她轻轻关上窗扉。,Window sash
75033,1,寇仇,kòu chóu,,,名,仇敌,剿灭寇仇,Enemy; foe
75038,1,打春,dǎ chūn,,,名,立春。旧时在立春日鞭打衙门前的泥塑耕牛，表示春耕开始，故称,明天就是打春了。｜打春时节要祭祖。,Beginning of Spring (traditional term)
75039,1,牝牡,pìn mǔ,,,名,雌性和雄性,牝牡搭配很重要。｜分辨牝牡并不难。,Female and male
75042,1,填房,tián fáng,,,名,旧指前妻死后续娶的妻子,她成了他的填房。｜填房地位不如原配。,A wife taken after the death of the first wife
75042,2,填房,tián fáng,,,动,旧指女子嫁给死了妻子的男人,她填房给了鳏夫。｜女子填房很常见。,To marry a widower
75046,1,修眉,xiū méi,,,动,修整眉毛,她在镜子前修眉。｜修眉让她更精神。,To shape eyebrows
75046,2,修眉,xiū méi,,,名,长长的眉毛,凤眼修眉,Long eyebrows
75049,1,回驳,huí bó,,,动,否定或驳斥对方的意见或观点；驳回,经理回驳了他的辩解｜有力地回驳,To refute; to reject
75050,1,踢腾,tī teng,,,动,踢蹬,孩子在床上踢腾。｜别在床上踢腾了。,To kick about
75055,1,辩诬,biàn wū,,,动,对诬陷或错误的指责进行辩解,他极力为自己辩诬。｜辩诬需要证据。,To defend against false accusations
75056,1,钩针,gōu zhēn,,,名,手工编织花边等用的带钩的针,她用钩针编织围巾。｜钩针编织很有趣。,Crochet hook
75060,1,电料,diàn liào,,,名,各种电气器材的统称,商店里电料齐全。｜他买了些电料。,Electrical materials
75062,1,白痢,bái lì,,,名,痢疾的一种。特点是大便中不带血但有黏液或脓,他得了白痢。｜白痢需要及时治疗。,White dysentery
75063,1,豆青,dòu qīng,,,形,豆绿,她喜欢豆青色。｜豆青色很清新。,Pea green
75070,1,阻绝,zǔ jué,,,动,受阻断不能通行,道路阻绝，音讯不通。,To be blocked; impassable
75076,1,藕色,ǒu sè,,,名,藕灰的颜色,这件衣服是藕色。｜藕色显得很温柔。,Pale pinkish-gray (color of lotus root)
75077,1,斧正,fǔ zhèng,,,动,敬词，用于请他人指正、修改诗文,敬请斧正,To polish (a piece of writing) (honorific)
