rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
70002,1,下劲,xià jìn,,,动,用劲,他干活很下劲｜学习要下劲才能进步,exert effort
70003,1,各有所好,gè yǒu suǒ hào,,,,各有各的爱好,有人爱喝茶有人爱咖啡，各有所好｜音乐口味各有所好,each has their own preferences
70005,1,抽冷子,chōu lěng zi,,,副,猛然；冷不防,抽冷子打几枪，迷惑敌人。,suddenly
70006,1,耻骨,chǐ gǔ,,,名,骨盆下部靠近外生殖器的左右两块骨头,她摔伤后耻骨疼痛｜耻骨是骨盆重要组成部分,pubic bone
70008,1,赤忱,chì chén,,,名,十分诚挚的心意,满怀赤忱｜奉献赤忱,sincere heart
70008,2,赤忱,chì chén,,,形,十分诚挚,赤忱相待,sincere
70014,1,凡庸,fán yōng,,,形,平庸,医术凡庸,mediocre
70015,1,山核桃,shān hé tao,,,名,落叶乔木，羽状复叶。果实也叫山核桃，表面密生黄鳞毛。鲜核仁脱涩后可以吃，也可以榨油。木质坚韧，可做家具、枪托等,山核桃营养很丰富｜他爱吃炒山核桃,hickory
70016,1,误听,wù tīng,,,动,错误地听信,误听了谣传,mishear
70017,1,怃然,wǔ rán,,,形,形容失意的样子,怃然长叹,disappointed
70020,1,掉书袋,diào shū dài,,,,讥讽人动不动就引经据典，卖弄才学,他说话总爱掉书袋｜别总掉书袋说简单点,pedantry
70023,1,吹拍,chuī pāi,,,动,吹牛拍马,这个人以吹拍为手段，到处钻营。,boasting and flattery
70024,1,刺参,cì shēn,,,名,海参的一种。体呈圆柱形，前端口周有20个触手，背面有4—6行肉刺。再生力很强。可人工养殖,刺参是名贵海产品｜这道菜用了新鲜刺参,stichopus japonicus
70024,2,刺参,cì shēn,,,名,多刺灌木，小枝密生直刺，叶近圆形，边缘有带短刺和刺毛的锯齿，果实球形。根、茎可以做药材,这种刺参可以入药｜山上长满了刺参,prickly shrub
70025,1,寸阴,cùn yīn,,,名,日影移动一寸长的时间。指极短的时间,珍惜寸阴,very short time
70029,1,错谬,cuò miù,,,名,错误；谬误,错谬百出,error
70045,1,慢性子,màn xìng zi,,,名,慢性子的人,我和这慢性子过不到一块儿。,slowpoke
70045,2,慢性子,màn xìng zi,,,形,（脾气、性格）缓慢的,他是个慢性子人，你得勤催着点儿。,slow-tempered
70048,1,地漏,dì lòu,,,名,建筑物地面上设置的排水孔，水通过它流入下水道,地漏堵了，满地是水。,floor drain
70050,1,桥桩,qiáo zhuāng,,,名,支撑桥体的柱子,工人们在打桥桩｜这座桥的桥桩很牢固,bridge pile
70051,1,递条子,dì tiáo zi,,,,递送纸条；借指上级部门或有权势的个人为某事给有关人写条子打招呼，要求予以通融照顾的不正之风,考试时禁止递条子｜他靠递条子办成了事,pass a note
70052,1,填方,tián fāng,,,名,土建工程中回填到低洼处的土石方,这里需要大量填方｜填方工程即将完成,fill
70052,2,填方,tián fāng,,,动,土建工程中回填土石方,移土填方,backfill
70053,1,田垄,tián lǒng,,,名,田埂,他走在田垄上｜田垄把稻田分成小块,ridge
70053,2,田垄,tián lǒng,,,名,【垄】在耕地上培起的用来种植农作物的土埂,田垄上种着豆子｜农民在修整田垄,ridge
70054,1,畜圈,chù juàn,,,名,饲养牲口的棚或围栏,畜圈需要定期打扫｜牲畜都关在畜圈里,livestock pen
70055,1,草寇,cǎo kòu,,,名,旧指出没于山林草莽的盗匪,山上盘踞着一伙草寇｜草寇经常打劫商队,bandits
70056,1,荤食,hūn shí,,,名,含肉类的食物,他从不吃荤食｜这桌菜全是荤食,non-vegetarian food
