rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
40001,1,铁水,tiě shuǐ,,,名,铁在高温下熔化成的炽热液体,铁水从高炉中流出｜铁水温度很高,molten iron
40007,1,瓦当,wǎ dāng,,,名,旧时覆盖在屋檐边上的滴水瓦的垂面部分。有圆形和半圆形两种，上面多有文字或图案,屋檐的瓦当上有花纹｜这个瓦当是圆形的,eaves tile
40008,1,举事,jǔ shì,,,动,起义；暴动,聚众举事,stage an uprising
40009,1,痛经,tòng jīng,,,动,妇女月经前或经期中下腹出现疼痛症状,她每个月都会痛经｜痛经让她很难受,dysmenorrhea
40010,1,由头,yóu tou,,,名,口实；借口,把迟到当由头,pretext
40011,1,悲戚,bēi qī,,,形,悲哀忧伤,悲戚的呜咽声,sorrowful
40012,1,莲藕,lián ǒu,,,名,藕,莲藕可以炖汤｜莲藕很脆,lotus root
40013,1,条凳,tiáo dèng,,,名,一种板面狭长的凳子,他坐在条凳上｜条凳很长,bench
40014,1,居处,jū chǔ,,,动,居住（在某处）,居处闹市,reside
40015,1,雏型,chú xíng,,,名,未定型前最初的样式；也指照原物按比例缩小的模型,楼盘雏型展示,prototype
40018,1,销假,xiāo jià,,,动,请假期满后向上级报到，恢复上班工作,他今天来公司销假｜销假后开始工作,report back after leave
40019,1,僵尸,jiāng shī,,,名,僵硬的尸体；常用来比喻失去生命力的事物,政治僵尸,corpse
40021,1,青蒿,qīng hāo,,,名,多年生或二年生草本植物，茎直立而上部多分枝，叶互生，夏季开花，头状花序呈半球形。茎、叶、籽实都可以做药材,青蒿可以入药｜青蒿开花了,sweet wormwood
40022,1,白字,bái zì,,,名,【别字】把甲字错读成或错写成乙字，乙字叫别字。如把“性别”写成“姓别”是写别字，把“晌午”读成“响午”是读别字,他写了个白字｜白字很难看,wrongly written or mispronounced character
40023,1,浮标,fú biāo,,,名,设置在水面上的航行标志。作用是指示航道的界限，浅滩、礁石等障碍物的位置和危险地区等,海上有个浮标｜浮标指示航道,buoy
40026,1,巡诊,xún zhěn,,,动,巡回治疗,到山区巡诊,make medical rounds
40027,1,乱来,luàn lái,,,动,胡来,你别乱来｜乱来会出事,act recklessly
40030,1,回头路,huí tóu lù,,,名,指已经走过的路；比喻倒退的路,他不走回头路｜回头路不好走,the road back
40033,1,脊梁骨,jǐ liang gǔ,,,名,脊柱,他挺直脊梁骨｜脊梁骨很重要,spine
40033,2,脊梁骨,jǐ liang gǔ,,,名,比喻志气、骨气等,做人要有脊梁骨,backbone
40033,3,脊梁骨,jǐ liang gǔ,,,名,比喻事物的关键部分或支撑事物的中坚力量,这条路是全市公路网的脊梁骨｜他是咱们村的脊梁骨。,backbone
40036,1,自决权,zì jué quán,,,名,（民族、团体等）自己决定自己事务的权利,民族有自决权｜自决权很重要,right to self-determination
40038,1,组织性,zǔ zhī xìng,,,名,党派、团体等的成员忠诚于所在组织，严格遵守所在组织的各项纪律的自觉程度,加强组织性和纪律性。,organizational discipline
40042,1,矿泉壶,kuàng quán hú,,,名,内设过滤装置的盛凉水的容器,他用矿泉壶喝水｜矿泉壶能过滤,mineral water dispenser
40045,1,传略,zhuàn lüè,,,名,简略的传记,《中国现代社会科学家传略》。,brief biography
40046,1,打拼,dǎ pīn,,,动,拼搏；奋斗,成功靠打拼,strive
40048,1,门可罗雀,mén kě luó què,,,,门前可以张网捕雀（罗：张网捕捉）。形容宾客稀少，门庭冷落。,这家店门可罗雀｜门可罗雀很冷清,deserted
40049,1,掌上电脑,zhǎng shàng diàn nǎo,,,,具有电子计算机部分功能，可以拿在手上使用的便携式电子设备,他买了掌上电脑｜掌上电脑很方便,handheld computer
40050,1,在劫难逃,zài jié nán táo,,,,佛教指命中注定的灾难，逃脱不了；借指某些不幸的事情一定要发生，避免不了,这次在劫难逃｜在劫难逃啊,inevitable
40051,1,招兵买马,zhāo bīng mǎi mǎ,,,,招募士兵，购置战马；比喻招揽人才、扩充力量,公司正在招兵买马｜招兵买马扩规模,recruit followers
40052,1,充耳不闻,chōng ěr bù wén,,,,堵住耳朵不听。形容故意不听别人的意见或对某些事漠不关心,他对建议充耳不闻｜充耳不闻不好,turn a deaf ear
40057,1,雨带,yǔ dài,,,名,冷暖空气相遇产生的大范围雨区,雨带正在移动｜雨带带来降雨,rain belt
40058,1,轮岗,lún gǎng,,,动,轮换工作岗位,定期轮岗,job rotation
40059,1,解气,jiě qì,,,动,消除心头的气愤,心里不痛快，也不要拿孩子来解气。,vent one's spleen
40060,1,疾步,jí bù,,,名,快步,疾步追赶,quick steps
40064,1,加试,jiā shì,,,动,在应试者参加的共同科目的考试外，对部分人增加科目或内容的考试,加试生物｜加试体育,additional test
40065,1,涌流,yǒng liú,,,动,不断地急速流出,泉水涌流,gush
40066,1,铺展,pū zhǎn,,,动,铺开；展开,把地毯铺展开来,spread out
40067,1,发油,fà yóu,,,名,使头发湿润光泽的油质化妆品,她用了发油｜发油让头发亮,hair oil
40069,1,剽悍,piāo hàn,,,形,轻捷而勇猛,剽悍的骑兵战士｜粗犷剽悍,agile and brave
40070,1,树桩,shù zhuāng,,,名,树墩,树桩很粗｜他坐在树桩上,tree stump
40070,2,树桩,shù zhuāng,,,名,可以做盆景的粗矮的根木,这个树桩做盆景｜树桩盆景很美,tree stump
40073,1,填词,tián cí,,,动,按照词的格律，即词牌所要求的字数、句式、声韵、平仄等写词,他擅长填词,compose ci poetry
40075,1,化缘,huà yuán,,,动,佛教、道教指僧尼或道士向人要求布施,和尚在化缘｜化缘是传统,beg alms
40076,1,接警,jiē jǐng,,,动,接到报警；警方受理警务性案件,消防队接警后立即赶赴火灾现场。,receive an alarm
40078,1,阳文,yáng wén,,,名,铸或刻在器物上凸起的文字或花纹（跟“阴文”相区别）,印章上是阳文｜阳文是凸起的,relief
40079,1,诗社,shī shè,,,名,诗人或诗歌爱好者定期聚会进行创作、评论等活动的组织,他参加了诗社｜诗社活动多,poetry club
40081,1,补益,bǔ yì,,,名,益处；好处,植树造林，对改善环境大有补益。,benefit
40081,2,补益,bǔ yì,,,动,使产生或得到益处,补益后人｜补益社会,benefit
40083,1,黑哨,hēi shào,,,名,指某些球类比赛中，裁判员为获取非法利益等而故意偏袒某一方的裁判行为。因裁判时吹哨，故称,裁判吹黑哨｜黑哨不公平,corrupt refereeing
40084,1,晶亮,jīng liàng,,,形,透明光亮,荷叶上滚动着晶亮晶亮的露珠。,sparkling
40086,1,长笛,cháng dí,,,名,管乐器，多用金属制成，孔上装有杠杆式音键，横吹,她吹长笛｜长笛声音美,flute
40088,1,辞行,cí xíng,,,动,远行前向亲友告别,出国留学前，他到亲友家一一辞行。,bid farewell
40089,1,夕照,xī zhào,,,名,太阳下山时的光芒,夕照下的湖面，波光粼粼。,sunset glow
40090,1,细软,xì ruǎn,,,形,纤细柔软,一头细软的秀发,fine and soft
40090,2,细软,xì ruǎn,,,名,指贵重而又便于携带的珠宝、绸帛等,她带着细软｜细软很值钱,valuables
40092,1,水表,shuǐ biǎo,,,名,测定自来水用水量的仪表,水表在转动｜水表记录用量,water meter
40093,1,掌上明珠,zhǎng shàng míng zhū,,,,比喻深受钟爱的孩子；也比喻珍爱的物品,她是掌上明珠｜掌上明珠受宠,treasured possession
40095,1,总纲,zǒng gāng,,,名,总的纲领；总的原则和要点,这是总纲｜总纲很重要,general program
40097,1,军权,jūn quán,,,名,领导、指挥、调动军队的权力,他掌握军权｜军权很大,military power
40098,1,春梦,chūn mèng,,,名,春夜的梦境。比喻很快消逝的好景；也比喻虚幻难以实现的愿望,春梦了无痕｜春梦易醒,spring dream
40099,1,雄师,xióng shī,,,名,强大的军队,百万雄师,powerful army
40100,1,拂面,fú miàn,,,动,轻轻从脸上擦过,微风拂面｜柳絮拂面,caress the face
40101,1,守职,shǒu zhí,,,动,谨守职责,他守职尽责｜守职很重要,be faithful to one's duty
40102,1,站相,zhàn xiàng,,,名,站立的姿态,坐有坐相，站有站相。,standing posture
40103,1,党纲,dǎng gāng,,,名,政党的纲领，它规定政党的性质、目标、指导思想、政治路线和组织路线等,党纲已公布｜党纲明确目标,party program
40104,1,凶暴,xiōng bào,,,形,凶狠残暴,行为凶暴,fierce and brutal
40109,1,传布,chuán bù,,,动,宣传；发布；散布,传布革命真理｜传布命令｜把喜讯传布到全世界。,disseminate
40110,1,恶斗,è dòu,,,动,凶狠、激烈地争斗,两家恶斗不休｜一场家族恶斗,fierce fight
40113,1,如意算盘,rú yì suàn pan,,,,比喻不顾实际，只从符合自己的心愿着想的打算,他打如意算盘｜如意算盘落空,wishful thinking
40114,1,事无巨细,shì wú jù xì,,,,事情无论大小,事无巨细，他都一一过问。,"all matters, big and small"
40115,1,地大物博,dì dà wù bó,,,,疆土辽阔，物产丰富,我国地大物博｜地大物博是优势,vast territory and abundant resources
40116,1,组合音响,zǔ hé yīn xiǎng,,,,收音机、录音机、唱机、音箱等组合而成的成套的音响设备,他买了组合音响｜组合音响很贵,audio system
40117,1,见怪不怪,jiàn guài bù guài,,,,见到怪异的事物不大惊小怪,他见怪不怪｜见怪不怪习惯了,be indifferent to something strange
40118,1,魂飞魄散,hún fēi pò sàn,,,形,形容惊慌恐惧到了极点,吓得魂飞魄散｜魂飞魄散逃跑,scared out of one's wits
40120,1,不费吹灰之力,bù fèi chuī huī zhī lì,,,形,形容做事非常容易，毫不费力,他不费吹灰之力｜不费吹灰之力完成,as easy as blowing off dust
40121,1,爆冷门,bào lěng mén,,,,指在某方面猛然出现了出人意料的事情,这次运动会大爆冷门，名不见经传的小将纷纷登上了冠军的宝座。,produce an unexpected winner
40124,1,裤腰带,kù yāo dài,,,名,系（jì）在腰间固定裤子的带子,裤腰带松了｜他系裤腰带,waistband
40125,1,螺丝钉,luó sī dīng,,,名,螺钉,螺丝钉掉了｜拧紧螺丝钉,screw
40129,1,书记员,shū jì yuán,,,名,法院、检察院内担任记录并办理其他有关事项的人员,书记员在记录｜书记员工作忙,court clerk
40130,1,横行霸道,héng xíng bà dào,,,形,形容仗势胡作非为，蛮横不讲理,他横行霸道｜横行霸道惹人厌,tyrannical
40131,1,火上浇油,huǒ shàng jiāo yóu,,,,比喻激化矛盾或使态势、情绪更加恶化,你别火上浇油｜火上浇油更糟,add fuel to the fire
40132,1,有名无实,yǒu míng wú shí,,,,指只有虚名，没有相应的实际内容（权限、本领等）,他有名无实｜有名无实没用,in name but not in reality
40133,1,忙里偷闲,máng lǐ tōu xián,,,,在繁忙中挤出一点儿空闲时间。,他忙里偷闲｜忙里偷闲休息,snatch a little leisure from a busy life
40134,1,如梦初醒,rú mèng chū xǐng,,,,比喻在某人某事启发教育下，刚刚明白过来,他如梦初醒｜如梦初醒明白了,like awakening from a dream
40138,1,宵夜,xiāo yè,,,名,夜宵,吃宵夜,midnight snack
40138,2,宵夜,xiāo yè,,,名,〈文〉夜间,宵夜时分｜宵夜很安静,night
40140,1,银铃,yín líng,,,名,银制的铃铛；比喻清脆的声音,用银铃作装饰｜银铃般的笑声,silver bell
40143,1,温厚,wēn hòu,,,形,温和宽厚,态度温厚,gentle and kind
40144,1,引航,yǐn háng,,,动,由熟悉航道的人员引领（或代驾驶）船只进出港口或通过江河、内海的特殊水域。旧称引水。,船长在引航｜引航很关键,pilot
