rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
50001,1,诘难,jié nàn,,,动,责问；责难,遭人诘难,interrogate and blame
50003,1,肺叶,fèi yè,,,名,人和高等动物的肺表面有深长的裂沟，把肺分为若干部分，每一部分就是一个肺叶。人的左肺有两叶，右肺有三叶,他的左肺叶有些感染｜医生正在检查他的肺叶,lung lobe
50004,1,手慢,shǒu màn,,,形,形容动作迟缓或做事缓慢,他手慢总是赶不上公交车｜别手慢了，快点儿行动,slow-handed
50005,1,寻摸,xún mo,,,动,寻求；设法弄到,寻摸几幅好画｜帮我寻摸点儿吃的来。,seek
50006,1,挑唆,tiǎo suō,,,动,挑拨煽动；唆使,受坏人挑唆,instigate
50007,1,磺胺,huáng àn,,,名,一种有机化合物的简称。白色颗粒或粉末状晶体。可制消炎药,医生开了磺胺给他消炎｜这种磺胺药效果很好,sulfanilamide
50009,1,饮马,yìn mǎ,,,动,给马喝水,士兵们正在河边饮马｜他每天都要饮马两次,water a horse
50011,1,诏令,zhào lìng,,,名,皇帝发布的命令,皇帝颁布了新的诏令｜这份诏令必须立即执行,imperial edict
50011,2,诏令,zhào lìng,,,动,皇帝发布命令,诏令天下,issue an imperial edict
50012,1,隐逸,yǐn yì,,,动,隐居避世,隐逸山林,live in seclusion
50012,2,隐逸,yǐn yì,,,名,隐居的人,山野隐逸，海滨遗老。,recluse
50013,1,柔肠,róu cháng,,,名,柔软的心肠；比喻温柔缠绵的情意,柔肠似水｜柔肠寸断,tender heart
50014,1,持论,chí lùn,,,动,立论；抱有某种观点,持论有据,hold a view
50017,1,攻擂,gōng lèi,,,动,原指登上擂台与擂主比武；现多指在体育或其他比赛中应战,今晚他将攻擂卫冕冠军｜这位选手准备攻擂夺冠,challenge the champion
50018,1,加刑,jiā xíng,,,动,加重刑罚,给越狱逃犯加刑,increase punishment
50023,1,包皮,bāo pí,,,名,特指阴茎前部包着龟头的外皮,医生建议他做包皮手术｜包皮过长需要及时治疗,foreskin
50023,2,包皮,bāo pí,,,名,包装的外皮,这个礼品的包皮很精美｜撕开包皮就能看到产品,wrapper
50030,1,肾结石,shèn jié shí,,,名,泌尿系统疾病，因代谢失常，尿中盐类沉积，生成结石而致。主要症状有剧痛、血尿等,他因肾结石疼痛难忍｜多喝水可以预防肾结石,kidney stone
50033,1,臭豆腐,chòu dòu fu,,,名,一种佐餐食品。用豆腐作坯，经过发酵、腌制而成，有特殊的气味,街边有卖臭豆腐的小摊｜臭豆腐闻着臭吃着香,stinky tofu
50035,1,比基尼,bǐ jī ní,,,名,英语[bikini]音译。指一种由小三角裤和胸罩组成的女子泳装。,她穿了一件漂亮的比基尼去海滩。｜这件比基尼的颜色很鲜艳。,bikini
50036,1,断裂带,duàn liè dài,,,名,地层因受地质应力作用而连续出现一条或多条断层错位且断层两侧岩块破碎的地带,这个地区位于地震断裂带｜断裂带附近很危险,fault zone
50037,1,闪电战,shǎn diàn zhàn,,,名,用大量快速机动兵力和精锐武器突然实施猛烈袭击，以图迅速摧毁对方的作战方法,德军采用闪电战突袭波兰｜这场闪电战十分成功,blitzkrieg
50038,1,打算盘,dǎ suàn pan,,,,盘算；打主意,处处打算盘为公家省钱。,calculate
50038,2,打算盘,dǎ suàn pan,,,,拨打算盘珠子计算,爷爷还在用手打算盘｜他打算盘的速度很快,use an abacus
50039,1,转播台,zhuǎn bō tái,,,名,不自制节目只从事转播的电视台,这个转播台信号很清晰｜转播台不制作节目,relay station
50041,1,柿子椒,shì zi jiāo,,,名,一种辣椒，果实形状像柿子，略带甜味，是普通蔬菜,妈妈用柿子椒炒肉片｜柿子椒不怎么辣,bell pepper
50043,1,解放鞋,jiě fàng xié,,,名,解放军战士穿的一种橡胶底、军绿色帆布面的系带鞋,爷爷还留着解放鞋｜解放鞋很耐穿,liberation shoes
50044,1,落叶松,luò yè sōng,,,名,落叶乔木，叶柔软，长针形，果实卵圆形，表面有鳞片，种子上端有翅。木材坚实，可作枕木、桥梁等用材,这片落叶松长势很好｜落叶松木材很坚实,larch
50045,1,螺旋藻,luó xuán zǎo,,,名,一种蓝藻，呈螺旋状。富含蛋白质、碳水化合物、脂肪、维生素以及微量元素等，为保健食品,她每天吃螺旋藻保健｜螺旋藻营养很丰富,spirulina
50046,1,卷铺盖,juǎn pū gai,,,,把被褥等卷起来准备离开。借指被解雇或辞职,他因表现不好卷铺盖了｜她决定卷铺盖辞职,pack up and leave
50047,1,排练场,pái liàn chǎng,,,名,用来排练体操、舞蹈、戏曲等的场地,舞蹈队在排练场练习｜排练场设备很齐全,rehearsal space
50048,1,丝丝入扣,sī sī rù kòu,,,,织布时，每条经线都丝毫不差地从筘齿通过（扣：筘，织布机上像梳子的机件）；比喻做得十分细致准确,她的表演丝丝入扣｜这篇文章写得丝丝入扣,meticulous
50054,1,处之泰然,chǔ zhī tài rán,,,形,形容遇到困难或危急情况时能沉着镇定；也指对事情无动于衷,临危不惧，处之泰然｜人家急得要命，他却处之泰然。,composed
50058,1,人仰马翻,rén yǎng mǎ fān,,,,人马都被打翻在地。形容狼狈不堪或乱成一团,现场搞得人仰马翻｜敌军被人打得人仰马翻,thrown into confusion
50059,1,舞文弄墨,wǔ wén nòng mò,,,,旧指歪曲法律条文营私作弊；后泛指玩弄文辞,他就喜欢舞文弄墨｜别整天舞文弄墨了,play with words
50062,1,言归于好,yán guī yú hǎo,,,,重新和好,他们终于言归于好｜希望你们能言归于好,make up
50064,1,大腹便便,dà fù pián pián,,,形,形容人肥胖，肚子大（含贬义）,他大腹便便地走来｜大腹便便的他走得很慢,potbellied
50065,1,矫枉过正,jiǎo wǎng guò zhèng,,,,矫正弯曲的东西，做过了头，又弯向另一面。比喻纠正偏差超过了应有限度,这样做是矫枉过正｜纠正错误不要矫枉过正,overcorrect
50066,1,老气横秋,lǎo qì héng qiū,,,,原形容老练而自负的神态。现多形容暮气沉沉、缺乏朝气的样子,他年纪轻轻却老气横秋｜别这么老气横秋的,lacking in youthful spirit
50068,1,滚瓜烂熟,gǔn guā làn shú,,,形,形容记得非常牢固，念得或背得非常流利,课文他背得滚瓜烂熟｜这首诗我念得滚瓜烂熟,fluently memorized
50069,1,滥竽充数,làn yú chōng shù,,,,《韩非子·内储说上》记载：齐宣王喜欢听吹竽（古代一种竹制吹奏乐器），让三百人一齐吹奏。南郭先生本不会吹竽，也混在里面充数。后用“滥竽充数”比喻没有本事的人混在有真才实学的人里面充数，或以次充好。有时也用作谦词,他是在滥竽充数｜我们不能滥竽充数,pass oneself off as one of the players in an ensemble
50070,1,同室操戈,tóng shì cāo gē,,,,自家人动起刀枪来。原指兄弟相残；现多指内部争斗,兄弟同室操戈真可悲｜避免同室操戈很重要,internal strife
50071,1,刑事判决,xíng shì pàn jué,,,,法院就被告人是否犯罪、应否处刑、如何处刑所作的决定,法院作出了刑事判决｜刑事判决已经生效,criminal judgment
50074,1,预展,yù zhǎn,,,动,正式展出前预先试展,预展3天,preview exhibition
50075,1,异端邪说,yì duān xié shuō,,,,泛指与正统思想对立的或有危害的主张、学说,这纯属异端邪说｜不要相信异端邪说,heresy
50076,1,何首乌,hé shǒu wū,,,名,多年生草本植物，地上茎细长，能缠绕物体，叶子互生，秋天开白花，根茎块状。地上茎和根茎都可以做药材,何首乌可以入药｜她买了些何首乌,fleeceflower root
50080,1,不睦,bù mù,,,形,不和睦,关系不睦,discordant
50081,1,漫灌,màn guàn,,,动,粗放的灌溉方法，即不筑畦埝，让水顺着地势自然流淌,这块田采用漫灌方式｜漫灌比较浪费水,flood irrigation
50081,2,漫灌,màn guàn,,,动,洪水流入（低洼地区）,县城曾两次被洪水漫灌。,inundate
50083,1,敬奉,jìng fèng,,,动,恭敬地供奉,敬奉神佛,reverently worship
50083,2,敬奉,jìng fèng,,,动,恭敬地进献,敬奉薄礼,respectfully offer
50085,1,寥落,liáo luò,,,形,稀少零落,晨星寥落,sparse
50085,2,寥落,liáo luò,,,形,沉寂冷落,深夜，独步在寥落的小街上。,desolate
50087,1,无霜期,wú shuāng qī,,,名,指一个地区一年中从终霜后到初霜前的天数，是植物最有利的生长期,这里的无霜期很长｜无霜期影响作物生长,frost-free period
50088,1,工价,gōng jià,,,名,指在工程建筑或产品制造中用于人工上的费用,装修行业的工价一般偏高。,labor cost
50089,1,枯荣,kū róng,,,形,枯萎与茂盛；衰败和发达,一岁一枯荣｜枯荣相关,withered and flourishing
50091,1,砖雕,zhuān diāo,,,名,在砖上雕刻造型的工艺或作品,这座建筑的砖雕很精美｜他在学习砖雕技艺,brick carving
50092,1,进益,jìn yì,,,名,进项,今年进益不错｜没什么进益,income
50092,2,进益,jìn yì,,,名,指学识、修养的提高,学识大有进益,improvement in knowledge
50093,1,曼舞,màn wǔ,,,动,轻盈柔美地起舞或飞舞,轻歌曼舞｜曼舞婆娑,dance gracefully
50094,1,病况,bìng kuàng,,,名,病情,他的病况好转了｜医生在询问病况,condition of an illness
50096,1,画板,huà bǎn,,,名,作画时垫在画纸下面的板子,他买了新的画板｜画板是绘画必备的,drawing board
50098,1,昼伏夜出,zhòu fú yè chū,,,,白天潜伏起来，黑夜出来活动（伏：躲藏）,这种动物昼伏夜出｜他习惯昼伏夜出,hide by day and come out by night
50099,1,增温,zēng wēn,,,动,提高温度,大棚内需要增温,increase temperature
50102,1,撒落,sǎ luò,,,动,散着掉下（多用于固体）,米粒撒落一地｜小心别让豆子撒落,spill
50103,1,路规,lù guī,,,名,铁路、公路等交通部门有关客运、货运等的规章制度,要遵守路规｜路规必须严格执行,road regulations
50105,1,竖直,shù zhí,,,形,直立向上的,顺着竖直的烟囱向上爬。,vertical
50105,2,竖直,shù zhí,,,动,使垂直,请把旗杆竖直｜竖直放置这个瓶子,make vertical
50106,1,风凉话,fēng liáng huà,,,名,冷言冷语,自己不干，还在旁边说风凉话。,sarcastic remarks
50107,1,肠梗阻,cháng gěng zǔ,,,名,一种肠道疾病，指肠腔阻塞，进入肠内的东西不能向下移动。主要症状有腹部剧烈疼痛、呕吐、不能排便排气等,他得了肠梗阻｜肠梗阻需要手术,intestinal obstruction
50108,1,屡禁不绝,lǚ jìn bù jué,,,,多次禁止，仍未杜绝,这种现象屡禁不绝｜赌博屡禁不绝,repeatedly banned but not eradicated
50113,1,九族,jiǔ zú,,,名,九代直系亲属。除自身外，上及父、祖父、曾祖父、高祖父，下及子、孙、曾孙、玄孙（一说包括异姓亲属，父族四代，母族三代，妻族两代，合为九族）,古代株连九族｜九族包括上下五代,nine degrees of kinship
50114,1,怒涛,nù tāo,,,名,汹涌的浪涛,海上掀起了怒涛,raging waves
