rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
35001,1,风势,fēng shì,,,名,风的势头,风势变化不大,wind force
35001,2,风势,fēng shì,,,名,比喻事物发展变化的情势,看不准风势，他不会贸然行动。,trend of events
35005,1,晨星,chén xīng,,,名,清晨尚未消失的星,天边还挂着几颗晨星｜晨星在黎明前闪烁,morning star
35005,2,晨星,chén xīng,,,名,日出前在东方出现的金星和水星,晨星在东方格外明亮｜晨星与朝霞相映成趣,Venus and Mercury before sunrise
35006,1,小儿麻痹症,xiǎo ér má bì zhèng,,,,脊髓灰质炎的通称,小儿麻痹症需要及时治疗｜他小时候得过小儿麻痹症,poliomyelitis
35007,1,余缺,yú quē,,,名,多余的和欠缺的,余缺互补,surplus and deficit
35007,2,余缺,yú quē,,,名,编制之内空缺的名额,填补余缺,vacant positions within establishment
35009,1,俏皮话,qiào pi huà,,,名,风趣幽默或有嘲讽意味的话,他爱说俏皮话逗乐儿｜遇到看不惯的事，他常会说上几句俏皮话。,witty or sarcastic remark
35009,2,俏皮话,qiào pi huà,,,名,特指歇后语,他最爱说俏皮话｜这句俏皮话真有意思,two-part allegorical saying
35010,1,立式,lì shì,,,形,物体的长度和宽度都小于高度样式的（跟“卧式”相区别）,立式衣柜｜立式锅炉,vertical (as opposed to horizontal)
35010,2,立式,lì shì,,,形,站立着的,立式射击,standing upright
35011,1,军饷,jūn xiǎng,,,名,军人的给养和薪金,军饷按时发放很重要｜军饷不足影响士气,military provisions and pay
35014,1,月子,yuè zi,,,名,妇女生育后的第一个月,她正在月子里,first month after childbirth
35014,2,月子,yuè zi,,,名,产妇分娩期,她的月子是五月底。,confinement period
35015,1,底本,dǐ běn,,,名,校勘、翻译、刊印以及抄写所依据的本子,照着底本校对,master copy for proofreading/translation
35015,2,底本,dǐ běn,,,名,留底儿的稿本,这部书的底本至今保存完好,file copy
35015,3,底本,dǐ běn,,,名,做生意的本钱,小店底本有限，恕不赊欠,business capital
35017,1,街灯,jiē dēng,,,名,街道上的路灯,街灯照亮了夜路｜街灯下人影摇曳,street lamp
35018,1,卸车,xiè chē,,,动,从车上卸下装运的东西,工人们正在卸车｜卸车要小心轻放,unload goods from vehicle
35018,2,卸车,xiè chē,,,动,把拉车的牲口从车上解（jiě）开来,卸车后要喂马休息｜卸车时先解开缰绳,unharness draft animal from cart
35020,1,特快专递,tè kuài zhuān dì,,,,邮政特快专递的简称,特快专递明天就到｜寄特快专递比较贵,express mail service
35021,1,不欢而散,bù huān ér sàn,,,,不高兴地分手,二人言语不合，闹得不欢而散。,part on bad terms
35023,1,远走高飞,yuǎn zǒu gāo fēi,,,,向远处跑，往高处飞。形容到很远的地方去,他决定远走高飞｜鸟儿远走高飞了,go far away to higher places
35024,1,在所不惜,zài suǒ bù xī,,,,指决不吝惜,为了理想在所不惜｜他花钱在所不惜,spare no expense
35025,1,保险箱,bǎo xiǎn xiāng,,,名,形状像箱子的小型保险柜,重要文件放保险箱｜保险箱很沉重,safe (box-shaped)
35025,2,保险箱,bǎo xiǎn xiāng,,,名,比喻安全可靠、无风险的地方,这里不是保险箱｜别把公司当保险箱,secure place
35027,1,拦路虎,lán lù hǔ,,,名,原比喻拦路抢劫的强盗；现多比喻遇到的困难、障碍等,数学成了他的拦路虎｜遇到拦路虎别放弃,obstacle or hindrance
35029,1,小老婆,xiǎo lǎo po,,,名,妾；姨太太,她不愿做小老婆｜旧时富人家有小老婆,concubine
35030,1,转角,zhuǎn jiǎo,,,名,街巷等拐弯的地方,转角有家咖啡店｜在转角处相遇,street corner
35032,1,醇厚,chún hòu,,,形,（味道）纯正浓厚,这酒味道醇厚｜茶香醇厚可口,mellow (flavor)
35034,1,脱轨,tuō guǐ,,,动,车轮离开轨道；比喻言行越出常规,加强自律，谨防行为脱轨。,derail
35035,1,吊装,diào zhuāng,,,动,建筑工程中把预制构件吊起来安装在预定的位置上,吊装需要专业设备｜工人在吊装钢梁,hoist and install
35037,1,万全,wàn quán,,,形,形容（计划、办法等）十分周密稳妥,没有万全之策,perfectly sound (plan/method)
35039,1,口风,kǒu fēng,,,名,从话语中透露出来的信息,事先一点儿口风也没露。,one's intention as revealed in speech
35040,1,训话,xùn huà,,,动,上级对下属发表教导或告诫性的言辞,校长训话,give instructions to subordinates
35041,1,类同,lèi tóng,,,动,大致相同,图案类同｜手法类同,similar
35043,1,命相,mìng xiàng,,,名,迷信指能够显示人的命运的相貌特征；也指生辰八字,老人爱看命相｜命相之说不可信,fate as read from facial features
35046,1,去职,qù zhí,,,动,离开原来的职位,因病去职,leave one's post
35048,1,裙带,qún dài,,,名,系裙子的带子；比喻姻亲关系（含贬义）,靠裙带关系当了个部门经理。,petticoat string
35049,1,粗粮,cū liáng,,,名,一般指大米、白面以外的食粮，如玉米、高粱、小米等,粗粮细做,coarse grains
35050,1,抱病,bào bìng,,,动,带着病,抱病指挥战斗,be ill
35054,1,银耳,yín ěr,,,名,真菌的一种。白色，半透明，富含胶质。可食用，也可以做药材,银耳汤很滋补｜银耳要提前泡发,tremella (edible fungus)
35056,1,旧业,jiù yè,,,名,原先的职业,重操旧业,former occupation
35056,2,旧业,jiù yè,,,名,旧日的家业,重整旧业,family fortune of old
35058,1,担惊受怕,dān jīng shòu pà,,,,承受惊吓恐惧,她整天担惊受怕｜别再让我担惊受怕,be in a state of anxiety
35062,1,利己主义,lì jǐ zhǔ yì,,,,把个人利益放在首位，不顾他人或集体利益的思想,利己主义要不得｜反对极端利己主义,egoism
35064,1,癖好,pǐ hào,,,名,长期形成的对某种事物特殊而强烈的爱好,除了读书，别无癖好。,addiction (to something)
35066,1,花心,huā xīn,,,形,形容对爱情不专一,这小子太花心,unfaithful (in love)
35066,2,花心,huā xīn,,,名,指对爱情不专一的心思,她不相信丈夫有花心。,unfaithful heart
35069,1,立体声,lì tǐ shēng,,,名,使人感到声源分布在整个空间的声音。立体声效果是通过适当组合和安排传声器、放大系统和扬声器而产生的,立体声音效很棒｜这是立体声耳机,stereophonic sound
