rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
15001,1,老式,lǎo shì,,,形,样式陈旧的,老式汽车,old-style
15002,1,眺望,tiào wàng,,,动,从高处远望,站在景山上眺望全城夜景。,gaze into the distance
15003,1,跨度,kuà dù,,,名,桥梁、屋顶、桁架等跨越空间的大小；也指构件支撑点之间的距离,这座桥的跨度很大｜屋顶的跨度决定了室内空间,span
15003,2,跨度,kuà dù,,,名,指时间距离,年龄跨度,time span
15004,1,飞越,fēi yuè,,,动,飞着从空中越过,飞越地中海｜跳高运动员飞越横竿。,fly over
15005,1,还贷,huán dài,,,动,偿还贷款,他每月按时还贷｜还贷压力让他很焦虑,repay a loan
15008,1,前例,qián lì,,,名,先前发生的同类事例,有前例可循｜史无前例,precedent
15009,1,三轮车,sān lún chē,,,名,有三个轮子的脚踏车，装有车厢或平板，可以载人、载物,爷爷骑着三轮车买菜｜这辆三轮车能载很多货物,tricycle
15010,1,德行,dé xíng,,,名,道德品行,德行高尚,moral character
15011,1,松树,sōng shù,,,名,【松】松树，一般为常绿乔木。树皮多为鳞片状，常有树脂，叶子针形，果实球形、卵形或圆柱形。种类很多，常见的有马尾松、油松、黑松、白皮松等。木材用途广，树脂可供医药和工业用，松子可榨油或食用,山上有许多松树｜松树的叶子是针形的,pine tree
15012,1,拜金,bài jīn,,,动,崇拜金钱,拜金主义｜拜金思想依然在某些人头脑中作怪,worship money
15013,1,倔强,jué jiàng,,,形,性情刚强而又固执,小伙子太倔强,stubborn
15014,1,深为,shēn wéi,,,副,表示程度很深,深为感动,deeply
15015,1,辉映,huī yìng,,,动,照射；映照,霞光辉映着白云｜湖光山色交相辉映。,shine upon
15016,1,先决,xiān jué,,,形,处理某事之前必须首先解决或具备的,先决条件｜先决因素,prerequisite
15017,1,静悄悄,jìng qiāo qiāo,,,形,形容很安静，没有任何声响,偌大的操场静悄悄的，没有一个人。,very quiet
15018,1,扶助,fú zhù,,,动,扶持帮助,扶助贫困户,assist
15019,1,无价,wú jià,,,形,价值高得无法衡量。形容极为珍贵（跟“有价”相对）,无价之宝｜情义无价,priceless
15020,1,天日,tiān rì,,,名,比喻正义、光明,暗无天日,justice and light
15020,2,天日,tiān rì,,,名,天空和太阳；有时也指太阳,阴雨连绵，不见天日。,sky and sun
15020,3,天日,tiān rì,,,名,日子；一定的时间,完成这项工作，恐怕得（děi）些天日。,days
15021,1,比作,bǐ zuò,,,动,把某人或某事物比方成另外的人或事物,她被比作《红楼梦》里的王熙凤。,compare to
15022,1,相辅相成,xiāng fǔ xiāng chéng,,,,互相辅助，互相促成,努力和天赋相辅相成｜这两个因素相辅相成,complement each other
15023,1,荒漠化,huāng mò huà,,,动,指因气候变异和人类活动等因素造成大片土地退化，变成荒漠,过量放牧导致草原荒漠化。,desertification
15024,1,导出,dǎo chū,,,动,推导出来,导出一个结论,derive
15025,1,审结,shěn jié,,,动,审理结案,此案已经审结,conclude a trial
15026,1,下沉,xià chén,,,动,在水中下降,船体逐渐下沉,sink
15026,2,下沉,xià chén,,,动,地面、建筑物等从正常位置往下降,路面下沉,subside
15027,1,捆绑,kǔn bǎng,,,动,捆；绑（多用于人）,解救被捆绑的人质。,bind
15028,1,时限,shí xiàn,,,名,完成某项工作的时间限制；期限,工程的时限太紧｜合同的时限已到,time limit
15029,1,高音,gāo yīn,,,名,频率高的音,女高音｜高音喇叭,high pitch
