rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
55001,1,开颜,kāi yán,,,动,脸上露出高兴的神情,听到好消息，他顿时开颜。｜胜利的消息让众人开颜。,to beam with joy
55002,1,两清,liǎng qīng,,,动,借贷或买卖双方债务债权或钱款货物已结清,这笔账我们已经两清了。｜买卖双方钱货两清。,to settle accounts
55003,1,赏鉴,shǎng jiàn,,,动,鉴赏,他擅长赏鉴古代书画。｜请专家赏鉴这件瓷器。,to appreciate
55004,1,后嗣,hòu sì,,,名,子孙,他虽然没有后嗣，但在敬老院里一样活得舒坦。,descendants
55006,1,坑骗,kēng piàn,,,动,用欺诈手段使人上当受骗,坑骗无知少女｜他被不法分子坑骗了。,to swindle
55007,1,秤杆,chèng gǎn,,,名,杆秤的主要组成部分，多用木杆或金属杆做成，上面镶有秤星,秤杆上的刻度很清晰。｜他用秤杆称了重量。,steelyard arm
55009,1,租价,zū jià,,,名,租赁的价格,这套房子的租价很合理。｜租价上涨了不少。,rental price
55011,1,树敌,shù dí,,,动,跟别人结怨，使成为自己的敌人,锋芒毕露，树敌过多｜自以为是，到处树敌。,to make enemies
55014,1,纸型,zhǐ xíng,,,名,铅字印刷时浇铸铅版的纸质模子。用特制的纸在排好的铅版上压制而成,纸型用于制作铅版。｜印刷厂需要纸型。,paper matrix
55015,1,粉黛,fěn dài,,,名,借指美女,粉黛云集,beauties
55015,2,粉黛,fěn dài,,,名,妇女搽脸的白粉和描眉的青黑色颜料,薄施粉黛,face powder and eyebrow pigment
55016,1,保票,bǎo piào,,,名,包票,我敢打保票他会来。｜他为我打了保票。,guarantee
55020,1,怪模怪样,guài mú guài yàng,,,,模样、形态奇怪（含贬义）,她打扮得怪模怪样的，不像个正派人。,grotesque in appearance
55021,1,新婚燕尔,xīn hūn yàn ěr,,,,刚结婚安乐、美满（燕：通“宴”，安乐；尔：文言虚词，多用在形容词后，表示情态）。现多作为对新婚者的贺词,新婚燕尔，他们很幸福。｜祝你们新婚燕尔快乐。,newlyweds in bliss
55025,1,一鳞半爪,yī lín bàn zhǎo,,,,原指龙在云中，东露一鳞，西露半爪，使人难见全貌。比喻事物的零星片断,我只知道一鳞半爪。｜故事只剩一鳞半爪。,fragments
55028,1,初露头角,chū lù tóu jiǎo,,,,初露锋芒,他在比赛中初露头角。｜这位新人初露头角。,to begin to show talent
55030,1,为富不仁,wéi fù bù rén,,,,《孟子·滕文公上》：“为富不仁矣，为仁不富矣。”后用“为富不仁”指靠不正当手段发财的人是不会讲仁义的,为富不仁者遭人唾弃。｜他为人为富不仁。,be rich and cruel
55031,1,搔首弄姿,sāo shǒu nòng zī,,,形,形容故作姿态，卖弄风情,她总是搔首弄姿。｜搔首弄姿的样子很做作。,coquettish
55032,1,非亲非故,fēi qīn fēi gù,,,,既不是亲属，也不是老朋友（故：老朋友）。指彼此没有关系,我们非亲非故。｜他们非亲非故却相助。,neither relative nor friend
55033,1,穷则思变,qióng zé sī biàn,,,,指人到了极端艰难困苦、无路可走的时候，就会被迫寻求出路，力求改变现状,穷则思变，他努力创业。｜困境中他穷则思变。,poverty gives rise to desire for change
