rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
20001,1,始祖,shǐ zǔ,,,名,有史料可考的最早的祖先,他是我们家族的始祖｜这位始祖开创了我们的家族传统,earliest ancestor
20001,2,始祖,shǐ zǔ,,,名,指首创某种学术、技艺或宗教的人,释迦牟尼是佛教的始祖。,founder
20001,3,始祖,shǐ zǔ,,,形,最初的；原始的,始祖鸟｜始祖文化,primitive
20002,1,愈合,yù hé,,,动,疮口或伤口长好,伤口很快就愈合了｜他的伤口正在慢慢愈合,heal
20003,1,和局,hé jú,,,名,（下棋、赛球等）分不出输赢的结局,下成了和局｜以和局结束,draw
20004,1,沉稳,chén wěn,,,形,沉着稳重,办事沉稳｜沉稳持重,steady
20004,2,沉稳,chén wěn,,,形,安稳踏实,作风沉稳,stable
20006,1,空气污染,kōng qì wū rǎn,,,,大气污染,城市空气污染很严重｜空气污染影响健康,air pollution
20007,1,亲历,qīn lì,,,动,亲自经历,亲历其事,personally experience
20008,1,住址,zhù zhǐ,,,名,居住的地址。包括所在的城镇、乡村、街道的名称和门牌号码,请填写你的住址｜这个住址是正确的吗,address
20010,1,剔除,tī chú,,,动,把不好的或不合适的东西去掉,剔除糟粕｜把筐里的烂梨剔除干净,remove
20011,1,边城,biān chéng,,,名,临近国界的或边远的城市,这座边城风景很美｜边城的生活很宁静,border town
20012,1,初春,chū chūn,,,名,早春；春季的第一个月，即农历正月,初春的天气还很冷｜初春时节百花盛开,early spring
20013,1,典当,diǎn dàng,,,动,用物品作抵押，向当铺借高利率的钱。按约定的抵押期限，付本金和利息赎回抵押品。到期无力还钱，抵押品归当铺所有,他典当了手表换钱｜这件首饰可以典当,pawn
20014,1,浩然,hào rán,,,形,刚正豪迈,浩然之气,noble and bold
20014,2,浩然,hào rán,,,形,盛大广阔,水势浩然,vast
20015,1,违犯,wéi fàn,,,动,违背和触犯（法律、法规等）,违犯治安管理条例｜违犯禁令,violate
20016,1,降生,jiàng shēng,,,动,出世；出生（一般指宗教创始人等非凡人物）,耶稣降生,be born
20019,1,三部曲,sān bù qǔ,,,名,指内容相对独立又互有联系的三部文学作品，如巴金的《家》《春》《秋》称为“激流三部曲”；也比喻有内在联系的三件事或者事情发展的三个阶段,这是他的文学三部曲｜人生有三部曲,trilogy
20020,1,修道院,xiū dào yuàn,,,名,天主教和东正教等教徒出家隐居修行的机构。在天主教会中也指培养神职人员的宗教学校,这座修道院很古老｜她在修道院修行,monastery
20023,1,相映,xiāng yìng,,,动,互相映衬或衬托,珠联璧合，相映生辉｜相映成趣,set each other off
20024,1,后撤,hòu chè,,,动,向后撤退；从前边撤回,后撤30公里｜部队要立即后撤,retreat
20025,1,邪说,xié shuō,,,名,荒谬有害的言论或理论,歪理邪说,heresy
20026,1,沼气,zhǎo qì,,,名,植物茎叶、粪便或垃圾在隔绝空气的条件下经过微生物的分解作用而产生的气体，主要成分是甲烷。可作燃料或化工原料,沼气可以用来做饭｜沼气是一种清洁能源,marsh gas
20027,1,周身,zhōu shēn,,,名,整个身体；全身,周身发痒,whole body
20029,1,酷似,kù sì,,,动,极其像,二人相貌酷似,closely resemble
20030,1,光闪闪,guāng shǎn shǎn,,,形,光芒闪射的样子,光闪闪的奖章,glittering
20032,1,至高无上,zhì gāo wú shàng,,,形,形容地位最高，没有能超过的,皇权是至高无上的｜他在公司至高无上,supreme
20033,1,肆无忌惮,sì wú jì dàn,,,,指肆意妄为，毫无顾忌（忌惮：顾忌，畏惧）,他肆无忌惮地大笑｜他们肆无忌惮地闹事,unscrupulous
20034,1,厢房,xiāng fáng,,,名,正房前面两侧的房屋,东厢房住着客人｜厢房里很安静,wing-room
20035,1,围坐,wéi zuò,,,动,围在四周坐,围坐在老师周围,sit around
20036,1,百十,bǎi shí,,,数,表示一百左右的约数,百十户人家｜百十里地,about a hundred
20037,1,举目,jǔ mù,,,动,抬头看；睁眼看,举目四望｜举目无亲,raise one's eyes
20038,1,风扇,fēng shàn,,,名,电风扇,电风扇在转动｜打开风扇凉快一下,electric fan
20038,2,风扇,fēng shàn,,,名,旧时夏天扇（shān）风取凉的器具，布制，一端吊在梁上，靠人力拉动生风,人力风扇很费力｜老式风扇需要拉绳,fan
20039,1,尾随,wěi suí,,,动,紧跟在后面,保镖尾随其后,tail
20040,1,胡闹,hú nào,,,动,胡乱打闹；无理取闹,要听从劝导，别在这里胡闹了。,act senselessly
20040,2,胡闹,hú nào,,,动,蛮干；乱来,自己不懂，偏要拆掉彩电重装，简直是胡闹。,mess around
20041,1,佛学,fó xué,,,名,研究、阐述佛教的学问,他研究佛学多年｜佛学很深奥,Buddhist studies
20042,1,见鬼,jiàn guǐ,,,形,比喻离奇古怪，不合事理,笔掉到地上就找不着了，真见鬼!,weird
20042,2,见鬼,jiàn guǐ,,,动,指死去或消亡,让这些丑恶现象见鬼去吧!,go to hell
20043,1,久违,jiǔ wéi,,,动,客套话，长时间没见面,久违了，一向可好?,long time no see
20044,1,下风,xià fēng,,,名,比喻劣势或不利的位置,客队处于下风,disadvantageous position
20044,2,下风,xià fēng,,,名,风吹去的方向,站在下风处很冷｜烟往下风方向飘,downwind
