rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
1,1,中国,zhōng guó,,,名,古代汉民族所居住的黄河中下游地区；后专指我国所统辖的全部国土；今为中华人民共和国的简称,中国是一个伟大的国家｜中国的文化源远流长,China; the middle kingdom; ancient Han ethnic settlement area in the Yellow River's middle-lower reaches; now refers specifically to the entire territory under China's jurisdiction; short for the People's Republic of China
1,2,中国,zhōng guó,,,名,古代指京师,古代中国指京师地区｜中国曾是帝王居住之地,China; the central state; ancient term for the capital
2,1,发展,fā zhǎn,,,动,事物由小到大、由简单到复杂、由低级到高级不断演变,小企业发展成了跨国公司。,"develop; to evolve from small to large, simple to complex, low-level to high-level"
2,2,发展,fā zhǎn,,,动,吸纳新成员，使组织的规模扩充,发展党员,"develop; to recruit new members, expand an organization's scale"
3,1,经济,jīng jì,,,名,指国民经济；也指国民经济的某一部门,发展经济｜经济学｜农业经济,economy; national economy; also refers to a specific sector of the national economy
3,2,经济,jīng jì,,,名,指个人的收支情况,家庭经济状况良好｜他经济上并不宽裕。,economy; personal financial situation
3,3,经济,jīng jì,,,形,形容耗费少而收益大；价格便宜,为这个项目投入那么多资金，很不经济｜大众饭菜经济实惠。,economical; describing low cost with high returns; inexpensive
3,4,经济,jīng jì,,,名,指经济活动，包括生产、流通、分配和消费以及金融、保险等活动或过程,经济发展迅速｜关注经济形势,"economy; economic activities including production, circulation, distribution, consumption, finance, insurance, etc."
3,5,经济,jīng jì,,,名,一定历史时期社会生产关系的总和。是政治和思想意识等上层建筑的基础,经济基础决定上层建筑｜经济是社会的基础,economy; the sum total of social production relations in a certain historical period; foundation of political and ideological superstructure
3,6,经济,jīng jì,,,动,〈文〉经世济民，治理国家,他立志经济天下｜古人讲究经济之道,manage state affairs; to govern the country and benefit the people
4,1,我们,wǒ men,,,代,“我”的复数形式，称包括自己在内的若干人,我们一起去公园｜我们热爱学习,"we; plural form of ""I"", referring to oneself and others"
4,2,我们,wǒ men,,,代,指“我”，含委婉语气，多用于报告或论文中,这就是我们要提出的问题。,"we; refers to ""I"", conveying a modest tone, often used in reports or academic papers"
4,3,我们,wǒ men,,,代,指“你们”或“你”，含亲切意味,同志们，我们一定要注意安全。,"we; refers to ""you"" or ""yours"", conveying intimacy"
4,4,我们,wǒ men,,,代,指“我”，含有亲昵色彩，用于口语,我们那口子挺会心疼人的。,"we; refers to ""I"", conveying affection, used in colloquial speech"
