rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
45002,1,导热,dǎo rè,,,动,热能从温度高的部分传到温度低的部分,金属具有良好的导热性能｜这种材料导热性很差,conduct heat
45003,1,喜不自禁,xǐ bù zì jīn,,,,高兴得控制不住自己（禁：承受，忍受）,听到这个好消息，他喜不自禁｜看到孩子获奖，妈妈喜不自禁,unable to contain joy
45006,1,黑瘦,hēi shòu,,,形,又黑又瘦,战士们从抗洪前线归来，一个个黑瘦黑瘦的。,dark and thin
45007,1,乌梅,wū méi,,,名,经过干燥后熏制而成的外表呈黑褐色的青梅，可以做药材,乌梅可以泡水喝｜中药方里常加入乌梅,smoked plum
45009,1,对口相声,duì kǒu xiàng sheng,,,,由两个演员表演的相声，是相声的主要形式。一人逗哏，一人捧哏,他们表演的对口相声很精彩｜这场对口相声逗得观众大笑,cross-talk duet
45011,1,理所应当,lǐ suǒ yīng dāng,,,,理所当然,帮助老人是理所应当的｜子女赡养父母理所应当,as a matter of course
45012,1,晚育,wǎn yù,,,动,婚后推迟几年生育,现代人普遍选择晚育｜政策鼓励适龄晚育,late childbirth
45013,1,公休,gōng xiū,,,动,在国家法定节假日休假,公休日,take a public holiday
45014,1,呼哧,hū chī,,,拟声,模拟喘气的声音,累得呼哧呼哧直喘气。,puffing sound
45017,1,皮囊,pí náng,,,名,皮制的口袋；比喻人的躯体（多用于贬义）,徒有皮囊，毫无人性。,leather bag; (fig.) human body (often derogatory)
45020,1,车棚,chē péng,,,名,存放车辆的棚子,自行车停在车棚里｜新建的车棚很宽敞,bicycle shed
45021,1,戒除,jiè chú,,,动,改掉（不良的嗜好或习气）,戒除陋习,give up (bad habits)
45023,1,保藏,bǎo cáng,,,动,保存收藏,这件文物他整整保藏了40年。,preserve and collect
45024,1,花烛,huā zhú,,,名,旧俗结婚时洞房中点燃的饰有龙凤图案等的红烛,洞房里的花烛彻夜不熄｜传统婚礼要点花烛,bridal candles
45027,1,南辕北辙,nán yuán běi zhé,,,,要去南方，车子却往北赶。比喻行动和愿望完全相反,你的做法与目标南辕北辙｜想法和行动南辕北辙,head south by driving north; (fig.) act contrary to one's wishes
45028,1,高等动物,gāo děng dòng wù,,,,在动物学中一般指身体结构复杂、组织及器官分化显著并具有脊椎的动物。最狭义的高等动物专指哺乳动物,人类属于高等动物｜哺乳动物是高等动物,higher animals
45029,1,说来话长,shuō lái huà cháng,,,,说起来要用很多话。常用来表示事情比较复杂，只用三言两语说不清楚,这件事说来话长｜关于他的经历说来话长,it's a long story
45030,1,细枝末节,xì zhī mò jié,,,,细小的枝节。比喻无关紧要的小事,不必在意这些细枝末节｜他总关注细枝末节,minor details; trivial matters
45031,1,正儿八经,zhèng ér bā jīng,,,,正经八百,他是个正儿八经的医生｜正儿八经地谈事情,serious and proper
45034,1,扳手,bān shou,,,名,用来拧紧或旋松螺钉、螺母等的工具,用扳手拧紧螺丝｜工具箱里有把扳手,wrench
45034,2,扳手,bān shou,,,名,器具上供用手扳动的部分,阀门上的扳手坏了｜这个扳手很好用,lever (on a tool)
45036,1,纵横捭阖,zòng héng bǎi hé,,,,战国时策士游说国君的政治主张和策略（纵横：合纵和连横；捭阖：开与合）。现指政治上、外交上运用手段，进行联合或分化,他擅长纵横捭阖的外交手段｜纵横捭阖的政治策略,maneuver among various political groupings
45039,1,女眷,nǚ juàn,,,名,女性家属,车上坐的都是女眷。,female family members
45040,1,足金,zú jīn,,,名,成色十足的金子,这条项链是足金打造的｜足金首饰很保值,pure gold
45042,1,上唇,shàng chún,,,名,人或某些动物嘴边掩蔽上牙的肌肉组织,上唇有些干裂｜他的上唇很薄,upper lip
45046,1,设伏,shè fú,,,动,设下埋伏,军队在峡谷设伏｜警方设伏抓捕罪犯,lay an ambush
45047,1,明争暗斗,míng zhēng àn dòu,,,,公开和暗中都在相互争斗,公司内部明争暗斗｜他们明争暗斗多年,open strife and veiled struggle
45048,1,雪景,xuě jǐng,,,名,下雪或雪后的景致,山上的雪景很美｜拍摄冬日雪景,snow scene
45050,1,防暑,fáng shǔ,,,动,预防夏季高温的危害；预防中暑,防暑费｜防暑措施,prevent heatstroke
45052,1,闲居,xián jū,,,动,没有工作闲住在家,退休后在家闲居｜他闲居多年,live at home idle
45053,1,闻风丧胆,wén fēng sàng dǎn,,,,听到一点儿动静就吓破了胆。形容对某事物极其恐惧。,敌人闻风丧胆｜将军威名令敌闻风丧胆,become terror-stricken at the news
45055,1,戕害,qiāng hài,,,动,损害；伤害,戕害身心,harm; injure
45056,1,试营业,shì yíng yè,,,动,（服务行业、交通运输业等）正式开业前进行试验性营业,新店开始试营业｜试营业期间有优惠,trial operation (of a business)
45057,1,砚台,yàn tai,,,名,研墨、盛墨的文具。四周稍稍凸起，中间略为凹陷，多为石制,砚台里磨好了墨｜这块砚台很珍贵,inkstone
45058,1,开诊,kāi zhěn,,,动,医院或医生开始接收病人治病,张大夫今天挂牌开诊。,start seeing patients
45059,1,写家,xiě jiā,,,名,善于写文章的人或擅长书法的人,他是当地有名的写家｜这位写家书法很好,skilled writer or calligrapher
45061,1,爬升,pá shēng,,,动,泛指上升,原油价格持续爬升。,climb; rise
45061,2,爬升,pá shēng,,,动,（飞行器）向上飞,飞机在继续爬升｜垂直爬升,(of aircraft) climb
45061,3,爬升,pá shēng,,,动,比喻升职（多含贬义）,他爬升得很快,(fig.) climb the career ladder (often derogatory)
