rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
90026,1,投畀豺虎,tóu bì chái hǔ,,,,《诗经·小雅·巷伯》：“取彼谮人，投畀豺虎。”（畀：给予）意思是把那些进谗言的人都扔给豺狼老虎吃掉。后用“投畀豺虎”表示对坏人无比愤恨,对那些奸臣，就该投畀豺虎｜百姓们恨不得将贪官投畀豺虎,Throw to the wolves and tigers
90044,1,跳皮筋儿,tiào pí jīn er,,,,儿童游戏，两人分执皮筋两端，其他人利用皮筋的弹性来回踩跳皮筋儿,小女孩们正在院子里跳皮筋儿｜我们小时候常玩跳皮筋儿,Jump rubber band
90053,1,紧衣缩食,jǐn yī suō shí,,,,节衣缩食,为了攒钱，他过着紧衣缩食的生活｜那段日子我们只能紧衣缩食,Tighten the belt
90124,1,半半拉拉,bàn ban lā lā,,,形,动作或事情没有全部做完或事物不完整的样子,房子才盖了个半半拉拉，钱就花完了｜刚听个半半拉拉，他就不讲了。,Half-finished
90217,1,吃开口饭,chī kāi kǒu fàn,,,,旧时指以表演戏曲、曲艺等为谋生手段,他从小跟着戏班子吃开口饭｜说相声的也是吃开口饭的,Earn a living by performing
90225,1,外面儿光,wài miàn er guāng,,,形,形容仅仅是外观体面，并不实在,不搞那些外面儿光的“形象工程”。,Outwardly decent
90279,1,炉箅子,lú bì zi,,,名,炉膛下面用来承放燃料及通气漏灰的铁屉子,炉箅子需要经常清理灰烬｜这个炉子的炉箅子坏了,Stove grate
90283,1,放暗箭,fàng àn jiàn,,,,比喻暗中造谣中伤,当面奉承，背后却放暗箭。,Shoot a hidden arrow
90336,1,霉天,méi tiān,,,名,下霉雨的天气,江南的霉天总是潮湿闷热｜衣服在霉天容易发霉,Moldy weather
90360,1,冰碴儿,bīng chá er,,,名,刚刚凝结的薄而细碎的冰块,昨晚大风降温，今天早晨就见冰碴儿了。,Thin ice crust
90360,2,冰碴儿,bīng chá er,,,名,碎冰块,饮料里加了冰碴儿更解渴｜路面结了一层薄冰碴儿,Ice fragments
90362,1,脖领儿,bó lǐng er,,,名,领子,这件衬衫的脖领儿有点紧｜他把围巾塞进脖领儿里,Collar
90381,1,细溜溜,xì liū liū,,,形,形容细而长,她的身材细溜溜的。,Slender
90392,1,看头儿,kàn tou er,,,名,值得一看的价值（跟“有”或“没有”搭配）,这出戏很有看头儿。,Worth seeing
90401,1,豆花儿,dòu huā er,,,名,某些地区指在煮开的豆浆中加入适量盐卤而凝结成的半固体，比豆腐脑儿略老一些。,早餐摊的豆花儿很受欢迎｜她最爱吃咸味豆花儿,Tofu pudding
90413,1,走调儿,zǒu diào er,,,动,唱歌、唱戏、演奏偏离规定的曲调,他唱歌总是走调儿｜这把琴弦松了，弹起来走调儿,Off-key
90421,1,金闪闪,jīn shǎn shǎn,,,形,形容金光闪耀的样子,金闪闪的勋章,Glittering gold
90435,1,光板儿,guāng bǎn er,,,名,没有吊上面子和里子的皮筒子,光板儿皮袄,Unlined fur coat
90435,2,光板儿,guāng bǎn er,,,名,指磨掉了毛的皮制衣物,这条皮褥已经磨成光板儿了。,Worn-out fur
90447,1,晕针,yùn zhēn,,,动,打针或针灸时，病人出现面色苍白、心慌、多汗、头晕目眩、恶心呕吐等现象,她一见针头就晕针｜打疫苗时有人会晕针,Needle fainting
90452,1,晕血,yùn xuè,,,动,看见出血就头晕、心悸,她晕血，不能在外科工作。,Blood fainting
90514,1,垂问,chuí wèn,,,动,敬词，用于称长辈或上级对自己询问,如有垂问，必及时回禀。,Condescend to inquire
90533,1,磨叨,mò dao,,,动,来来回回地说；翻来覆去地说,他磨叨半天，我都听烦了。,Nag
90535,1,盘账,pán zhàng,,,动,清点、核对账目,会计正在办公室盘账｜月底都要盘账一次,Check accounts
90536,1,垂念,chuí niàn,,,动,敬词，用于称长辈或上级对自己关怀惦念,多蒙垂念，不胜感激。,Condescend to remember
90635,1,坐赃,zuò zāng,,,动,犯贪污罪；被判贪污罪,坐赃致罪,Commit embezzlement
90692,1,备悉,bèi xī,,,动,完全知道,来意备悉,Know fully
90711,1,香肚,xiāng dǔ,,,名,在经过处理的猪膀胱里，装上碎肉和作料，经风干或熏烘而成的食品,南京的香肚很有名｜下酒菜切了盘香肚,Sausage in bladder casing
90715,1,闪道,shǎn dào,,,动,闪开道路,车来了，快闪道,Make way
90768,1,黏米,nián mǐ,,,名,指具有黏性的黄米、江米等。有的地方专指黄米,黏米适合做年糕｜奶奶用黏米包粽子,Glutinous rice
90805,1,荒古,huāng gǔ,,,名,指人类尚未开化的远古时代,没有历史记载的荒古年代。,Remote antiquity
90806,1,兵械,bīng xiè,,,名,军械；兵器,博物馆陈列着古代兵械｜士兵们擦拭着兵械,Weapons
90859,1,柔姿纱,róu zī shā,,,名,一种质地轻软、适宜作夏季衣料的合成纤维纺织品,这件柔姿纱裙子很飘逸｜夏天穿柔姿纱很凉快,Soft gauze
90870,1,窝里横,wō li hèng,,,,只会在单位或家庭内部蛮横、发威，在外面却软弱无能,他在家是窝里横，出门就怂｜别只会窝里横,Bully at home
90898,1,迂论,yū lùn,,,名,陈旧迂腐的言论,他的迂论没人愿意听｜这些迂论早已过时,Pedantic views
91049,1,混合面儿,hùn hé miàn er,,,名,用玉米心、豆饼、糠秕等混合磨成的粉（抗日战争时期北方沦陷区的百姓曾以此为主粮）,战争时期百姓只能吃混合面儿｜混合面儿口感粗糙,Mixed flour
91085,1,兴头儿上,xìng tóu er shang,,,名,兴趣正浓的时候,玩得正在兴头儿上。,At the height of excitement
91104,1,前后脚儿,qián hòu jiǎo er,,,副,表示两个或几个人来到或离去的时间很接近；表示两件或几件事情时间相隔不长地相继发生,他俩前后脚儿进来｜前后脚儿上演了几出新戏,One after another
91197,1,黔剧,qián jù,,,名,"地方戏曲剧种，流行于贵州一带。由一种用扬琴伴奏的说唱曲艺“文琴”发展而来，原称文琴戏,1958年改称今名",今晚剧院上演黔剧｜她从小学习黔剧,Guizhou opera
91222,1,叱问,chì wèn,,,动,大声责问,老师叱问谁打破了玻璃｜父亲厉声叱问缘由,Bellow a question
91224,1,叱令,chì lìng,,,动,大声斥责、命令；喝令,叱令歹徒举手投降。,Shout an order
91253,1,凶耗,xiōng hào,,,名,死讯,得此凶耗，震惊不已。,News of death
91297,1,嘎噔,gā dēng,,,拟声,模拟物体猛然落地或震动的声音,嘎噔一声，凳子撞倒了。,Thud
91301,1,顺叙,shùn xù,,,动,文学创作的表现手法，按故事发生的时间顺序叙述（跟“倒叙”相区别）,这篇小说采用顺叙手法｜故事按顺叙展开,Chronological narration
