rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
65006,1,银杉,yín shān,,,名,常绿乔木，树干通直，树冠塔形，叶子条形，球果卵圆形。是我国特有的稀有树种，属国家保护植物,这片森林里有许多珍稀的银杉。｜银杉是我国特有的保护植物。,Cathaya
65008,1,凶焰,xiōng yàn,,,名,凶暴的气焰,敌人的凶焰被压下去了。,Ferociousness
65012,1,大材小用,dà cái xiǎo yòng,,,,大材料用在小处；比喻人才使用不当，浪费人才,让他做这个工作真是大材小用。｜大材小用会浪费人才。,Using a talented person in an insignificant position
65018,1,地老天荒,dì lǎo tiān huāng,,,,天荒地老,他们相爱到地老天荒。｜这份情谊直到地老天荒。,Until the end of time
65019,1,筵宴,yán yàn,,,名,筵席；宴会,宫中正在举行盛大的筵宴。｜这场筵宴非常热闹。,Feast; banquet
65023,1,螟虫,míng chóng,,,名,螟蛾的幼虫，种类很多。多数生活在水稻、高粱、玉米等农作物的茎秆中，吃茎秆的髓部，危害农作物,农民正在防治螟虫。｜螟虫危害水稻生长。,Borer
65025,1,声辩,shēng biàn,,,动,公开辩白,为自己声辩,To argue in self-defense
65027,1,宽宥,kuān yòu,,,动,宽恕；原谅,多有冒犯，尚祈宽宥。,To forgive; to pardon
65028,1,拜客,bài kè,,,动,拜访亲友,父亲出门拜客去了。,To pay a visit
65029,1,黏着,nián zhuó,,,动,粘（zhān）在一起；附着,黏着力,To adhere; to stick
65031,1,蜡炬,là jù,,,名,蜡烛,蜡炬在黑暗中发出微光。｜她点燃了蜡炬。,Candle
65032,1,驼色,tuó sè,,,名,像骆驼毛似的浅棕色,驼色风衣,Camel (color)
65033,1,批点,pī diǎn,,,动,阅读时在书刊、文章上加批注和圈点,批点二十四史,To punctuate and annotate
65039,1,怫然,fú rán,,,形,形容生气或发怒的样子,怫然不悦｜怫然而去｜怫然作色,Angry; enraged
65040,1,银匠,yín jiang,,,名,制造金银饰品、器物的工匠,这位银匠手艺很精湛。｜银匠打造了一对银镯。,Silversmith
65047,1,蟾宫,chán gōng,,,名,指月亮。传说月宫中有蟾蜍，故称,中秋之夜仰望蟾宫。｜传说嫦娥住在蟾宫。,The moon
65049,1,蹲坑,dūn kēng,,,名,供蹲着排泄粪便的便坑,这个厕所只有蹲坑，没有马桶。,Squat toilet
65049,2,蹲坑,dūn kēng,,,动,蹲守,蹲坑监控,To stake out
65056,1,缮写,shàn xiě,,,动,抄写,缮写公文,To transcribe; to copy
65057,1,毁誉参半,huǐ yù cān bàn,,,,（对某人或某事物）诽谤和赞誉的话各占一半,这部作品毁誉参半。｜对他的评价毁誉参半。,Mixed reviews
65059,1,弹跳力,tán tiào lì,,,名,多指脚用力蹬地后所产生的向上或向前的力量，一般以弹跳高度和远近为衡量标准,他的弹跳力很好。｜弹跳力是篮球运动员的重要素质。,Jumping ability
65061,1,圣诞卡,shèng dàn kǎ,,,名,送给别人祝贺圣诞节的卡片,我收到了一张圣诞卡。｜他寄来了圣诞卡。,Christmas card
65069,1,团练,tuán liàn,,,名,旧时地主豪绅组织的地方武装,地主组织了团练武装。｜团练负责地方治安。,Local militia
65069,2,团练,tuán liàn,,,名,指团练的头目,他担任了团练一职。｜团练带领队伍巡逻。,Militia head
65072,1,弓背,gōng bèi,,,动,弯着背；驼背,弯腰弓背,To hunch one's back
65072,2,弓背,gōng bèi,,,名,弓上呈弧形的部分,弓背是用竹子做的。｜他抚摸着弓背。,Back of a bow
65073,1,允当,yǔn dàng,,,形,妥当；得当,用词允当,Appropriate; proper
65075,1,线香,xiàn xiāng,,,名,用香料、木屑等制成的细长而不带棒儿的香。用于祭祀、礼佛或为室内增添香气。,她点燃了一支线香。｜线香散发出淡淡香气。,Incense stick
65078,1,凤仙花,fèng xiān huā,,,名,一年生草本植物，夏季开花，花色很多。红色的花瓣可用来染指甲，花和种子可以做药材。俗称指甲花,凤仙花开了很漂亮。｜她用凤仙花染指甲。,Garden balsam
65080,1,高姿态,gāo zī tài,,,名,指在解决与他人的矛盾时表现出的严于律己、宽以待人的态度,双方都采取高姿态，问题就好解决。,Magnanimous attitude
65081,1,逼供信,bī gòng xìn,,,,对受审人逼供，并不经核实便将其口供作为定罪的依据,审案必须重调查，重证据，严禁逼供信。,Coercing confessions and accepting them uncritically
65083,1,和事佬,hé shì lǎo,,,名,指不讲原则的调解人,他总爱当和事佬。｜和事佬调解了纠纷。,Mediator (derogatory)
65084,1,糊涂账,hú tu zhàng,,,名,混乱不清的账目；也比喻搞不清楚的事情,这件事谁也说不清，成了一笔糊涂账。,Chaotic accounts
65085,1,纱灯,shā dēng,,,名,用薄纱做罩的灯笼,门前挂着一盏纱灯。｜纱灯发出柔和的光。,Gauze lantern
65086,1,牙慧,yá huì,,,名,《世说新语·文学》：“殷中军（注：殷浩）云：‘康伯未得我牙后慧。’”原指言外的意趣，后指他人已有的观点、见解和说法,拾人牙慧,Others' ideas or opinions
65092,1,耳廓,ěr kuò,,,名,耳郭,他的耳廓很大。｜医生检查了耳廓。,Auricle (of the ear)
65099,1,虎口拔牙,hǔ kǒu bá yá,,,,比喻冒极大危险去做某件事,这简直是虎口拔牙。｜虎口拔牙太危险了。,To pull a tooth from a tiger's mouth
65100,1,拱坝,gǒng bà,,,名,修建在河谷里的拦水坝。两端与两岸岩石相连，坝身向上游方向拱出，可以承受较大的水流压力。多用混凝土或浆砌石块筑成,这座拱坝很坚固。｜拱坝能承受大水压。,Arch dam
65101,1,看扁,kàn biǎn,,,动,小看；看不起,别把人看扁了,To look down upon
65106,1,坨子,tuó zi,,,名,成块、成团的东西,泥坨子,Lump; chunk
65107,1,乘方,chéng fāng,,,名,一个数自乘若干次所得的积。如8是2的3次乘方,计算2的3次乘方得到8。｜乘方运算在数学中很常见。,Power (mathematics)
65107,2,乘方,chéng fāng,,,动,一个数自乘若干次的运算。如2的3次乘方就是2自乘3次，写为23,学习乘方运算。｜二的三次乘方是八。,Involution (mathematics)
65109,1,坟冢,fén zhǒng,,,名,坟墓,山上有许多坟冢。｜这座坟冢很古老。,Grave; tomb
65110,1,浅白,qiǎn bái,,,形,浅显明白,说得很浅白,Simple and clear
65111,1,锐眼,ruì yǎn,,,名,敏锐的眼光,锐眼识真伪,Keen insight
65119,1,不过尔尔,bù guò ěr ěr,,,,不过如此而已（第一个“尔”：如此，这样；第二个“尔”：而已）,他的水平不过尔尔。｜这幅画不过尔尔。,Just so-so
65120,1,蝇营狗苟,yíng yíng gǒu gǒu,,,,像苍蝇那样追脏逐臭，像狗那样苟且求安。比喻不择手段地到处钻营，追逐名利,他整天蝇营狗苟。｜蝇营狗苟令人不齿。,Seeking personal gain by any means
65123,1,胆小如鼠,dǎn xiǎo rú shǔ,,,,胆子小得像老鼠。形容胆量极小,他胆小如鼠。｜胆小如鼠难成大事。,As timid as a mouse
65124,1,胰子,yí zi,,,名,肥皂,她用胰子洗衣服。｜这块胰子很好用。,Soap
65124,2,胰子,yí zi,,,名,猪、羊等的胰脏,猪胰子可以入药。｜他买了些羊胰子。,"Pancreas (of pigs, sheep, etc.)"
65128,1,私章,sī zhāng,,,名,刻有个人名字的印章,他在文件上盖私章。｜私章要保管好。,Personal seal
65132,1,哈喇,hā la,,,形,食油或带油食品放久变质而味道不正,火腿哈喇了｜月饼有哈喇味儿,Rancid
65133,1,驻屯,zhù tún,,,动,驻扎,军队在此驻屯。｜他们驻屯在边境。,To be stationed
65136,1,消声器,xiāo shēng qì,,,名,降低气流噪声的装置。常用于通风设施、内燃机、喷气发动机等高噪声机械,汽车安装了消声器。｜消声器能降低噪音。,Muffler; silencer
65137,1,十进制,shí jìn zhì,,,名,逢十进位的计数方法。逢十即向左（上）进一位。如90加10为100,我们日常使用的数字是十进制。｜十进制是常见的计数方法。,Decimal system
65139,1,风油精,fēng yóu jīng,,,名,一种常用的液体保健药品。具有清凉止痒、提神醒脑、消炎镇痛等功用。可外搽，也可内服,他擦了风油精提神。｜风油精可以止痒。,Essential balm
65140,1,诨名,hùn míng,,,名,诨号,他有个有趣的诨名。｜大家都叫他的诨名。,Nickname
65142,1,拦挡,lán dǎng,,,动,阻挡使不能通过,花圃周围用栅栏拦挡。,To block; to obstruct
65145,1,示波器,shì bō qì,,,名,显示某些随时间变化的物理量（如电压、电流等）波形的仪器。有磁电式示波器和阴极射线示波器两种,工程师使用示波器。｜示波器显示波形。,Oscilloscope
65148,1,马大哈,mǎ dà hā,,,名,指粗心大意、随随便便的人,他是个马大哈。｜马大哈总是丢东西。,Careless person
65148,2,马大哈,mǎ dà hā,,,形,形容粗心大意，随随便便,你也太马大哈了，连自己家的电话号码都记不清。,Careless; scatterbrained
65152,1,聊胜于无,liáo shèng yú wú,,,,比完全没有略好些,这点钱聊胜于无。｜有总比没有好，聊胜于无。,Better than nothing
65153,1,缺心眼儿,quē xīn yǎn er,,,,缺少聪明机智，不会见机行事,他有点缺心眼儿。｜缺心眼儿容易上当。,Slow-witted
