rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
25001,1,修宪,xiū xiàn,,,动,修改宪法,国会正在讨论修宪事宜｜修宪程序需要全民公投,amend the constitution
25002,1,土质,tǔ zhì,,,名,土壤的质地,改良土质,soil texture
25003,1,成法,chéng fǎ,,,名,现成的方法,办这种事无成法可依。,established method
25003,2,成法,chéng fǎ,,,名,现成的法律、法规,在新法未出台前，暂按成法处理。,existing law
25004,1,老林,lǎo lín,,,名,未经开发的森林,深山老林,virgin forest
25006,1,梦乡,mèng xiāng,,,名,指熟睡时的境界,进入梦乡,dreamland
25008,1,尖刻,jiān kè,,,形,尖酸刻薄,说话尖刻，容易伤人。,acrimonious
25009,1,乳品,rǔ pǐn,,,名,乳制品,这家超市的乳品很新鲜｜乳品富含多种营养,dairy products
25010,1,熔化,róng huà,,,动,熔解,高温使金属熔化成液体｜蜡在火上很快熔化,melt
25011,1,口红,kǒu hóng,,,名,涂抹嘴唇以增加嘴唇色泽或改变嘴唇颜色的化妆品。多为红色，故称,她每天都要涂口红｜这支口红颜色很漂亮,lipstick
25012,1,爱抚,ài fǔ,,,动,爱怜并关怀体贴,她像慈母一样爱抚着这些孤儿。,caress
25013,1,固沙,gù shā,,,动,（用种草、种树等方法）固定流沙，使沙漠不再扩展,种草固沙，造林防沙。,sand fixation
25014,1,日头,rì tou,,,名,太阳,日头晒得人发晕｜日头渐渐西沉,sun
25015,1,减亏,jiǎn kuī,,,动,（企业）减少亏损,公司今年成功减亏｜减亏是企业的重要目标,reduce losses
25016,1,粮店,liáng diàn,,,名,出售粮食的店铺,粮店里的米很新鲜｜我去粮店买面粉,grain shop
25017,1,人造卫星,rén zào wèi xīng,,,,环绕行星或卫星运行的人造天体。通常指人造地球卫星。用于通讯、气象和军事等方面,人造卫星环绕地球运行｜我国发射了新的人造卫星,artificial satellite
25018,1,命大,mìng dà,,,形,命运好；多指大难不死,他命大，居然能在空难中幸存下来。,lucky
25019,1,缓步,huǎn bù,,,动,放慢脚步,缓步走下讲台｜股市总体呈缓步上扬态势。,walk slowly
25020,1,养病,yǎng bìng,,,动,调理休养使病体逐渐康复,静心养病,recuperate
25022,1,纲目,gāng mù,,,名,大纲和细目,纲目完整清晰｜《本草纲目》,outline
25023,1,监制,jiān zhì,,,动,监督制作,他负责监制这部电影｜监制工作十分繁重,supervise production
25024,1,过客,guò kè,,,名,过往的行人；旅客,我们都是人生的过客｜车站里过客匆匆,passerby
25025,1,刺客,cì kè,,,名,行刺的人,刺客潜入宫中行刺｜小说里有位神秘的刺客,assassin
25026,1,无拘无束,wú jū wú shù,,,,没有任何约束，自由自在,孩子们在草地上无拘无束地玩耍｜他喜欢无拘无束的生活,unrestrained
25028,1,补课,bǔ kè,,,动,补教或补学有欠缺的课程,他主动给同桌补课。,make up missed lessons
25028,2,补课,bǔ kè,,,动,比喻重做某一未做好的事,验收不合格的，都要补课。,remedy a deficiency
25030,1,甚于,shèn yú,,,动,超过；胜过,官僚主义的危害甚于水火。,surpass
25031,1,食谱,shí pǔ,,,名,系统介绍主食制作和菜肴烹调方法的书,《大众食谱》,cookbook
25031,2,食谱,shí pǔ,,,名,写有主食、菜肴品种的单子,食堂每天公布食谱。,menu
25032,1,护肤,hù fū,,,动,养护皮肤,护肤养颜,skin care
25033,1,气恼,qì nǎo,,,动,生气；恼怒,他仍在气恼我昨天失约的事｜流言使他很气恼,annoyed
25034,1,坐视,zuò shì,,,动,坐在那里看着。指对该管的事不管或漠不关心,坐视不救,sit by and watch
25035,1,苦口,kǔ kǒu,,,动,恳切耐心地说,苦口相劝｜苦口婆心,advise in earnest
25035,2,苦口,kǔ kǒu,,,动,使嘴里发苦,良药苦口利于病,cause a bitter taste
25036,1,结汇,jié huì,,,动,一般指从事外贸的企业出口收汇后，向开户银行按当时牌价出售外汇,外贸公司需要及时结汇｜银行提供结汇服务,settle foreign exchange
25037,1,怒目,nù mù,,,动,愤怒地瞪着眼睛,怒目切齿｜怒目而视,glare angrily
25037,2,怒目,nù mù,,,名,愤怒时瞪着的眼睛,怒目如火,angry stare
25038,1,发人深省,fā rén shēn xǐng,,,,启发人们深刻思考而有所觉悟,这个故事发人深省｜老师的话发人深省,thought-provoking
25039,1,黄芪,huáng qí,,,名,多年生草本植物，羽状复叶，开淡黄色花，主根长圆柱形。根可做药材,黄芪是常见的中药材｜医生开了黄芪这味药,astragalus
25040,1,面庞,miàn páng,,,名,脸盘儿,瘦削的面庞｜面庞秀丽,face
25041,1,轮空,lún kōng,,,动,指在分轮次比赛中，某参赛者在某轮没有安排对手，直接进入下一轮比赛,他这轮比赛轮空｜轮空直接晋级下一轮,have a bye
25041,2,轮空,lún kōng,,,动,（专业人员）暂时没有安排任务,这学期轮空，正好修改我的书稿。,be temporarily unassigned
25042,1,谐音,xié yīn,,,动,字词的读音相同或相近,谐音双关,homophonic
25042,2,谐音,xié yīn,,,名,声学上指由发音体的复合振动所产生的音,这两个字是谐音｜利用谐音编了个谜语,harmonic
25043,1,账簿,zhàng bù,,,名,记载财务收支、物品进出等事项的本子,会计正在核对账簿｜账簿记录要准确,account book
25045,1,杀气,shā qì,,,名,凶狠的气焰或神态,满脸杀气,murderous look
25046,1,起跳,qǐ tiào,,,动,借助腿的弹跳力，使身体开始跃起（多用于跳高、跳远、跳水、篮球、排球等比赛）,起跳有力｜起跳投篮,take off
25047,1,烧火,shāo huǒ,,,动,使柴、煤等燃料燃烧,你去担水，我来烧火｜烧火取暖,make a fire
25049,1,开河,kāi hé,,,动,开挖河道,开河挖渠，保障灌溉。,dig a canal
25049,2,开河,kāi hé,,,动,河面的冰融化,春天河面开河了｜开河后可以行船,river thawing
25051,1,训诂,xùn gǔ,,,名,指训诂学,他研究训诂学｜训诂是门深奥的学问,critical interpretation of ancient texts
25051,2,训诂,xùn gǔ,,,动,解释古书中字、词、句的意义,学者训诂古籍文字｜训诂需要扎实功底,interpret ancient texts
25052,1,摇钱树,yáo qián shù,,,名,神话中的一种宝树，一摇晃就会落下钱来。比喻借以获取钱财的人或物,品牌就是一棵无形的摇钱树。,money tree
25054,1,荣膺,róng yīng,,,动,光荣地接受,荣膺国家级最高奖项｜荣膺人民艺术家称号。,be honored to receive
25057,1,客观性,kè guān xìng,,,名,反映事物本来面目，不掺进个人偏见的性质,评分的首要原则是客观性和公正性。,objectivity
25058,1,外海,wài hǎi,,,名,离本国海岸较远的海域；特指内海以外的海域,渔船驶向外海｜外海风浪较大,open sea
25059,1,隐身,yǐn shēn,,,动,隐蔽身体；隐匿形迹,隐身在战壕里｜在荒山隐身多年,hide oneself
25060,1,骄子,jiāo zǐ,,,名,受到宠爱的儿子；比喻受到宠爱的人,时代的骄子,favorite son
25061,1,抗性,kàng xìng,,,名,植物抵抗外界不良环境，如寒冷、高温、干旱、水涝以及病虫害等的能力，是植物适应环境的结果,这种植物抗性强｜培育抗性好的品种,resistance
25062,1,活气,huó qì,,,名,活跃的气氛；生气,那里死气沉沉的，没有一丝活气。,liveliness
25063,1,岩画,yán huà,,,名,刻画在崖壁或岩石上的图画,岩画记录古人生活｜我们在山洞发现岩画,rock painting
25064,1,硬骨头,yìng gǔ tou,,,名,比喻立场坚定，意志坚强的人,硬骨头六连,unyielding person
